local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1638787,1631575,7212,17487,15801,2021-04-01,2043423,2034298,9125
北海道,47276,47211,65,443,459,2021-04-01,59597,59517,80
青森県,13495,13480,15,107,90,2021-04-01,16250,16233,17
岩手県,6603,6577,26,73,77,2021-04-01,8149,8118,31
宮城県,8717,8669,48,125,68,2021-04-01,11221,11158,63
秋田県,6646,6636,10,78,82,2021-04-01,8300,8286,14
山形県,4806,4777,29,62,54,2021-04-01,5735,5695,40
福島県,5413,5387,26,81,65,2021-04-01,6566,6536,30
茨城県,19006,18901,105,246,186,2021-04-01,23208,23087,121
栃木県,9811,9741,70,93,99,2021-04-01,11791,11709,82
群馬県,6249,6212,37,71,70,2021-04-01,7315,7275,40
埼玉県,45260,45133,127,532,410,2021-04-01,57138,56978,160
千葉県,42149,41985,164,525,370,2021-04-01,53011,52804,207
東京都,223871,223074,797,2084,1957,2021-04-01,271507,270437,1070
神奈川県,28005,27882,123,387,287,2021-04-01,35450,35288,162
新潟県,7125,7099,26,99,91,2021-04-01,8862,8831,31
富山県,1412,1376,36,18,22,2021-04-01,1587,1546,41
石川県,2591,2564,27,34,33,2021-04-01,2972,2939,33
福井県,1393,1370,23,32,14,2021-04-01,1602,1575,27
山梨県,3452,3399,53,47,30,2021-04-01,4243,4181,62
長野県,4865,4846,19,78,69,2021-04-01,5903,5883,20
岐阜県,4546,4479,67,66,54,2021-04-01,5521,5449,72
静岡県,12780,12680,100,186,135,2021-04-01,15473,15345,128
愛知県,15273,15157,116,221,173,2021-04-01,19139,19001,138
三重県,12687,12614,73,146,144,2021-04-01,15747,15652,95
滋賀県,5219,5186,33,76,51,2021-04-01,6988,6944,44
京都府,9965,9903,62,109,95,2021-04-01,13448,13346,102
大阪府,40465,40351,114,387,412,2021-04-01,52335,52176,159
兵庫県,14025,13941,84,149,131,2021-04-01,17963,17847,116
奈良県,8891,8853,38,60,77,2021-04-01,11470,11426,44
和歌山県,4765,4742,23,44,35,2021-04-01,5677,5645,32
