local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1642821,1635363,7458,17751,21011,2022-03-01,2036045,2026359,9686
北海道,46583,46515,68,371,500,2022-03-01,58488,58411,77
青森県,13337,13318,19,105,137,2022-03-01,15977,15956,21
岩手県,6584,6558,26,90,86,2022-03-01,8062,8032,30
宮城県,8870,8807,63,106,108,2022-03-01,11337,11252,85
秋田県,6458,6444,14,52,88,2022-03-01,7984,7967,17
山形県,4886,4853,33,57,82,2022-03-01,5797,5754,43
福島県,5409,5387,22,64,85,2022-03-01,6478,6456,22
茨城県,19369,19273,96,245,279,2022-03-01,23496,23388,108
栃木県,9880,9825,55,107,153,2022-03-01,11785,11724,61
群馬県,6332,6299,33,86,93,2022-03-01,7366,7328,38
埼玉県,45887,45742,145,556,618,2022-03-01,57525,57330,195
千葉県,43086,42903,183,585,588,2022-03-01,53665,53432,233
東京都,223983,223110,873,2292,2909,2022-03-01,270331,269042,1289
神奈川県,28471,28361,110,384,401,2022-03-01,35833,35699,134
新潟県,7213,7164,49,82,94,2022-03-01,8982,8903,79
富山県,1411,1388,23,21,21,2022-03-01,1600,1571,29
石川県,2591,2571,20,32,32,2022-03-01,2957,2933,24
福井県,1407,1385,22,17,24,2022-03-01,1630,1604,26
山梨県,3479,3427,52,43,44,2022-03-01,4231,4168,63
長野県,4879,4851,28,63,80,2022-03-01,5904,5871,33
岐阜県,4645,4608,37,54,78,2022-03-01,5607,5566,41
静岡県,13081,12971,110,169,182,2022-03-01,15753,15617,136
愛知県,15357,15261,96,212,271,2022-03-01,19087,18968,119
三重県,12772,12662,110,156,188,2022-03-01,15816,15674,142
滋賀県,5243,5210,33,79,81,2022-03-01,6920,6877,43
京都府,9867,9812,55,101,126,2022-03-01,13204,13110,94
大阪府,40528,40417,111,437,531,2022-03-01,51885,51727,158
兵庫県,14131,14051,80,161,177,2022-03-01,18032,17929,103
奈良県,8772,8730,42,66,87,2022-03-01,11228,11155,73
