local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1643819,1636141,7678,15688,17409,2022-01-01,2037866,2027890,9976
北海道,46686,46605,81,327,408,2022-01-01,58611,58513,98
青森県,13394,13371,23,102,141,2022-01-01,16037,16010,27
岩手県,6557,6528,29,67,64,2022-01-01,8018,7988,30
宮城県,8888,8825,63,97,108,2022-01-01,11358,11277,81
秋田県,6497,6479,18,57,78,2022-01-01,8040,8016,24
山形県,4882,4841,41,67,59,2022-01-01,5790,5747,43
福島県,5393,5373,20,50,69,2022-01-01,6474,6453,21
茨城県,19316,19203,113,217,210,2022-01-01,23453,23320,133
栃木県,9883,9825,58,102,124,2022-01-01,11785,11720,65
群馬県,6313,6285,28,58,75,2022-01-01,7346,7315,31
埼玉県,45804,45659,145,487,479,2022-01-01,57477,57288,189
千葉県,42941,42747,194,435,432,2022-01-01,53523,53271,252
東京都,224235,223312,923,2092,2282,2022-01-01,270689,269356,1333
神奈川県,28379,28281,98,333,311,2022-01-01,35767,35640,127
新潟県,7204,7159,45,83,79,2022-01-01,8963,8890,73
富山県,1415,1388,27,16,21,2022-01-01,1609,1575,34
石川県,2597,2579,18,37,29,2022-01-01,2961,2935,26
福井県,1394,1374,20,13,10,2022-01-01,1610,1587,23
山梨県,3471,3422,49,35,35,2022-01-01,4219,4159,60
長野県,4874,4843,31,54,61,2022-01-01,5885,5847,38
岐阜県,4634,4591,43,61,50,2022-01-01,5590,5543,47
静岡県,13083,12979,104,187,175,2022-01-01,15758,15614,144
愛知県,15356,15244,112,187,211,2022-01-01,19072,18927,145
三重県,12762,12669,93,148,137,2022-01-01,15801,15676,125
滋賀県,5252,5211,41,49,83,2022-01-01,6944,6884,60
京都府,9863,9813,50,85,89,2022-01-01,13192,13119,73
大阪府,40551,40449,102,356,434,2022-01-01,51955,51822,133
兵庫県,14127,14045,82,139,165,2022-01-01,17998,17890,108
奈良県,8828,8788,40,54,89,2022-01-01,11322,11257,65
和歌山県,4792,4758,34,48,49,2022-01-01,5681,5636,45
鳥取県,3156,3145,11,29,34,2022-01-01,3798,3784,14
島根県,2324,2317,7,24,41,2022-01-01,2797,2790,7
岡山県,3384,3366,18,40,39,2022-01-01,4050,4025,25
広島県,5690,5660,30,62,64,2022-01-01,7251,7209,42
山口県,8247,8206,41,76,98,2022-01-01,9960,9905,55
徳島県,10349,10298,51,54,87,2022-01-01,12687,12625,62
香川県,3228,3198,30,30,42,2022-01-01,3937,3899,38
愛媛県,7370,7265,105,72,92,2022-01-01,8726,8589,137
高知県,5569,5525,44,40,56,2022-01-01,6709,6652,57
福岡県,36868,36712,156,249,334,2022-01-01,48920,48696,224
佐賀県,6359,6296,63,55,68,2022-01-01,7466,7395,71
長崎県,7659,7614,45,70,78,2022-01-01,9640,9583,57
熊本県,7474,7397,77,82,93,2022-01-01,9188,9099,89
大分県,8800,8700,100,75,100,2022-01-01,10584,10472,112
宮崎県,7325,7303,22,79,91,2022-01-01,8875,8846,29
鹿児島県,11538,11400,138,90,144,2022-01-01,14513,14333,180
沖縄県,20649,20568,81,207,198,2022-01-01,25711,25610,101
札幌市,56269,56141,128,552,576,2022-01-01,71374,71214,160
仙台市,14560,14464,96,174,137,2022-01-01,18643,18515,128
さいたま市,15591,15550,41,183,184,2022-01-01,19420,19366,54
千葉市,17776,17589,187,262,305,2022-01-01,21642,21404,238
横浜市,55207,55093,114,652,695,2022-01-01,68990,68849,141
川崎市,23591,23558,33,251,306,2022-01-01,29221,29169,52
相模原市,10866,10825,41,89,119,2022-01-01,13981,13933,48
新潟市,9330,9306,24,87,86,2022-01-01,11762,11729,33
静岡市,7645,7566,79,70,105,2022-01-01,9496,9375,121
浜松市,5794,5735,59,80,86,2022-01-01,7145,7066,79
名古屋市,38531,38298,233,469,569,2022-01-01,46926,46636,290
京都市,32034,31600,434,281,333,2022-01-01,41394,40835,559
大阪市,111870,111355,515,1176,1302,2022-01-01,132696,132077,619
