local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1644884,1637163,7721,17648,16753,2021-12-01,2040211,2030186,10025
北海道,46787,46706,81,468,429,2021-12-01,58742,58638,104
青森県,13410,13389,21,134,118,2021-12-01,16063,16036,27
岩手県,6568,6542,26,79,78,2021-12-01,8044,8013,31
宮城県,8884,8832,52,128,93,2021-12-01,11360,11292,68
秋田県,6514,6503,11,57,74,2021-12-01,8064,8050,14
山形県,4877,4837,40,72,62,2021-12-01,5792,5746,46
福島県,5403,5382,21,65,61,2021-12-01,6489,6464,25
茨城県,19315,19193,122,247,216,2021-12-01,23477,23330,147
栃木県,9891,9833,58,95,110,2021-12-01,11809,11742,67
群馬県,6318,6296,22,65,63,2021-12-01,7362,7340,22
埼玉県,45805,45665,140,558,486,2021-12-01,57505,57323,182
千葉県,42974,42766,208,532,468,2021-12-01,53636,53355,281
東京都,224292,223366,926,2150,2149,2021-12-01,270881,269534,1347
神奈川県,28343,28232,111,339,297,2021-12-01,35761,35626,135
新潟県,7217,7171,46,118,96,2021-12-01,8980,8903,77
富山県,1426,1393,33,33,26,2021-12-01,1626,1581,45
石川県,2588,2571,17,28,28,2021-12-01,2950,2927,23
福井県,1400,1386,14,18,19,2021-12-01,1620,1604,16
山梨県,3467,3419,48,34,31,2021-12-01,4223,4164,59
長野県,4873,4841,32,69,53,2021-12-01,5885,5849,36
岐阜県,4632,4580,52,67,59,2021-12-01,5590,5532,58
静岡県,13044,12937,107,174,148,2021-12-01,15717,15563,154
愛知県,15362,15258,104,221,194,2021-12-01,19100,18971,129
三重県,12744,12648,96,150,130,2021-12-01,15785,15665,120
滋賀県,5265,5238,27,55,62,2021-12-01,6965,6924,41
京都府,9873,9815,58,96,95,2021-12-01,13208,13137,71
大阪府,40598,40495,103,432,403,2021-12-01,52039,51904,135
兵庫県,14122,14041,81,150,134,2021-12-01,18012,17902,110
奈良県,8862,8820,42,77,88,2021-12-01,11365,11296,69
和歌山県,4795,4766,29,40,51,2021-12-01,5695,5658,37
鳥取県,3167,3154,13,37,40,2021-12-01,3810,3795,15
島根県,2335,2324,11,37,35,2021-12-01,2809,2795,14
岡山県,3393,3371,22,44,49,2021-12-01,4066,4039,27
広島県,5703,5669,34,94,75,2021-12-01,7280,7233,47
山口県,8269,8229,40,71,98,2021-12-01,9985,9938,47
徳島県,10360,10314,46,98,65,2021-12-01,12696,12640,56
香川県,3233,3208,25,38,35,2021-12-01,3946,3914,32
愛媛県,7406,7308,98,74,108,2021-12-01,8776,8643,133
高知県,5595,5556,39,82,66,2021-12-01,6761,6708,53
福岡県,36933,36772,161,324,314,2021-12-01,49050,48818,232
佐賀県,6364,6297,67,67,60,2021-12-01,7480,7406,74
長崎県,7656,7612,44,80,67,2021-12-01,9643,9592,51
熊本県,7469,7387,82,98,77,2021-12-01,9198,9101,97
大分県,8799,8703,96,104,74,2021-12-01,10577,10467,110
宮崎県,7333,7308,25,92,87,2021-12-01,8884,8854,30
鹿児島県,11568,11405,163,104,120,2021-12-01,14570,14358,212
沖縄県,20646,20568,78,281,205,2021-12-01,25737,25628,109
札幌市,56241,56108,133,678,524,2021-12-01,71336,71174,162
仙台市,14580,14478,102,199,194,2021-12-01,18658,18527,131
さいたま市,15577,15539,38,170,169,2021-12-01,19430,19389,41
千葉市,17723,17525,198,249,209,2021-12-01,21592,21342,250
横浜市,55205,55090,115,663,650,2021-12-01,69045,68880,165
川崎市,23642,23606,36,271,302,2021-12-01,29335,29276,59
相模原市,10882,10841,41,116,105,2021-12-01,14007,13958,49
新潟市,9322,9302,20,130,79,2021-12-01,11741,11713,28
静岡市,7646,7567,79,111,71,2021-12-01,9500,9383,117
浜松市,5779,5721,58,53,65,2021-12-01,7139,7062,77
名古屋市,38554,38304,250,506,492,2021-12-01,46961,46658,303
京都市,32067,31662,405,230,314,2021-12-01,41439,40914,525
大阪市,111969,111457,512,1263,1275,2021-12-01,132847,132233,614
堺市,19335,19307,28,211,181,2021-12-01,24652,24613,39
神戸市,33644,33478,166,305,316,2021-12-01,43371,43178,193
岡山市,9871,9822,49,115,119,2021-12-01,12657,12593,64
広島市,18484,18413,71,210,209,2021-12-01,23614,23525,89
北九州市,18188,18110,78,158,170,2021-12-01,22356,22272,84
福岡市,33890,33767,123,346,361,2021-12-01,42494,42341,153
熊本市,12073,12034,39,176,158,2021-12-01,14961,14909,52
旭川市,9824,9806,18,99,75,2021-12-01,11994,11974,20
函館市,9352,9346,6,85,78,2021-12-01,11346,11339,7
青森市,6736,6736,0,62,54,2021-12-01,8193,8193,0
八戸市,3367,3356,11,27,30,2021-12-01,4091,4080,11
盛岡市,3866,3853,13,38,31,2021-12-01,4567,4547,20
秋田市,4321,4314,7,27,28,2021-12-01,5314,5307,7
山形市,1791,1772,19,26,26,2021-12-01,2150,2130,20
郡山市,2796,2793,3,31,33,2021-12-01,3364,3361,3
