local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1639505,1631978,7527,17039,16398,2022-05-01,2023336,2013587,9749
北海道,46443,46355,88,395,478,2022-05-01,58071,57969,102
青森県,13289,13263,26,117,111,2022-05-01,15874,15846,28
岩手県,6570,6533,37,75,90,2022-05-01,8002,7959,43
宮城県,8854,8798,56,89,89,2022-05-01,11272,11199,73
秋田県,6395,6377,18,57,75,2022-05-01,7874,7853,21
山形県,4847,4822,25,50,65,2022-05-01,5743,5706,37
福島県,5407,5387,20,69,72,2022-05-01,6453,6433,20
茨城県,19365,19276,89,232,197,2022-05-01,23368,23270,98
栃木県,9821,9758,63,87,99,2022-05-01,11688,11606,82
群馬県,6350,6324,26,78,63,2022-05-01,7364,7335,29
埼玉県,45949,45807,142,561,456,2022-05-01,57384,57202,182
千葉県,43036,42877,159,456,424,2022-05-01,53460,53254,206
東京都,223309,222438,871,2179,2037,2022-05-01,268463,267187,1276
神奈川県,28464,28343,121,324,279,2022-05-01,35684,35537,147
新潟県,7209,7146,63,82,84,2022-05-01,8919,8830,89
富山県,1415,1396,19,17,20,2022-05-01,1604,1575,29
石川県,2599,2576,23,24,23,2022-05-01,2958,2930,28
福井県,1386,1370,16,10,20,2022-05-01,1605,1585,20
山梨県,3483,3434,49,34,45,2022-05-01,4227,4163,64
長野県,4842,4811,31,62,67,2022-05-01,5847,5811,36
岐阜県,4652,4610,42,65,49,2022-05-01,5608,5556,52
静岡県,13076,12958,118,163,157,2022-05-01,15731,15582,149
愛知県,15312,15220,92,196,198,2022-05-01,18966,18845,121
三重県,12748,12639,109,148,138,2022-05-01,15690,15546,144
滋賀県,5243,5210,33,73,57,2022-05-01,6885,6839,46
京都府,9851,9792,59,102,102,2022-05-01,13093,13000,93
大阪府,40439,40342,97,434,401,2022-05-01,51517,51389,128
兵庫県,14079,14008,71,113,154,2022-05-01,17889,17802,87
奈良県,8742,8695,47,70,63,2022-05-01,11151,11072,79
和歌山県,4761,4738,23,55,37,2022-05-01,5634,5600,34
鳥取県,3121,3109,12,20,28,2022-05-01,3733,3718,15
島根県,2290,2285,5,24,35,2022-05-01,2730,2725,5
岡山県,3350,3332,18,30,38,2022-05-01,4029,4005,24
広島県,5669,5640,29,76,72,2022-05-01,7196,7160,36
山口県,8229,8197,32,96,83,2022-05-01,9920,9883,37
徳島県,10277,10234,43,80,92,2022-05-01,12595,12546,49
香川県,3221,3194,27,34,42,2022-05-01,3933,3899,34
愛媛県,7264,7183,81,54,78,2022-05-01,8539,8429,110
高知県,5511,5457,54,50,59,2022-05-01,6657,6593,64
福岡県,36704,36531,173,265,306,2022-05-01,48352,48123,229
佐賀県,6329,6271,58,66,67,2022-05-01,7402,7339,63
長崎県,7614,7586,28,57,67,2022-05-01,9505,9469,36
熊本県,7443,7386,57,99,97,2022-05-01,9160,9086,74
大分県,8725,8640,85,69,89,2022-05-01,10480,10381,99
宮崎県,7229,7206,23,65,75,2022-05-01,8715,8688,27
鹿児島県,11409,11282,127,93,129,2022-05-01,14235,14069,166
沖縄県,20756,20651,105,187,183,2022-05-01,25694,25530,164
札幌市,56347,56168,179,630,549,2022-05-01,70975,70768,207
仙台市,14669,14584,85,203,131,2022-05-01,18673,18553,120
さいたま市,15566,15523,43,175,176,2022-05-01,19272,19222,50
千葉市,17707,17534,173,242,225,2022-05-01,21440,21212,228
横浜市,55293,55191,102,715,718,2022-05-01,68761,68620,141
川崎市,23453,23410,43,278,278,2022-05-01,28876,28814,62
相模原市,10966,10931,35,160,95,2022-05-01,14078,14031,47
新潟市,9340,9312,28,80,85,2022-05-01,11734,11700,34
静岡市,7626,7560,66,83,71,2022-05-01,9444,9347,97
浜松市,5782,5733,49,86,70,2022-05-01,7118,7049,69
名古屋市,38315,38091,224,518,513,2022-05-01,46510,46236,274
京都市,31769,31360,409,303,282,2022-05-01,40704,40159,545
大阪市,111377,110796,581,1373,1247,2022-05-01,131549,130874,675
堺市,19275,19243,32,225,223,2022-05-01,24499,24457,42
神戸市,33408,33230,178,283,279,2022-05-01,42770,42559,211
岡山市,9844,9792,52,86,101,2022-05-01,12573,12506,67
広島市,18413,18332,81,174,214,2022-05-01,23356,23249,107
北九州市,18073,18010,63,153,132,2022-05-01,22172,22106,66
福岡市,33782,33637,145,367,354,2022-05-01,42190,42016,174
熊本市,12010,11972,38,127,140,2022-05-01,14853,14806,47
旭川市,9760,9730,30,62,86,2022-05-01,11830,11797,33
函館市,9326,9308,18,77,88,2022-05-01,11215,11194,21
青森市,6668,6666,2,32,48,2022-05-01,8066,8064,2
八戸市,3321,3309,12,24,22,2022-05-01,4012,3998,14
盛岡市,3894,3877,17,42,40,2022-05-01,4546,4527,19
秋田市,4328,4324,4,38,24,2022-05-01,5287,5283,4
山形市,1795,1780,15,26,19,2022-05-01,2150,2133,17
郡山市,2811,2807,4,28,32,2022-05-01,3364,3358,6
いわき市,3370,3367,3,41,28,2022-05-01,4223,4220,3
福島市,2666,2664,2,33,23,2022-05-01,3196,3194,2
水戸市,4115,4084,31,35,33,2022-05-01,5194,5149,45
宇都宮市,6728,6699,29,70,42,2022-05-01,8233,8192,41
前橋市,3445,3420,25,31,28,2022-05-01,4131,4101,30
高崎市,2922,2913,9,41,28,2022-05-01,3411,3396,15
川越市,3399,3395,4,24,30,2022-05-01,4234,4225,9
越谷市,3475,3451,24,35,27,2022-05-01,4393,4358,35
川口市,9319,9291,28,93,90,2022-05-01,11668,11633,35
船橋市,7435,7404,31,69,59,2022-05-01,9246,9207,39
柏市,3951,3939,12,36,55,2022-05-01,4928,4913,15
八王子市,7884,7880,4,102,55,2022-05-01,9791,9787,4
横須賀市,4288,4262,26,46,33,2022-05-01,5433,5399,34
富山市,2157,2151,6,38,19,2022-05-01,2548,2542,6
金沢市,3610,3587,23,37,16,2022-05-01,4100,4073,27
福井市,2139,2121,18,25,22,2022-05-01,2607,2578,29
甲府市,2352,2335,17,18,25,2022-05-01,2792,2773,19
長野市,2648,2624,24,23,28,2022-05-01,3246,3217,29
松本市,1583,1567,16,23,17,2022-05-01,1857,1838,19
岐阜市,4957,4944,13,46,34,2022-05-01,5859,5835,24
豊橋市,1919,1905,14,34,29,2022-05-01,2328,2312,16
豊田市,1793,1780,13,15,29,2022-05-01,2350,2330,20
岡崎市,1789,1780,9,25,12,2022-05-01,2219,2208,11
一宮市,2815,2785,30,45,30,2022-05-01,3469,3433,36
