local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
大津市,3144,3129,15,45,21,2022-05-01,3993,3974,19
高槻市,4332,4326,6,46,39,2022-05-01,5722,5715,7
東大阪市,13433,13401,32,108,124,2022-05-01,16777,16727,50
豊中市,7487,7464,23,72,74,2022-05-01,9419,9387,32
枚方市,5836,5806,30,67,53,2022-05-01,7511,7471,40
八尾市,6081,6080,1,63,62,2022-05-01,7794,7793,1
寝屋川市,5717,5681,36,55,59,2022-05-01,7271,7219,52
吹田市,4363,4358,5,50,35,2022-05-01,5587,5578,9
姫路市,6620,6600,20,57,65,2022-05-01,8122,8098,24
西宮市,5986,5939,47,52,40,2022-05-01,7724,7645,79
尼崎市,13550,13533,17,148,123,2022-05-01,17102,17083,19
明石市,3875,3861,14,22,37,2022-05-01,5022,5004,18
奈良市,5423,5386,37,35,51,2022-05-01,6993,6937,56
和歌山市,7364,7348,16,69,61,2022-05-01,8738,8718,20
鳥取市,2140,2122,18,18,14,2022-05-01,2757,2733,24
松江市,2095,2085,10,21,19,2022-05-01,2650,2635,15
倉敷市,5332,5318,14,62,52,2022-05-01,6979,6960,19
福山市,4707,4697,10,47,42,2022-05-01,5949,5936,13
呉市,2636,2609,27,24,24,2022-05-01,3244,3213,31
下関市,3055,3037,18,23,34,2022-05-01,3679,3653,26
高松市,5069,5032,37,60,47,2022-05-01,6260,6221,39
松山市,9414,9402,12,80,79,2022-05-01,11180,11168,12
高知市,8550,8517,33,44,68,2022-05-01,10629,10586,43
久留米市,5308,5301,7,46,52,2022-05-01,6602,6594,8
長崎市,9230,9180,50,51,55,2022-05-01,11796,11733,63
佐世保市,3945,3932,13,35,41,2022-05-01,4897,4882,15
大分市,6957,6893,64,46,58,2022-05-01,8267,8194,73
宮崎市,6725,6712,13,49,64,2022-05-01,8224,8211,13
鹿児島市,11788,11619,169,103,92,2022-05-01,14804,14596,208
那覇市,10589,10565,24,84,89,2022-05-01,13272,13248,24
