...1,...2,被保護世帯数...3,被保護世帯数...4,被保護世帯数...5,被保護実人員...6,被保護実人員...7,被保護実人員...8,保護開始世帯数,保護廃止世帯数,year_month
全国,全国,1641536,1634374,7162,2053268,2044072,9196,20336,20235,2021-03-01
都道府県,北海道,47378,47309,69,60040,59959,81,497,545,2021-03-01
都道府県,青森県,13559,13541,18,16375,16357,18,150,171,2021-03-01
都道府県,岩手県,6629,6606,23,8194,8164,30,97,99,2021-03-01
都道府県,宮城県,8709,8670,39,11225,11176,49,130,117,2021-03-01
都道府県,秋田県,6648,6631,17,8308,8287,21,84,80,2021-03-01
都道府県,山形県,4802,4776,26,5740,5705,35,73,58,2021-03-01
都道府県,福島県,5431,5401,30,6596,6565,31,76,100,2021-03-01
都道府県,茨城県,19000,18894,106,23264,23132,132,282,240,2021-03-01
都道府県,栃木県,9831,9766,65,11843,11768,75,135,113,2021-03-01
都道府県,群馬県,6269,6232,37,7381,7338,43,102,91,2021-03-01
都道府県,埼玉県,45312,45185,127,57400,57249,151,640,585,2021-03-01
都道府県,千葉県,42237,42062,175,53181,52953,228,643,614,2021-03-01
都道府県,東京都,224414,223599,815,272966,271861,1105,2623,2625,2021-03-01
都道府県,神奈川県,27995,27880,115,35548,35392,156,433,377,2021-03-01
都道府県,新潟県,7120,7081,39,8854,8806,48,111,94,2021-03-01
都道府県,富山県,1422,1388,34,1605,1566,39,22,28,2021-03-01
都道府県,石川県,2592,2566,26,2986,2954,32,34,35,2021-03-01
都道府県,福井県,1379,1358,21,1595,1569,26,15,18,2021-03-01
都道府県,山梨県,3448,3397,51,4250,4188,62,61,43,2021-03-01
都道府県,長野県,6453,6402,51,7793,7717,76,127,100,2021-03-01
都道府県,岐阜県,4550,4490,60,5534,5467,67,81,69,2021-03-01
都道府県,静岡県,12754,12650,104,15465,15336,129,222,161,2021-03-01
都道府県,愛知県,18037,17903,134,22611,22455,156,299,287,2021-03-01
都道府県,三重県,12713,12641,72,15818,15720,98,212,172,2021-03-01
都道府県,滋賀県,5235,5207,28,7041,7007,34,79,92,2021-03-01
都道府県,京都府,9988,9928,60,13563,13463,100,113,132,2021-03-01
都道府県,大阪府,40578,40459,119,52642,52474,168,471,500,2021-03-01
都道府県,兵庫県,14045,13974,71,18046,17940,106,187,169,2021-03-01
都道府県,奈良県,8931,8889,42,11580,11530,50,77,100,2021-03-01
都道府県,和歌山県,4791,4766,25,5735,5698,37,54,70,2021-03-01
都道府県,鳥取県,3156,3149,7,3841,3830,11,40,57,2021-03-01
都道府県,島根県,2367,2363,4,2858,2854,4,29,50,2021-03-01
都道府県,岡山県,3448,3431,17,4156,4136,20,46,40,2021-03-01
都道府県,広島県,5660,5619,41,7263,7214,49,79,80,2021-03-01
都道府県,山口県,8322,8274,48,10119,10063,56,109,111,2021-03-01
都道府県,徳島県,10336,10300,36,12820,12777,43,91,101,2021-03-01
都道府県,香川県,3228,3204,24,4000,3970,30,52,44,2021-03-01
都道府県,愛媛県,7440,7352,88,8905,8787,118,74,105,2021-03-01
都道府県,高知県,5613,5559,54,6839,6777,62,67,80,2021-03-01
都道府県,福岡県,37200,37060,140,49895,49694,201,374,400,2021-03-01
都道府県,佐賀県,6487,6446,41,7695,7649,46,86,88,2021-03-01
都道府県,長崎県,7696,7654,42,9763,9707,56,69,96,2021-03-01
都道府県,熊本県,7451,7403,48,9305,9243,62,117,124,2021-03-01
都道府県,大分県,8881,8789,92,10730,10618,112,83,112,2021-03-01
都道府県,宮崎県,7355,7335,20,8985,8958,27,94,100,2021-03-01
都道府県,鹿児島県,11662,11497,165,14768,14559,209,147,186,2021-03-01
都道府県,沖縄県,20185,20090,95,25402,25276,126,291,263,2021-03-01
指定都市（別掲）,札幌市,56045,55933,112,71738,71615,123,702,618,2021-03-01
指定都市（別掲）,仙台市,14268,14190,78,18416,18302,114,160,125,2021-03-01
指定都市（別掲）,さいたま市,15544,15484,60,19622,19544,78,201,229,2021-03-01
指定都市（別掲）,千葉市,17417,17277,140,21278,21105,173,280,271,2021-03-01
指定都市（別掲）,横浜市,54800,54697,103,69162,69034,128,713,632,2021-03-01
指定都市（別掲）,川崎市,23771,23745,26,29770,29740,30,289,316,2021-03-01
指定都市（別掲）,相模原市,10715,10671,44,13963,13904,59,145,127,2021-03-01
指定都市（別掲）,新潟市,9316,9283,33,11845,11802,43,128,114,2021-03-01
指定都市（別掲）,静岡市,7587,7520,67,9467,9389,78,107,104,2021-03-01
指定都市（別掲）,浜松市,5751,5682,69,7196,7106,90,80,85,2021-03-01
指定都市（別掲）,名古屋市,38670,38426,244,47450,47163,287,639,630,2021-03-01
指定都市（別掲）,京都市,32108,31747,361,41973,41487,486,326,356,2021-03-01
指定都市（別掲）,大阪市,112340,111788,552,134284,133617,667,1369,1420,2021-03-01
指定都市（別掲）,堺市,19336,19300,36,24919,24875,44,248,230,2021-03-01
指定都市（別掲）,神戸市,33898,33756,142,44027,43861,166,323,364,2021-03-01
指定都市（別掲）,岡山市,9832,9806,26,12766,12731,35,125,127,2021-03-01
指定都市（別掲）,広島市,18477,18411,66,23810,23719,91,230,230,2021-03-01
指定都市（別掲）,北九州市,18219,18140,79,22522,22429,93,156,198,2021-03-01
指定都市（別掲）,福岡市,33686,33556,130,42608,42431,177,376,416,2021-03-01
指定都市（別掲）,熊本市,12023,11988,35,15065,15023,42,189,209,2021-03-01
中核市（別掲）,旭川市,9881,9861,20,12192,12168,24,95,79,2021-03-01
中核市（別掲）,函館市,9383,9373,10,11536,11526,10,101,97,2021-03-01
中核市（別掲）,青森市,6755,6753,2,8294,8292,2,52,66,2021-03-01
中核市（別掲）,八戸市,3425,3416,9,4197,4188,9,28,41,2021-03-01
中核市（別掲）,盛岡市,3859,3851,8,4633,4624,9,46,40,2021-03-01
中核市（別掲）,秋田市,4303,4302,1,5304,5303,1,62,35,2021-03-01
中核市（別掲）,山形市,1789,1776,13,2166,2153,13,23,20,2021-03-01
中核市（別掲）,郡山市,2776,2773,3,3344,3341,3,47,45,2021-03-01
中核市（別掲）,いわき市,3398,3393,5,4321,4316,5,61,71,2021-03-01
中核市（別掲）,福島市,2596,2593,3,3144,3141,3,51,23,2021-03-01
中核市（別掲）,水戸市,4120,4083,37,5232,5176,56,43,62,2021-03-01
中核市（別掲）,宇都宮市,6723,6695,28,8321,8278,43,77,91,2021-03-01
中核市（別掲）,前橋市,3410,3377,33,4125,4081,44,30,51,2021-03-01
