...1,...2,被保護世帯数...3,被保護世帯数...4,被保護世帯数...5,被保護実人員...6,被保護実人員...7,被保護実人員...8,保護開始世帯数,保護廃止世帯数,year_month
全国,全国,1638124,1630795,7329,2050391,2040837,9554,17272,16010,2020-12-01
都道府県,北海道,47355,47284,71,59972,59884,88,396,397,2020-12-01
都道府県,青森県,13556,13536,20,16348,16325,23,119,114,2020-12-01
都道府県,岩手県,6636,6605,31,8190,8152,38,86,73,2020-12-01
都道府県,宮城県,8631,8591,40,11119,11073,46,108,87,2020-12-01
都道府県,秋田県,6697,6673,24,8379,8351,28,71,72,2020-12-01
都道府県,山形県,4794,4765,29,5734,5701,33,69,61,2020-12-01
都道府県,福島県,5407,5377,30,6555,6520,35,73,65,2020-12-01
都道府県,茨城県,18874,18776,98,23066,22939,127,258,200,2020-12-01
都道府県,栃木県,9784,9730,54,11811,11742,69,105,92,2020-12-01
都道府県,群馬県,6236,6203,33,7325,7289,36,66,67,2020-12-01
都道府県,埼玉県,45083,44948,135,57181,57013,168,522,471,2020-12-01
都道府県,千葉県,41829,41642,187,52685,52450,235,541,430,2020-12-01
都道府県,東京都,223973,223128,845,272774,271586,1188,2172,2064,2020-12-01
都道府県,神奈川県,27863,27744,119,35403,35251,152,346,269,2020-12-01
都道府県,新潟県,7104,7055,49,8840,8775,65,102,94,2020-12-01
都道府県,富山県,1406,1378,28,1586,1550,36,22,15,2020-12-01
都道府県,石川県,2579,2550,29,2976,2942,34,37,21,2020-12-01
都道府県,福井県,1374,1354,20,1589,1567,22,12,11,2020-12-01
都道府県,山梨県,3411,3370,41,4183,4131,52,53,42,2020-12-01
都道府県,長野県,6399,6356,43,7720,7671,49,98,86,2020-12-01
都道府県,岐阜県,4512,4456,56,5493,5429,64,76,52,2020-12-01
都道府県,静岡県,12645,12532,113,15309,15154,155,182,155,2020-12-01
都道府県,愛知県,17950,17810,140,22547,22358,189,226,234,2020-12-01
都道府県,三重県,12653,12581,72,15714,15613,101,190,143,2020-12-01
都道府県,滋賀県,5207,5185,22,7019,6988,31,67,58,2020-12-01
都道府県,京都府,9977,9906,71,13616,13509,107,87,102,2020-12-01
都道府県,大阪府,40551,40421,130,52689,52515,174,400,380,2020-12-01
都道府県,兵庫県,13931,13867,64,17929,17844,85,155,139,2020-12-01
都道府県,奈良県,8989,8946,43,11642,11583,59,87,75,2020-12-01
都道府県,和歌山県,4802,4769,33,5755,5711,44,48,41,2020-12-01
都道府県,鳥取県,3170,3160,10,3846,3835,11,27,38,2020-12-01
都道府県,島根県,2365,2358,7,2876,2869,7,31,31,2020-12-01
都道府県,岡山県,3469,3451,18,4199,4176,23,31,38,2020-12-01
都道府県,広島県,5621,5589,32,7196,7153,43,61,57,2020-12-01
都道府県,山口県,8324,8277,47,10106,10051,55,77,88,2020-12-01
都道府県,徳島県,10400,10361,39,12903,12844,59,85,86,2020-12-01
都道府県,香川県,3222,3198,24,3994,3965,29,46,45,2020-12-01
都道府県,愛媛県,7464,7389,75,8959,8860,99,61,78,2020-12-01
都道府県,高知県,5638,5581,57,6870,6801,69,45,62,2020-12-01
都道府県,福岡県,37185,37053,132,49867,49659,208,337,263,2020-12-01
都道府県,佐賀県,6503,6466,37,7729,7685,44,76,64,2020-12-01
都道府県,長崎県,7740,7704,36,9831,9787,44,86,73,2020-12-01
都道府県,熊本県,7480,7437,43,9309,9260,49,92,110,2020-12-01
都道府県,大分県,8922,8836,86,10778,10670,108,65,77,2020-12-01
都道府県,宮崎県,7363,7344,19,9010,8982,28,78,75,2020-12-01
都道府県,鹿児島県,11668,11509,159,14822,14616,206,113,116,2020-12-01
都道府県,沖縄県,20006,19907,99,25207,25062,145,247,166,2020-12-01
指定都市（別掲）,札幌市,55892,55766,126,71587,71431,156,688,586,2020-12-01
