"prefec_kanji","date","households_total","households_receive","households_suspend","persons_total","persons_receive","persons_suspend","households_start","households_end","prefec","id","year","month","population_total","population_male","population_female"
"福岡","2020-05-01",1850.5094043887148,1843.4561128526645,7.053291536050156,2392.966300940439,2383.483542319749,9.482758620689655,17.143416927899686,15.45846394984326,"Fukuoka",40,2020,5,5104,2416,2688
"福岡","2020-06-01",1850.587774294671,1843.2601880877744,7.327586206896551,2390.6543887147336,2380.2703761755483,10.384012539184953,15.536833855799372,16.67319749216301,"Fukuoka",40,2020,6,5104,2416,2688
"福岡","2020-07-01",1848.550156739812,1841.6340125391848,6.916144200626959,2385.5995297805644,2376.0188087774295,9.580721003134796,14.635579937304074,16.144200626959247,"Fukuoka",40,2020,7,5104,2416,2688
"福岡","2020-08-01",1847.6684952978057,1840.7523510971785,6.916144200626959,2382.4059561128524,2372.884012539185,9.521943573667711,15.262539184952978,15.850313479623823,"Fukuoka",40,2020,8,5104,2416,2688
"福岡","2020-09-01",1846.9435736677117,1839.635579937304,7.3079937304075235,2380.015673981191,2370.141065830721,9.87460815047022,15.125391849529782,16.967084639498434,"Fukuoka",40,2020,9,5104,2416,2688
"福岡","2020-10-01",1846.9043887147336,1839.71394984326,7.190438871473353,2379.7609717868336,2369.984326018809,9.776645768025078,16.927899686520377,17.378526645768027,"Fukuoka",40,2020,10,5104,2416,2688
"福岡","2020-11-01",1846.8456112852664,1839.4788401253918,7.366771159874608,2379.702194357367,2369.631661442006,10.070532915360502,17.319749216300938,15.869905956112854,"Fukuoka",40,2020,11,5104,2416,2688
"福岡","2020-12-01",1847.5901253918494,1840.5564263322883,7.033699059561129,2380.583855799373,2370.846394984326,9.737460815047022,16.594827586206897,15.360501567398119,"Fukuoka",40,2020,12,5104,2416,2688
"福岡","2021-01-01",1840.3981264637005,1833.7431693989072,6.65495706479313,2370.745511319282,2361.28024980484,9.465261514441842,15.320062451209992,18.30601092896175,"Fukuoka",40,2021,1,5124,2425,2698
"福岡","2021-02-01",1839.519906323185,1832.4746291959407,7.04527712724434,2369.9843871975017,2360.2849336455893,9.699453551912567,17.427790788446526,16.84231069476971,"Fukuoka",40,2021,2,5124,2425,2698
"福岡","2021-03-01",1841.6861826697893,1834.5823575331772,7.103825136612022,2373.6924277907883,2364.090554254489,9.601873536299765,19.008587041373925,21.05776736924278,"Fukuoka",40,2021,3,5124,2425,2698
"福岡","2021-04-01",1838.7782982045276,1832.0062451209992,6.772053083528494,2360.0702576112412,2351.424668227947,8.6455893832943,18.130366900858704,18.520686963309917,"Fukuoka",40,2021,4,5124,2425,2698
"福岡","2021-05-01",1836.8266978922716,1830.0741608118656,6.752537080405934,2354.87900078064,2345.8235753317717,9.055425448868073,16.569086651053862,16.39344262295082,"Fukuoka",40,2021,5,5124,2425,2698
"福岡","2021-06-01",1838.544106167057,1832.16237314598,6.381733021077284,2355.093676814988,2346.623731459797,8.469945355191257,18.110850897736146,16.920374707259953,"Fukuoka",40,2021,6,5124,2425,2698
"福岡","2021-07-01",1838.9539422326309,1831.9086651053865,7.04527712724434,2354.1959406713504,2344.711163153786,9.484777517564403,17.310694769711162,15.456674473067917,"Fukuoka",40,2021,7,5124,2425,2698
"福岡","2021-08-01",1839.7150663544107,1832.4355971896957,7.279469164715066,2354.215456674473,2344.4769711163153,9.73848555815769,16.21779859484778,16.764246682279467,"Fukuoka",40,2021,8,5124,2425,2698
"福岡","2021-09-01",1840.0663544106167,1832.6502732240438,7.41608118657299,2354.0202966432475,2343.7353629976583,10.284933645589383,17.115534738485557,16.705698672911787,"Fukuoka",40,2021,9,5124,2425,2698
"福岡","2021-10-01",1840.1053864168616,1833.177205308353,6.928181108508976,2351.4051522248246,2341.9789227166275,9.426229508196721,16.74473067915691,16.588602654176423,"Fukuoka",40,2021,10,5124,2425,2698
"福岡","2021-11-01",1840.846994535519,1833.6846213895394,7.162373145979703,2351.9906323185014,2342.369242779079,9.621389539422326,17.330210772833723,17.252146760343482,"Fukuoka",40,2021,11,5124,2425,2698
"福岡","2021-12-01",1840.6128024980483,1833.3333333333333,7.279469164715066,2352.0686963309913,2342.525370804059,9.543325526932083,17.017954722872755,17.349726775956285,"Fukuoka",40,2021,12,5124,2425,2698
"福岡","2022-01-01",1838.5050741608118,1831.4207650273224,7.084309133489461,2349.199843871975,2339.871194379391,9.328649492583919,15.241998438719751,17.95472287275566,"Fukuoka",40,2022,1,5124,2425,2698
"福岡","2022-02-01",1836.319281811085,1829.3130366900857,7.0062451209992185,2344.9258391881344,2335.714285714286,9.211553473848557,15.768930523028885,17.17408274785324,"Fukuoka",40,2022,2,5124,2425,2698
"福岡","2022-03-01",1837.0413739266198,1830.2107728337237,6.830601092896176,2346.7798594847773,2337.88056206089,8.899297423887589,17.89617486338798,21.760343481654957,"Fukuoka",40,2022,3,5124,2425,2698
"福岡","2022-04-01",1831.8501170960185,1824.5316159250585,7.318501170960187,2331.967213114754,2322.6775956284155,9.289617486338798,16.569086651053862,16.159250585480095,"Fukuoka",40,2022,4,5124,2425,2698
