prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,date
愛知,33089,2510,7508,8233,10249,2021-07-01
愛媛,10127,482,2008,2260,1871,2021-07-01
茨城,13391,651,2438,2885,3752,2021-07-01
岡山,9757,931,2564,1884,3397,2021-07-01
沖縄,17245,1183,5168,3767,3308,2021-07-01
岩手,5766,356,1613,1066,1561,2021-07-01
岐阜,6021,247,1122,1255,941,2021-07-01
宮崎,8421,502,1546,1802,1805,2021-07-01
宮城,11748,1171,3521,2324,4341,2021-07-01
京都,21902,2785,5239,4246,7357,2021-07-01
熊本,11196,723,3026,1373,3023,2021-07-01
群馬,7624,306,1629,1529,1432,2021-07-01
広島,16179,1652,5813,3341,4435,2021-07-01
香川,4385,368,856,1058,1516,2021-07-01
高知,8606,474,1592,1281,2262,2021-07-01
佐賀,3882,152,776,971,586,2021-07-01
埼玉,41577,3316,9755,9105,13078,2021-07-01
三重,7293,523,1745,1537,1543,2021-07-01
山形,3616,170,768,972,1046,2021-07-01
山口,6934,334,1222,1294,1541,2021-07-01
山梨,3513,147,677,529,896,2021-07-01
滋賀,4088,496,1235,1323,1131,2021-07-01
鹿児島,12955,1010,2983,2264,3869,2021-07-01
秋田,6641,273,1169,1109,1680,2021-07-01
新潟,8344,669,2222,1643,3478,2021-07-01
神奈川,64121,5888,17060,12740,21682,2021-07-01
青森,15061,488,2860,2143,2990,2021-07-01
静岡,14398,1061,3118,2927,4515,2021-07-01
石川,3732,122,1010,553,672,2021-07-01
千葉,37651,2920,9014,8416,12918,2021-07-01
全国,909658,71351,208569,194501,248107,2021-07-01
大阪,126975,10668,31812,22478,26254,2021-07-01
大分,9848,417,1920,1364,2075,2021-07-01
長崎,11590,902,2127,2857,3321,2021-07-01
長野,4775,284,1649,1036,1255,2021-07-01
鳥取,2784,201,691,729,855,2021-07-01
島根,2408,181,680,379,765,2021-07-01
東京,126344,8411,25977,31973,37939,2021-07-01
徳島,6159,345,940,1802,1049,2021-07-01
栃木,9048,509,2214,2160,2445,2021-07-01
奈良,8100,787,1802,1853,1670,2021-07-01
富山,2025,69,447,430,480,2021-07-01
福井,2072,88,332,419,553,2021-07-01
福岡,53576,4620,9638,10768,15265,2021-07-01
福島,7872,427,1882,1728,2200,2021-07-01
兵庫,42186,4160,9347,10502,11196,2021-07-01
北海道,66700,7009,14793,16727,16548,2021-07-01
和歌山,7933,363,1061,1466,1362,2021-07-01
