prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,date
愛知,33064,2413,7754,8197,10133,2022-05-01
愛媛,10105,444,2045,2169,1822,2022-05-01
茨城,13565,640,2467,3052,3636,2022-05-01
岡山,9774,867,2540,1857,3404,2022-05-01
沖縄,17799,1163,5155,3758,3341,2022-05-01
岩手,5838,322,1631,1046,1573,2022-05-01
岐阜,5993,247,1158,1217,939,2022-05-01
宮崎,8446,479,1530,1710,1753,2022-05-01
宮城,11870,1149,3638,2326,4399,2022-05-01
京都,21820,2554,5309,3978,7491,2022-05-01
熊本,11291,711,2964,1263,3129,2022-05-01
群馬,7746,302,1682,1575,1352,2022-05-01
広島,16185,1557,5846,3258,4432,2022-05-01
香川,4461,356,876,1010,1523,2022-05-01
高知,8509,446,1595,1229,2195,2022-05-01
佐賀,3871,147,755,878,620,2022-05-01
埼玉,42045,3114,10244,9031,13033,2022-05-01
三重,7306,517,1723,1562,1531,2022-05-01
山形,3734,156,799,942,971,2022-05-01
山口,6885,317,1254,1273,1505,2022-05-01
山梨,3554,138,667,525,885,2022-05-01
滋賀,4127,476,1267,1337,1132,2022-05-01
鹿児島,13013,986,2938,2155,3809,2022-05-01
秋田,6593,242,1155,1028,1683,2022-05-01
新潟,8399,638,2243,1651,3527,2022-05-01
神奈川,64287,5553,17720,12843,21734,2022-05-01
青森,14921,465,2828,2113,2911,2022-05-01
静岡,14543,1002,3198,2898,4610,2022-05-01
石川,3749,121,1027,536,730,2022-05-01
千葉,38074,2803,9326,8302,13249,2022-05-01
全国,911340,67501,212285,191287,249565,2022-05-01
大阪,126613,10077,32392,21834,26581,2022-05-01
大分,9787,396,1905,1326,2119,2022-05-01
長崎,11671,836,2077,2756,3358,2022-05-01
長野,4795,258,1663,1021,1265,2022-05-01
鳥取,2787,201,700,700,843,2022-05-01
島根,2404,169,687,369,741,2022-05-01
東京,125808,7904,26738,31420,38448,2022-05-01
徳島,6147,349,927,1747,1064,2022-05-01
栃木,9154,460,2263,2109,2471,2022-05-01
奈良,8047,714,1850,1790,1680,2022-05-01
富山,2061,74,450,429,533,2022-05-01
福井,2093,93,351,420,534,2022-05-01
福岡,53791,4384,9711,10549,15044,2022-05-01
福島,7972,416,1877,1714,2246,2022-05-01
兵庫,42112,3976,9457,10308,11318,2022-05-01
北海道,66690,6527,14827,16616,16901,2022-05-01
和歌山,7841,342,1076,1460,1367,2022-05-01
