prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,date
愛知,33080,2502,7668,8241,10249,2021-12-01
愛媛,10184,475,2025,2228,1842,2021-12-01
茨城,13367,662,2499,3114,3640,2021-12-01
岡山,9639,908,2613,1923,3408,2021-12-01
沖縄,17442,1206,5172,3851,3426,2021-12-01
岩手,5746,360,1656,1057,1576,2021-12-01
岐阜,5990,256,1144,1262,944,2021-12-01
宮崎,8387,522,1562,1766,1833,2021-12-01
宮城,11778,1192,3569,2345,4426,2021-12-01
京都,21627,2826,5352,4165,7507,2021-12-01
熊本,11239,713,3010,1332,3127,2021-12-01
群馬,7681,316,1679,1590,1388,2021-12-01
広島,16203,1646,5828,3325,4467,2021-12-01
香川,4383,369,887,1054,1528,2021-12-01
高知,8586,450,1615,1253,2274,2021-12-01
佐賀,3836,151,777,933,600,2021-12-01
埼玉,41478,3343,10048,9246,13235,2021-12-01
三重,7257,528,1733,1568,1562,2021-12-01
山形,3604,175,795,986,1049,2021-12-01
山口,6872,344,1255,1315,1530,2021-12-01
山梨,3485,147,706,529,908,2021-12-01
滋賀,4054,512,1261,1370,1148,2021-12-01
鹿児島,12860,1029,2964,2264,3937,2021-12-01
秋田,6530,281,1197,1094,1715,2021-12-01
新潟,8246,692,2270,1697,3568,2021-12-01
神奈川,64194,5924,17468,12753,21686,2021-12-01
青森,14930,502,2896,2178,2975,2021-12-01
静岡,14432,1059,3212,2934,4588,2021-12-01
石川,3698,127,1030,553,720,2021-12-01
千葉,37739,2976,9243,8529,13144,2021-12-01
全国,907301,71512,212246,195104,251000,2021-12-01
大阪,126945,10381,32330,22082,26878,2021-12-01
大分,9788,421,1914,1383,2127,2021-12-01
長崎,11623,909,2125,2807,3355,2021-12-01
長野,4743,278,1660,1063,1291,2021-12-01
鳥取,2736,212,704,744,884,2021-12-01
島根,2386,182,688,370,781,2021-12-01
東京,125517,8455,26626,32196,38348,2021-12-01
徳島,6148,357,969,1792,1048,2021-12-01
栃木,9086,506,2259,2207,2471,2021-12-01
奈良,8071,791,1841,1829,1683,2021-12-01
富山,2012,74,463,440,535,2021-12-01
福井,2069,90,336,431,555,2021-12-01
福岡,53478,4648,9731,10763,15320,2021-12-01
福島,7882,438,1930,1733,2241,2021-12-01
兵庫,41952,4159,9471,10529,11457,2021-12-01
北海道,66472,7050,14979,16797,16668,2021-12-01
和歌山,7846,368,1086,1483,1358,2021-12-01
