prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,date
愛知,33086,2499,7587,8272,10224,2021-10-01
愛媛,10150,481,2030,2220,1838,2021-10-01
茨城,13358,649,2484,3085,3618,2021-10-01
岡山,9693,922,2594,1916,3395,2021-10-01
沖縄,17347,1192,5155,3829,3373,2021-10-01
岩手,5736,356,1639,1050,1559,2021-10-01
岐阜,6003,250,1119,1277,949,2021-10-01
宮崎,8392,517,1554,1769,1817,2021-10-01
宮城,11781,1188,3541,2356,4380,2021-10-01
京都,21706,2826,5315,4206,7449,2021-10-01
熊本,11221,722,3003,1368,3083,2021-10-01
群馬,7689,319,1657,1575,1370,2021-10-01
広島,16210,1646,5817,3328,4428,2021-10-01
香川,4378,364,880,1052,1522,2021-10-01
高知,8583,453,1602,1268,2274,2021-10-01
佐賀,3841,152,783,956,578,2021-10-01
埼玉,41449,3332,9984,9175,13133,2021-10-01
三重,7248,526,1735,1560,1559,2021-10-01
山形,3599,172,786,996,1030,2021-10-01
山口,6887,340,1242,1311,1534,2021-10-01
山梨,3491,152,690,534,901,2021-10-01
滋賀,4045,502,1244,1362,1131,2021-10-01
鹿児島,12886,1030,2967,2268,3912,2021-10-01
秋田,6557,274,1184,1105,1693,2021-10-01
新潟,8267,678,2228,1677,3512,2021-10-01
神奈川,64077,5907,17270,12684,21818,2021-10-01
青森,14972,496,2862,2159,2951,2021-10-01
静岡,14415,1064,3171,2932,4553,2021-10-01
石川,3713,124,1021,559,691,2021-10-01
千葉,37651,2941,9155,8497,13103,2021-10-01
全国,907673,71395,210615,195132,249186,2021-10-01
大阪,126927,10490,32161,22262,26512,2021-10-01
大分,9822,419,1907,1377,2105,2021-10-01
長崎,11597,904,2120,2851,3325,2021-10-01
長野,4760,275,1659,1047,1263,2021-10-01
鳥取,2746,212,700,738,869,2021-10-01
島根,2370,181,686,373,766,2021-10-01
東京,125902,8443,26296,32241,37983,2021-10-01
徳島,6161,356,947,1789,1047,2021-10-01
栃木,9070,513,2238,2186,2479,2021-10-01
奈良,8089,788,1822,1823,1672,2021-10-01
富山,2002,71,451,427,499,2021-10-01
福井,2061,86,333,428,544,2021-10-01
福岡,53513,4630,9728,10770,15291,2021-10-01
福島,7881,437,1891,1740,2193,2021-10-01
兵庫,41978,4147,9416,10547,11364,2021-10-01
北海道,66494,6999,14883,16703,16519,2021-10-01
和歌山,7869,370,1078,1484,1377,2021-10-01
