prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,date
愛知,33062,2498,7636,8245,10244,2021-11-01
愛媛,10176,476,2026,2217,1844,2021-11-01
茨城,13339,657,2491,3090,3632,2021-11-01
岡山,9648,912,2597,1908,3402,2021-11-01
沖縄,17378,1202,5177,3833,3403,2021-11-01
岩手,5739,358,1649,1048,1571,2021-11-01
岐阜,6006,253,1136,1259,953,2021-11-01
宮崎,8404,517,1559,1770,1817,2021-11-01
宮城,11784,1187,3555,2351,4374,2021-11-01
京都,21673,2828,5319,4181,7502,2021-11-01
熊本,11256,716,3000,1353,3114,2021-11-01
群馬,7686,318,1674,1576,1394,2021-11-01
広島,16214,1641,5823,3323,4437,2021-11-01
香川,4382,364,887,1057,1527,2021-11-01
高知,8577,450,1611,1252,2266,2021-11-01
佐賀,3832,149,785,937,591,2021-11-01
埼玉,41491,3344,10013,9187,13163,2021-11-01
三重,7257,526,1738,1566,1572,2021-11-01
山形,3609,174,787,990,1042,2021-11-01
山口,6890,343,1245,1313,1538,2021-11-01
山梨,3490,147,700,535,910,2021-11-01
滋賀,4063,507,1256,1369,1153,2021-11-01
鹿児島,12878,1027,2960,2271,3933,2021-11-01
秋田,6547,274,1190,1099,1709,2021-11-01
新潟,8264,684,2240,1672,3535,2021-11-01
神奈川,64204,5909,17366,12713,21763,2021-11-01
青森,14937,498,2866,2176,2971,2021-11-01
静岡,14461,1059,3198,2923,4565,2021-11-01
石川,3711,127,1027,560,694,2021-11-01
千葉,37727,2971,9187,8498,13130,2021-11-01
全国,907945,71445,211426,194985,250239,2021-11-01
大阪,126949,10432,32237,22165,26778,2021-11-01
大分,9791,419,1911,1366,2105,2021-11-01
長崎,11606,915,2122,2827,3355,2021-11-01
長野,4766,277,1667,1044,1269,2021-11-01
鳥取,2732,210,703,744,867,2021-11-01
島根,2371,180,688,372,772,2021-11-01
東京,125870,8463,26451,32246,38152,2021-11-01
徳島,6160,356,955,1786,1052,2021-11-01
栃木,9088,510,2254,2202,2479,2021-11-01
奈良,8080,786,1833,1819,1689,2021-11-01
富山,2006,72,458,430,516,2021-11-01
福井,2076,88,335,426,552,2021-11-01
福岡,53532,4632,9740,10750,15304,2021-11-01
福島,7875,440,1899,1741,2218,2021-11-01
兵庫,41990,4158,9447,10565,11398,2021-11-01
北海道,66511,7023,14944,16751,16611,2021-11-01
和歌山,7857,368,1084,1479,1373,2021-11-01
