prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,date
愛知,33006,2551,7452,8291,10124,2021-04-01
愛媛,10119,495,1994,2322,1871,2021-04-01
茨城,13371,659,2398,2841,3701,2021-04-01
岡山,9811,934,2545,1909,3348,2021-04-01
沖縄,17109,1203,5179,3679,3245,2021-04-01
岩手,5801,354,1624,1081,1573,2021-04-01
岐阜,6003,262,1106,1253,929,2021-04-01
宮崎,8495,508,1532,1804,1808,2021-04-01
宮城,11701,1171,3470,2322,4238,2021-04-01
京都,22016,2773,5175,4234,7373,2021-04-01
熊本,11138,740,3017,1414,2996,2021-04-01
群馬,7604,311,1623,1531,1401,2021-04-01
広島,16174,1649,5767,3381,4489,2021-04-01
香川,4355,365,842,1071,1481,2021-04-01
高知,8623,476,1569,1320,2289,2021-04-01
佐賀,3920,162,767,973,599,2021-04-01
埼玉,41492,3307,9644,9143,12985,2021-04-01
三重,7301,536,1724,1535,1518,2021-04-01
山形,3602,170,754,974,1049,2021-04-01
山口,6968,336,1227,1300,1533,2021-04-01
山梨,3531,150,678,527,893,2021-04-01
滋賀,4066,491,1208,1322,1136,2021-04-01
鹿児島,12942,995,3000,2266,3847,2021-04-01
秋田,6701,267,1150,1108,1708,2021-04-01
新潟,8403,668,2226,1619,3465,2021-04-01
神奈川,63961,5934,16845,12767,21607,2021-04-01
青森,15138,491,2848,2160,2997,2021-04-01
静岡,14380,1043,3069,2922,4449,2021-04-01
石川,3751,120,1001,552,642,2021-04-01
千葉,37563,2911,8936,8389,12580,2021-04-01
全国,910942,71732,207000,194976,246925,2021-04-01
大阪,127102,10783,31559,22658,26351,2021-04-01
大分,9857,419,1908,1386,2104,2021-04-01
長崎,11616,913,2152,2888,3298,2021-04-01
長野,4833,284,1626,1045,1243,2021-04-01
鳥取,2806,205,686,717,846,2021-04-01
島根,2438,179,667,377,758,2021-04-01
東京,126648,8456,25779,31838,37900,2021-04-01
徳島,6175,351,921,1807,1032,2021-04-01
栃木,9120,507,2183,2174,2425,2021-04-01
奈良,8125,804,1808,1876,1665,2021-04-01
富山,2010,61,444,423,458,2021-04-01
福井,2066,87,327,416,536,2021-04-01
福岡,53679,4612,9575,10782,15224,2021-04-01
福島,7920,434,1858,1737,2169,2021-04-01
兵庫,42385,4211,9309,10516,11166,2021-04-01
北海道,67194,7022,14773,16867,16516,2021-04-01
和歌山,7923,372,1055,1459,1360,2021-04-01
