prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,date
愛知,32992,2423,7748,8172,10071,2022-04-01
愛媛,10112,445,2029,2182,1803,2022-04-01
茨城,13560,638,2445,3041,3601,2022-04-01
岡山,9768,860,2535,1863,3392,2022-04-01
沖縄,17800,1168,5146,3751,3349,2022-04-01
岩手,5825,325,1640,1036,1576,2022-04-01
岐阜,5974,248,1149,1221,923,2022-04-01
宮崎,8451,477,1524,1724,1748,2022-04-01
宮城,11851,1147,3611,2305,4380,2022-04-01
京都,21866,2552,5276,3970,7467,2022-04-01
熊本,11238,707,2978,1264,3107,2022-04-01
群馬,7745,298,1679,1559,1333,2022-04-01
広島,16150,1561,5847,3276,4406,2022-04-01
香川,4454,361,866,1005,1509,2022-04-01
高知,8529,438,1601,1233,2193,2022-04-01
佐賀,3866,146,747,882,616,2022-04-01
埼玉,41939,3110,10152,9026,12994,2022-04-01
三重,7301,514,1723,1548,1509,2022-04-01
山形,3735,156,790,935,975,2022-04-01
山口,6878,317,1247,1277,1483,2022-04-01
山梨,3551,135,666,523,882,2022-04-01
滋賀,4118,465,1247,1341,1124,2022-04-01
鹿児島,13005,990,2929,2159,3813,2022-04-01
秋田,6618,241,1151,1015,1689,2022-04-01
新潟,8424,635,2244,1650,3504,2022-04-01
神奈川,64244,5572,17654,12790,21595,2022-04-01
青森,14971,462,2821,2108,2907,2022-04-01
静岡,14510,996,3185,2895,4588,2022-04-01
石川,3747,121,1024,536,724,2022-04-01
千葉,38039,2822,9288,8305,13169,2022-04-01
全国,911176,67545,211595,191057,248694,2022-04-01
大阪,126474,10054,32313,21821,26589,2022-04-01
大分,9808,394,1894,1336,2120,2022-04-01
長崎,11682,844,2071,2754,3365,2022-04-01
長野,4815,256,1653,1021,1255,2022-04-01
鳥取,2790,199,697,702,859,2022-04-01
島根,2401,172,686,368,737,2022-04-01
東京,125729,7922,26616,31416,38296,2022-04-01
徳島,6148,343,934,1746,1045,2022-04-01
栃木,9155,460,2250,2091,2452,2022-04-01
奈良,8078,716,1836,1780,1682,2022-04-01
富山,2040,68,442,426,537,2022-04-01
福井,2110,91,342,424,533,2022-04-01
福岡,53769,4383,9711,10556,15070,2022-04-01
福島,7970,411,1867,1696,2241,2022-04-01
兵庫,42204,4014,9441,10284,11272,2022-04-01
北海道,66892,6551,14825,16592,16857,2022-04-01
和歌山,7850,337,1075,1452,1354,2022-04-01
