prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,date
愛知,33098,2517,7536,8224,10244,2021-08-01
愛媛,10148,483,2017,2246,1872,2021-08-01
茨城,13400,650,2448,2884,3747,2021-08-01
岡山,9732,935,2581,1900,3393,2021-08-01
沖縄,17319,1184,5164,3792,3329,2021-08-01
岩手,5757,355,1622,1058,1556,2021-08-01
岐阜,6019,247,1117,1266,943,2021-08-01
宮崎,8398,506,1554,1795,1816,2021-08-01
宮城,11749,1176,3518,2327,4349,2021-08-01
京都,21824,2790,5262,4232,7362,2021-08-01
熊本,11181,733,3019,1364,3034,2021-08-01
群馬,7642,311,1643,1557,1384,2021-08-01
広島,16154,1646,5835,3328,4446,2021-08-01
香川,4374,368,877,1051,1510,2021-08-01
高知,8596,470,1593,1267,2268,2021-08-01
佐賀,3865,152,781,968,585,2021-08-01
埼玉,41546,3327,9824,9158,13057,2021-08-01
三重,7266,532,1752,1542,1554,2021-08-01
山形,3603,171,772,979,1049,2021-08-01
山口,6935,337,1233,1303,1539,2021-08-01
山梨,3501,148,674,534,891,2021-08-01
滋賀,4077,500,1244,1340,1120,2021-08-01
鹿児島,12942,1012,2984,2257,3880,2021-08-01
秋田,6604,271,1178,1104,1682,2021-08-01
新潟,8340,673,2234,1644,3498,2021-08-01
神奈川,64132,5896,17119,12697,21759,2021-08-01
青森,15007,484,2858,2165,2984,2021-08-01
静岡,14414,1065,3141,2924,4549,2021-08-01
石川,3719,124,1017,551,679,2021-08-01
千葉,37659,2921,9057,8439,12967,2021-08-01
全国,908960,71322,209216,194750,248313,2021-08-01
大阪,127003,10602,31921,22406,26291,2021-08-01
大分,9844,413,1909,1370,2087,2021-08-01
長崎,11585,904,2114,2863,3332,2021-08-01
長野,4754,276,1656,1036,1268,2021-08-01
鳥取,2780,205,695,736,867,2021-08-01
島根,2393,181,682,377,761,2021-08-01
東京,126209,8385,26062,32182,37892,2021-08-01
徳島,6167,349,947,1807,1049,2021-08-01
栃木,9047,508,2209,2179,2460,2021-08-01
奈良,8109,784,1811,1845,1667,2021-08-01
富山,2011,73,447,436,475,2021-08-01
福井,2074,89,327,422,547,2021-08-01
福岡,53564,4622,9659,10791,15258,2021-08-01
福島,7860,425,1878,1746,2187,2021-08-01
兵庫,42094,4158,9373,10509,11266,2021-08-01
北海道,66557,6997,14799,16657,16507,2021-08-01
和歌山,7908,367,1073,1492,1353,2021-08-01
