local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1637490,1630067,7423,15676,15023,2022-04-01,2023665,2014102,9563
北海道,46464,46396,68,381,416,2022-04-01,58130,58049,81
青森県,13297,13276,21,97,125,2022-04-01,15900,15876,24
岩手県,6567,6538,29,69,72,2022-04-01,8022,7987,35
宮城県,8859,8801,58,97,94,2022-04-01,11288,11214,74
秋田県,6416,6397,19,46,78,2022-04-01,7909,7887,22
山形県,4850,4824,26,46,53,2022-04-01,5756,5723,33
福島県,5384,5363,21,60,46,2022-04-01,6446,6425,21
茨城県,19306,19213,93,216,173,2022-04-01,23331,23224,107
栃木県,9816,9754,62,89,82,2022-04-01,11669,11593,76
群馬県,6321,6293,28,82,49,2022-04-01,7347,7316,31
埼玉県,45759,45615,144,490,370,2022-04-01,57209,57028,181
千葉県,42939,42774,165,441,359,2022-04-01,53386,53186,200
東京都,222998,222139,859,1924,1868,2022-04-01,268409,267158,1251
神奈川県,28431,28315,116,359,291,2022-04-01,35685,35543,142
新潟県,7207,7156,51,88,80,2022-04-01,8943,8870,73
富山県,1414,1391,23,23,16,2022-04-01,1602,1569,33
石川県,2590,2568,22,31,15,2022-04-01,2943,2919,24
福井県,1398,1381,17,15,22,2022-04-01,1621,1601,20
山梨県,3469,3418,51,34,20,2022-04-01,4210,4145,65
長野県,4839,4812,27,40,58,2022-04-01,5850,5820,30
岐阜県,4629,4591,38,61,42,2022-04-01,5586,5543,43
静岡県,13051,12937,114,152,138,2022-04-01,15699,15561,138
愛知県,15282,15181,101,196,166,2022-04-01,18980,18854,126
三重県,12716,12595,121,132,116,2022-04-01,15659,15504,155
滋賀県,5222,5192,30,60,52,2022-04-01,6866,6827,39
京都府,9835,9780,55,94,86,2022-04-01,13094,13007,87
大阪府,40402,40296,106,405,397,2022-04-01,51546,51403,143
兵庫県,14101,14026,75,147,135,2022-04-01,17946,17854,92
奈良県,8752,8703,49,67,80,2022-04-01,11168,11084,84
和歌山県,4745,4723,22,32,39,2022-04-01,5611,5577,34
鳥取県,3139,3125,14,27,39,2022-04-01,3763,3745,18
島根県,2284,2282,2,24,18,2022-04-01,2738,2736,2
岡山県,3358,3340,18,46,38,2022-04-01,4035,4011,24
広島県,5657,5623,34,57,64,2022-04-01,7200,7152,48
山口県,8192,8159,33,68,59,2022-04-01,9886,9851,35
徳島県,10263,10216,47,73,66,2022-04-01,12577,12524,53
香川県,3220,3190,30,33,33,2022-04-01,3931,3892,39
愛媛県,7277,7189,88,56,67,2022-04-01,8555,8436,119
高知県,5528,5472,56,57,67,2022-04-01,6673,6609,64
福岡県,36721,36548,173,272,282,2022-04-01,48491,48253,238
佐賀県,6321,6257,64,56,58,2022-04-01,7409,7337,72
長崎県,7628,7595,33,67,71,2022-04-01,9559,9519,40
熊本県,7416,7358,58,83,72,2022-04-01,9117,9046,71
大分県,8750,8661,89,87,94,2022-04-01,10507,10404,103
宮崎県,7239,7214,25,76,75,2022-04-01,8735,8706,29
鹿児島県,11414,11288,126,125,98,2022-04-01,14252,14089,163
沖縄県,20746,20649,97,231,177,2022-04-01,25698,25544,154
札幌市,56359,56251,108,660,642,2022-04-01,71068,70949,119
仙台市,14573,14493,80,141,107,2022-04-01,18569,18461,108
さいたま市,15531,15480,51,143,140,2022-04-01,19258,19201,57
千葉市,17694,17507,187,238,229,2022-04-01,21474,21226,248
横浜市,55145,55050,95,597,567,2022-04-01,68681,68558,123
川崎市,23413,23374,39,214,238,2022-04-01,28867,28809,58
相模原市,10906,10872,34,126,100,2022-04-01,14014,13969,45
新潟市,9324,9301,23,92,64,2022-04-01,11743,11715,28
静岡市,7601,7536,65,65,58,2022-04-01,9415,9322,93
浜松市,5757,5701,56,68,61,2022-04-01,7088,7013,75
名古屋市,38218,37995,223,413,421,2022-04-01,46420,46143,277
京都市,31781,31351,430,252,315,2022-04-01,40753,40202,551
大阪市,111250,110706,544,1236,1246,2022-04-01,131742,131104,638
堺市,19230,19195,35,215,180,2022-04-01,24511,24464,47
神戸市,33403,33252,151,247,278,2022-04-01,42918,42735,183
岡山市,9832,9785,47,87,74,2022-04-01,12567,12504,63
広島市,18388,18311,77,170,149,2022-04-01,23350,23252,98
北九州市,18067,17998,69,163,147,2022-04-01,22169,22096,73
福岡市,33776,33650,126,371,361,2022-04-01,42235,42078,157
熊本市,11975,11936,39,128,92,2022-04-01,14842,14796,46
旭川市,9779,9759,20,69,81,2022-04-01,11870,11849,21
函館市,9324,9311,13,79,75,2022-04-01,11225,11212,13
青森市,6683,6683,0,44,47,2022-04-01,8093,8093,0
八戸市,3322,3310,12,22,25,2022-04-01,4013,3997,16
盛岡市,3882,3864,18,40,30,2022-04-01,4543,4523,20
秋田市,4319,4317,2,31,29,2022-04-01,5288,5286,2
山形市,1780,1767,13,18,11,2022-04-01,2133,2118,15
郡山市,2806,2802,4,24,23,2022-04-01,3360,3354,6
いわき市,3377,3374,3,47,48,2022-04-01,4242,4239,3
福島市,2649,2646,3,34,16,2022-04-01,3184,3181,3
水戸市,4109,4072,37,28,29,2022-04-01,5198,5145,53
宇都宮市,6682,6654,28,52,24,2022-04-01,8193,8153,40
前橋市,3449,3422,27,40,35,2022-04-01,4141,4107,34
高崎市,2911,2899,12,22,30,2022-04-01,3396,3375,21
川越市,3405,3401,4,22,30,2022-04-01,4243,4238,5
越谷市,3472,3450,22,40,32,2022-04-01,4398,4368,30
川口市,9305,9275,30,78,79,2022-04-01,11673,11636,37
船橋市,7444,7411,33,59,78,2022-04-01,9259,9216,43
柏市,3944,3931,13,44,29,2022-04-01,4932,4916,16
八王子市,7843,7840,3,70,61,2022-04-01,9766,9763,3
横須賀市,4278,4244,34,43,36,2022-04-01,5414,5370,44
富山市,2128,2122,6,19,9,2022-04-01,2499,2493,6
金沢市,3602,3584,18,37,29,2022-04-01,4088,4066,22
福井市,2139,2119,20,22,25,2022-04-01,2608,2578,30
甲府市,2353,2339,14,15,19,2022-04-01,2797,2781,16
長野市,2651,2624,27,27,26,2022-04-01,3252,3220,32
松本市,1582,1564,18,23,22,2022-04-01,1861,1840,21
岐阜市,4945,4924,21,21,34,2022-04-01,5846,5810,36
豊橋市,1900,1888,12,37,15,2022-04-01,2302,2288,14
豊田市,1803,1794,9,17,25,2022-04-01,2365,2352,13
