local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1641564,1633524,8040,17829,16283,2021-09-01,2038210,2027683,10527
北海道,46773,46679,94,418,424,2021-09-01,58709,58592,117
青森県,13428,13398,30,122,104,2021-09-01,16093,16055,38
岩手県,6552,6520,32,71,77,2021-09-01,8027,7985,42
宮城県,8850,8789,61,133,101,2021-09-01,11336,11249,87
秋田県,6540,6525,15,47,67,2021-09-01,8090,8072,18
山形県,4853,4817,36,65,52,2021-09-01,5772,5725,47
福島県,5394,5365,29,64,55,2021-09-01,6507,6474,33
茨城県,19224,19120,104,296,215,2021-09-01,23366,23250,116
栃木県,9846,9783,63,121,86,2021-09-01,11788,11710,78
群馬県,6295,6268,27,75,73,2021-09-01,7356,7319,37
埼玉県,45562,45398,164,530,464,2021-09-01,57265,57056,209
千葉県,42645,42442,203,538,419,2021-09-01,53269,53010,259
東京都,224142,223223,919,2316,2083,2021-09-01,270943,269610,1333
神奈川県,28240,28116,124,317,329,2021-09-01,35657,35506,151
新潟県,7152,7107,45,96,80,2021-09-01,8868,8813,55
富山県,1401,1363,38,12,10,2021-09-01,1594,1547,47
石川県,2613,2584,29,28,32,2021-09-01,2985,2952,33
福井県,1406,1380,26,11,28,2021-09-01,1626,1594,32
山梨県,3477,3413,64,57,44,2021-09-01,4256,4183,73
長野県,4851,4815,36,73,50,2021-09-01,5856,5815,41
岐阜県,4594,4550,44,64,49,2021-09-01,5567,5518,49
静岡県,12956,12843,113,190,162,2021-09-01,15634,15477,157
愛知県,15278,15202,76,219,172,2021-09-01,19023,18926,97
三重県,12739,12640,99,144,141,2021-09-01,15791,15656,135
滋賀県,5271,5226,45,79,80,2021-09-01,6988,6917,71
京都府,9879,9827,52,107,106,2021-09-01,13232,13160,72
大阪府,40482,40371,111,435,417,2021-09-01,51947,51794,153
兵庫県,14068,13970,98,162,148,2021-09-01,17972,17827,145
奈良県,8825,8782,43,67,62,2021-09-01,11350,11283,67
和歌山県,4788,4767,21,49,47,2021-09-01,5692,5663,29
鳥取県,3157,3146,11,44,36,2021-09-01,3803,3786,17
島根県,2334,2323,11,38,28,2021-09-01,2818,2805,13
岡山県,3430,3403,27,47,53,2021-09-01,4122,4085,37
広島県,5692,5651,41,72,60,2021-09-01,7283,7226,57
山口県,8284,8242,42,85,67,2021-09-01,10023,9974,49
徳島県,10357,10306,51,88,99,2021-09-01,12746,12667,79
香川県,3227,3190,37,36,33,2021-09-01,3952,3906,46
愛媛県,7412,7325,87,71,93,2021-09-01,8774,8655,119
高知県,5592,5550,42,60,58,2021-09-01,6771,6716,55
福岡県,36977,36815,162,281,313,2021-09-01,49181,48915,266
佐賀県,6390,6333,57,61,75,2021-09-01,7519,7454,65
長崎県,7661,7610,51,85,79,2021-09-01,9664,9598,66
熊本県,7439,7387,52,121,81,2021-09-01,9168,9090,78
大分県,8796,8691,105,86,74,2021-09-01,10568,10449,119
宮崎県,7299,7278,21,98,77,2021-09-01,8818,8795,23
鹿児島県,11590,11434,156,136,138,2021-09-01,14612,14394,218
沖縄県,20406,20322,84,231,187,2021-09-01,25465,25343,122
札幌市,55978,55781,197,634,571,2021-09-01,71122,70896,226
仙台市,14503,14408,95,169,154,2021-09-01,18589,18462,127
さいたま市,15535,15474,61,185,151,2021-09-01,19430,19360,70
千葉市,17704,17534,170,270,233,2021-09-01,21528,21317,211
横浜市,55085,55003,82,722,690,2021-09-01,68954,68839,115
川崎市,23699,23662,37,297,295,2021-09-01,29436,29384,52
相模原市,10813,10773,40,121,110,2021-09-01,13971,13922,49
新潟市,9299,9269,30,82,93,2021-09-01,11733,11689,44
静岡市,7594,7516,78,74,92,2021-09-01,9432,9328,104
浜松市,5803,5746,57,73,74,2021-09-01,7185,7114,71
名古屋市,38641,38356,285,534,537,2021-09-01,47121,46769,352
京都市,32054,31654,400,338,308,2021-09-01,41466,40947,519
