local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
前橋市,3398,3364,34,41,29,2021-06-01,4094,4052,42
高崎市,2923,2906,17,31,26,2021-06-01,3438,3421,17
川越市,3490,3484,6,29,38,2021-06-01,4416,4407,9
越谷市,3415,3392,23,41,21,2021-06-01,4375,4340,35
川口市,9178,9158,20,86,67,2021-06-01,11613,11588,25
船橋市,7313,7271,42,75,57,2021-06-01,9148,9094,54
柏市,3893,3885,8,73,44,2021-06-01,4906,4898,8
八王子市,7603,7595,8,83,48,2021-06-01,9492,9484,8
横須賀市,4212,4187,25,48,37,2021-06-01,5348,5319,29
富山市,2054,2052,2,32,19,2021-06-01,2376,2374,2
金沢市,3547,3514,33,28,44,2021-06-01,4061,4027,34
福井市,2082,2071,11,22,11,2021-06-01,2583,2572,11
甲府市,2383,2365,18,24,23,2021-06-01,2841,2816,25
長野市,2656,2622,34,28,30,2021-06-01,3252,3206,46
松本市,1571,1560,11,24,22,2021-06-01,1852,1836,16
岐阜市,5097,5067,30,39,28,2021-06-01,6057,6020,37
豊橋市,1785,1773,12,30,16,2021-06-01,2155,2142,13
豊田市,1800,1788,12,21,23,2021-06-01,2378,2363,15
岡崎市,1766,1749,17,28,18,2021-06-01,2200,2180,20
一宮市,2735,2711,24,28,23,2021-06-01,3406,3378,28
大津市,3075,3055,20,34,31,2021-06-01,3896,3866,30
高槻市,4299,4291,8,35,26,2021-06-01,5747,5737,10
東大阪市,13719,13677,42,125,82,2021-06-01,17348,17288,60
豊中市,7552,7520,32,52,54,2021-06-01,9590,9553,37
枚方市,5777,5744,33,61,45,2021-06-01,7518,7470,48
八尾市,6013,6011,2,58,52,2021-06-01,7762,7758,4
寝屋川市,5577,5552,25,53,52,2021-06-01,7215,7178,37
吹田市,4367,4364,3,40,35,2021-06-01,5626,5620,6
姫路市,6616,6599,17,35,58,2021-06-01,8126,8107,19
西宮市,5978,5919,59,43,36,2021-06-01,7773,7678,95
尼崎市,13593,13582,11,98,130,2021-06-01,17257,17243,14
明石市,3879,3864,15,40,34,2021-06-01,5060,5041,19
奈良市,5456,5414,42,31,41,2021-06-01,7130,7068,62
和歌山市,7447,7422,25,72,70,2021-06-01,8878,8847,31
鳥取市,2150,2131,19,20,16,2021-06-01,2787,2762,25
松江市,2093,2081,12,15,20,2021-06-01,2664,2643,21
倉敷市,5298,5292,6,50,47,2021-06-01,6956,6950,6
福山市,4750,4741,9,36,42,2021-06-01,6024,6011,13
呉市,2729,2713,16,27,28,2021-06-01,3383,3367,16
下関市,3112,3099,13,27,25,2021-06-01,3789,3774,15
高松市,5027,4973,54,59,45,2021-06-01,6225,6164,61
松山市,9452,9441,11,64,67,2021-06-01,11298,11286,12
高知市,8755,8707,48,53,73,2021-06-01,10929,10871,58
久留米市,5250,5236,14,40,45,2021-06-01,6566,6546,20
長崎市,9310,9250,60,52,62,2021-06-01,11971,11897,74
佐世保市,3969,3957,12,33,40,2021-06-01,4966,4952,14
大分市,6994,6924,70,60,53,2021-06-01,8354,8271,83
宮崎市,6851,6832,19,50,65,2021-06-01,8436,8414,22
鹿児島市,11789,11641,148,91,85,2021-06-01,14868,14675,193
那覇市,10403,10384,19,112,63,2021-06-01,13178,13155,23
