local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1639469,1631669,7800,17012,16430,2021-06-01,2039038,2028916,10122
北海道,47071,46982,89,371,475,2021-06-01,59156,59051,105
青森県,13477,13455,22,98,126,2021-06-01,16166,16138,28
岩手県,6561,6527,34,59,83,2021-06-01,8064,8020,44
宮城県,8762,8712,50,110,90,2021-06-01,11226,11165,61
秋田県,6585,6566,19,59,71,2021-06-01,8156,8133,23
山形県,4823,4787,36,58,46,2021-06-01,5735,5688,47
福島県,5408,5384,24,70,82,2021-06-01,6539,6513,26
茨城県,19086,18987,99,252,188,2021-06-01,23255,23141,114
栃木県,9815,9743,72,113,107,2021-06-01,11778,11691,87
群馬県,6237,6202,35,60,65,2021-06-01,7296,7257,39
埼玉県,45395,45254,141,497,445,2021-06-01,57187,56999,188
千葉県,42357,42169,188,561,441,2021-06-01,53112,52867,245
東京都,223867,222993,874,2010,2084,2021-06-01,271033,269772,1261
神奈川県,28057,27945,112,334,281,2021-06-01,35469,35329,140
新潟県,7106,7070,36,64,75,2021-06-01,8811,8769,42
富山県,1414,1375,39,21,13,2021-06-01,1592,1548,44
石川県,2603,2578,25,39,23,2021-06-01,2979,2953,26
福井県,1409,1383,26,14,13,2021-06-01,1619,1586,33
山梨県,3461,3406,55,55,34,2021-06-01,4255,4190,65
長野県,4874,4826,48,67,69,2021-06-01,5888,5828,60
岐阜県,4560,4506,54,60,47,2021-06-01,5532,5473,59
静岡県,12854,12756,98,193,150,2021-06-01,15548,15417,131
愛知県,15277,15179,98,200,202,2021-06-01,19079,18956,123
三重県,12718,12633,85,142,158,2021-06-01,15773,15645,128
滋賀県,5247,5203,44,64,68,2021-06-01,7009,6947,62
京都府,9938,9878,60,85,120,2021-06-01,13382,13278,104
大阪府,40426,40305,121,411,409,2021-06-01,52045,51863,182
兵庫県,14026,13933,93,159,124,2021-06-01,17965,17834,131
奈良県,8854,8815,39,69,79,2021-06-01,11403,11344,59
和歌山県,4787,4764,23,53,45,2021-06-01,5688,5660,28
鳥取県,3138,3132,6,42,42,2021-06-01,3796,3788,8
島根県,2337,2333,4,30,23,2021-06-01,2809,2805,4
岡山県,3439,3423,16,34,51,2021-06-01,4124,4108,16
広島県,5666,5627,39,63,63,2021-06-01,7245,7194,51
山口県,8260,8220,40,69,76,2021-06-01,9979,9935,44
徳島県,10340,10301,39,95,86,2021-06-01,12756,12698,58
香川県,3221,3188,33,32,29,2021-06-01,3974,3932,42
愛媛県,7407,7316,91,62,65,2021-06-01,8818,8695,123
高知県,5574,5528,46,48,46,2021-06-01,6763,6701,62
福岡県,37065,36927,138,313,315,2021-06-01,49352,49139,213
佐賀県,6442,6392,50,56,87,2021-06-01,7590,7531,59
長崎県,7660,7602,58,64,76,2021-06-01,9668,9591,77
熊本県,7433,7371,62,97,97,2021-06-01,9226,9141,85
大分県,8817,8712,105,67,89,2021-06-01,10619,10494,125
宮崎県,7295,7262,33,76,85,2021-06-01,8837,8786,51
鹿児島県,11603,11434,169,127,133,2021-06-01,14628,14389,239
沖縄県,20250,20149,101,229,188,2021-06-01,25355,25218,137
札幌市,56097,55861,236,610,610,2021-06-01,71323,71062,261
仙台市,14429,14333,96,190,157,2021-06-01,18502,18376,126
さいたま市,15499,15435,64,172,172,2021-06-01,19461,19375,86
千葉市,17576,17446,130,320,242,2021-06-01,21373,21200,173
横浜市,54979,54878,101,733,662,2021-06-01,68945,68806,139
川崎市,23700,23663,37,279,315,2021-06-01,29485,29443,42
相模原市,10777,10730,47,138,104,2021-06-01,13936,13878,58
新潟市,9300,9270,30,96,88,2021-06-01,11735,11693,42
静岡市,7594,7530,64,91,68,2021-06-01,9408,9335,73
浜松市,5774,5709,65,88,73,2021-06-01,7170,7088,82
名古屋市,38609,38348,261,526,514,2021-06-01,47144,46827,317
京都市,32048,31673,375,317,280,2021-06-01,41548,41058,490
大阪市,112012,111446,566,1233,1271,2021-06-01,133299,132606,693
堺市,19251,19220,31,203,188,2021-06-01,24684,24642,42
神戸市,33738,33574,164,293,326,2021-06-01,43555,43363,192
岡山市,9860,9823,37,137,110,2021-06-01,12734,12690,44
広島市,18403,18330,73,180,185,2021-06-01,23544,23451,93
北九州市,18135,18069,66,142,150,2021-06-01,22323,22257,66
福岡市,33757,33648,109,433,357,2021-06-01,42434,42299,135
熊本市,11984,11960,24,143,125,2021-06-01,14913,14888,25
旭川市,9851,9802,49,56,94,2021-06-01,12058,11995,63
函館市,9333,9314,19,73,83,2021-06-01,11380,11357,23
青森市,6719,6717,2,44,33,2021-06-01,8206,8203,3
八戸市,3399,3381,18,16,29,2021-06-01,4143,4123,20
盛岡市,3865,3847,18,30,41,2021-06-01,4614,4591,23
秋田市,4303,4301,2,42,33,2021-06-01,5284,5282,2
山形市,1780,1768,12,20,13,2021-06-01,2136,2123,13
郡山市,2765,2759,6,14,29,2021-06-01,3319,3313,6
いわき市,3371,3368,3,42,42,2021-06-01,4254,4251,3
福島市,2605,2601,4,31,34,2021-06-01,3134,3130,4
水戸市,4103,4059,44,44,37,2021-06-01,5178,5113,65
宇都宮市,6670,6643,27,47,55,2021-06-01,8226,8189,37
