local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
岡崎市,1765,1747,18,25,27,2021-05-01,2206,2187,19
一宮市,2736,2710,26,33,29,2021-05-01,3411,3381,30
大津市,3066,3053,13,33,25,2021-05-01,3887,3868,19
高槻市,4295,4286,9,26,31,2021-05-01,5742,5733,9
東大阪市,13733,13696,37,91,139,2021-05-01,17409,17360,49
豊中市,7562,7534,28,61,62,2021-05-01,9623,9592,31
枚方市,5759,5728,31,53,43,2021-05-01,7489,7447,42
八尾市,6011,6010,1,63,56,2021-05-01,7744,7741,3
寝屋川市,5566,5541,25,51,42,2021-05-01,7197,7159,38
吹田市,4363,4361,2,36,36,2021-05-01,5637,5634,3
姫路市,6636,6620,16,54,55,2021-05-01,8160,8140,20
西宮市,5977,5920,57,38,42,2021-05-01,7781,7685,96
尼崎市,13616,13606,10,133,121,2021-05-01,17283,17272,11
明石市,3882,3868,14,32,43,2021-05-01,5072,5054,18
奈良市,5468,5426,42,38,43,2021-05-01,7155,7097,58
和歌山市,7431,7410,21,58,56,2021-05-01,8864,8838,26
鳥取市,2145,2124,21,10,15,2021-05-01,2785,2753,32
松江市,2088,2078,10,16,10,2021-05-01,2659,2643,16
倉敷市,5309,5302,7,43,61,2021-05-01,6978,6968,10
福山市,4753,4743,10,31,39,2021-05-01,6025,6013,12
呉市,2726,2710,16,26,24,2021-05-01,3387,3371,16
下関市,3117,3103,14,16,32,2021-05-01,3792,3777,15
高松市,5006,4951,55,52,38,2021-05-01,6214,6153,61
松山市,9452,9439,13,50,64,2021-05-01,11322,11307,15
高知市,8752,8712,40,47,50,2021-05-01,10931,10884,47
久留米市,5255,5242,13,42,45,2021-05-01,6591,6570,21
長崎市,9332,9272,60,53,74,2021-05-01,12013,11937,76
佐世保市,3970,3954,16,31,34,2021-05-01,4974,4954,20
大分市,6991,6918,73,53,57,2021-05-01,8369,8284,85
宮崎市,6865,6845,20,45,64,2021-05-01,8460,8437,23
鹿児島市,11778,11630,148,98,80,2021-05-01,14855,14663,192
那覇市,10384,10367,17,104,93,2021-05-01,13164,13142,22
