local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1640648,1632561,8087,16139,16912,2021-08-01,2037800,2027232,10568
北海道,46834,46736,98,324,479,2021-08-01,58797,58681,116
青森県,13443,13416,27,107,137,2021-08-01,16106,16071,35
岩手県,6547,6512,35,65,66,2021-08-01,8031,7987,44
宮城県,8816,8757,59,112,99,2021-08-01,11301,11222,79
秋田県,6550,6531,19,56,57,2021-08-01,8110,8089,21
山形県,4848,4800,48,54,61,2021-08-01,5763,5703,60
福島県,5401,5376,25,55,71,2021-08-01,6522,6493,29
茨城県,19170,19072,98,223,242,2021-08-01,23292,23174,118
栃木県,9809,9751,58,114,84,2021-08-01,11745,11673,72
群馬県,6272,6242,30,68,52,2021-08-01,7331,7295,36
埼玉県,45517,45364,153,516,485,2021-08-01,57263,57068,195
千葉県,42535,42337,198,507,428,2021-08-01,53167,52915,252
東京都,224015,223075,940,2027,2189,2021-08-01,270886,269530,1356
神奈川県,28195,28081,114,331,272,2021-08-01,35607,35465,142
新潟県,7155,7110,45,93,99,2021-08-01,8864,8810,54
富山県,1409,1367,42,21,20,2021-08-01,1599,1548,51
石川県,2609,2580,29,24,24,2021-08-01,2988,2957,31
福井県,1412,1386,26,25,17,2021-08-01,1626,1595,31
山梨県,3457,3395,62,31,37,2021-08-01,4232,4156,76
長野県,4848,4806,42,63,70,2021-08-01,5855,5805,50
岐阜県,4591,4543,48,64,61,2021-08-01,5559,5506,53
静岡県,12917,12801,116,171,150,2021-08-01,15611,15459,152
愛知県,15254,15176,78,175,195,2021-08-01,19044,18944,100
三重県,12740,12646,94,136,145,2021-08-01,15791,15657,134
滋賀県,5256,5209,47,52,64,2021-08-01,7003,6921,82
京都府,9884,9822,62,99,112,2021-08-01,13241,13154,87
大阪府,40421,40314,107,354,374,2021-08-01,51883,51732,151
兵庫県,14027,13927,100,144,121,2021-08-01,17929,17782,147
奈良県,8840,8798,42,68,82,2021-08-01,11362,11296,66
和歌山県,4790,4770,20,45,51,2021-08-01,5693,5666,27
鳥取県,3156,3147,9,42,43,2021-08-01,3799,3785,14
島根県,2334,2324,10,18,38,2021-08-01,2820,2809,11
岡山県,3430,3406,24,38,47,2021-08-01,4116,4086,30
広島県,5680,5639,41,61,60,2021-08-01,7265,7206,59
山口県,8300,8263,37,81,101,2021-08-01,10030,9988,42
徳島県,10366,10319,47,93,97,2021-08-01,12755,12683,72
香川県,3225,3187,38,30,34,2021-08-01,3954,3906,48
愛媛県,7408,7318,90,76,67,2021-08-01,8775,8653,122
高知県,5593,5544,49,56,61,2021-08-01,6785,6715,70
福岡県,37007,36848,159,247,311,2021-08-01,49232,48986,246
佐賀県,6407,6351,56,50,78,2021-08-01,7542,7478,64
長崎県,7657,7597,60,86,81,2021-08-01,9658,9577,81
熊本県,7403,7355,48,78,85,2021-08-01,9153,9083,70
大分県,8813,8708,105,81,103,2021-08-01,10581,10464,117
宮崎県,7287,7262,25,76,84,2021-08-01,8803,8768,35
鹿児島県,11594,11429,165,116,140,2021-08-01,14600,14376,224
沖縄県,20415,20334,81,255,240,2021-08-01,25484,25372,112
札幌市,55988,55719,269,544,645,2021-08-01,71131,70823,308
仙台市,14463,14362,101,151,129,2021-08-01,18527,18390,137
さいたま市,15509,15449,60,150,159,2021-08-01,19420,19354,66
千葉市,17664,17510,154,276,230,2021-08-01,21471,21280,191
横浜市,55004,54917,87,673,641,2021-08-01,68864,68743,121
川崎市,23657,23622,35,268,255,2021-08-01,29384,29333,51
相模原市,10816,10774,42,121,124,2021-08-01,13960,13908,52
新潟市,9309,9279,30,92,92,2021-08-01,11725,11682,43
