...1,...2,...3,被保護世帯数,...5,...6,被保護実人員,...8,...9,保護開始,保護廃止,year_month
全国,NA,NA,1638384,1630065,8319,2115368,2103862,11506,15623,17040,2018-02-01
NA,北海道,NA,49163,49098,65,64840,64757,83,405,368,2018-02-01
NA,青森,NA,13698,13682,16,16824,16807,17,96,108,2018-02-01
NA,岩手,NA,6683,6653,30,8526,8481,45,75,69,2018-02-01
NA,宮城,NA,8108,8065,43,10788,10720,68,99,74,2018-02-01
NA,秋田,NA,7125,7106,19,9189,9166,23,49,73,2018-02-01
NA,山形,NA,6336,6288,48,7786,7727,59,94,68,2018-02-01
NA,福島,NA,7769,7707,62,9606,9535,71,89,80,2018-02-01
NA,茨城,NA,21792,21681,111,27617,27461,156,237,198,2018-02-01
NA,栃木,NA,9950,9885,65,12409,12315,94,93,112,2018-02-01
NA,群馬,NA,6265,6218,47,7655,7592,63,71,71,2018-02-01
NA,埼玉,NA,52171,51994,177,68731,68491,240,529,486,2018-02-01
NA,千葉,NA,39525,39341,184,51157,50902,255,442,416,2018-02-01
NA,東京,NA,225273,224237,1036,281088,279587,1501,2079,2374,2018-02-01
NA,神奈川,NA,26574,26452,122,34786,34624,162,319,311,2018-02-01
NA,新潟,NA,7091,7035,56,8985,8900,85,67,66,2018-02-01
NA,富山,NA,1455,1421,34,1695,1650,45,18,14,2018-02-01
NA,石川,NA,2653,2628,25,3087,3058,29,23,35,2018-02-01
NA,福井,NA,3373,3295,78,4142,4049,93,32,34,2018-02-01
NA,山梨,NA,5691,5612,79,7079,6966,113,50,71,2018-02-01
NA,長野,NA,6365,6295,70,7824,7722,102,74,85,2018-02-01
NA,岐阜,NA,4351,4294,57,5353,5278,75,55,44,2018-02-01
NA,静岡,NA,11919,11826,93,14714,14591,123,143,148,2018-02-01
NA,愛知,NA,17734,17597,137,23041,22829,212,191,223,2018-02-01
NA,三重,NA,12652,12567,85,16129,16004,125,131,171,2018-02-01
NA,滋賀,NA,5165,5111,54,7225,7142,83,58,63,2018-02-01
NA,京都,NA,10255,10173,82,14588,14451,137,92,101,2018-02-01
NA,大阪,NA,56551,56352,199,76976,76695,281,519,571,2018-02-01
NA,兵庫,NA,17764,17644,120,23796,23626,170,173,165,2018-02-01
NA,奈良,NA,9574,9525,49,12901,12827,74,92,77,2018-02-01
NA,和歌山,NA,4950,4920,30,6077,6040,37,40,49,2018-02-01
NA,鳥取,NA,5529,5487,42,7243,7166,77,53,51,2018-02-01
NA,島根,NA,4613,4597,16,5875,5853,22,40,48,2018-02-01
NA,岡山,NA,3856,3827,29,4900,4855,45,46,51,2018-02-01
NA,広島,NA,5914,5860,54,7885,7803,82,62,78,2018-02-01
NA,山口,NA,8848,8801,47,11062,10990,72,82,108,2018-02-01
NA,徳島,NA,10645,10613,32,13677,13620,57,87,102,2018-02-01
NA,香川,NA,3455,3432,23,4423,4394,29,39,36,2018-02-01
NA,愛媛,NA,7628,7545,83,9421,9306,115,76,81,2018-02-01
NA,高知,NA,5867,5805,62,7373,7281,92,49,64,2018-02-01
NA,福岡,NA,38440,38273,167,53224,52965,259,252,315,2018-02-01
NA,佐賀,NA,6445,6407,38,7854,7800,54,59,74,2018-02-01
NA,長崎,NA,8049,8016,33,10574,10530,44,85,88,2018-02-01
NA,熊本,NA,7438,7393,45,9448,9384,64,68,94,2018-02-01
NA,大分,NA,9090,9005,85,11273,11163,110,83,88,2018-02-01
NA,宮崎,NA,7377,7345,32,9182,9145,37,84,108,2018-02-01
NA,鹿児島,NA,12059,11926,133,15628,15422,206,101,132,2018-02-01
NA,沖縄,NA,18699,18597,102,24362,24215,147,159,164,2018-02-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-02-01
NA,札幌市,NA,54870,54791,79,73164,73067,97,569,554,2018-02-01
NA,仙台市,NA,13525,13447,78,18022,17904,118,149,171,2018-02-01
NA,さいたま市,NA,15308,15203,105,20013,19855,158,145,151,2018-02-01
NA,千葉市,NA,16622,16408,214,20863,20552,311,257,282,2018-02-01
NA,横浜市,NA,53919,53790,129,70414,70237,177,650,576,2018-02-01
NA,川崎市,NA,24215,24161,54,31406,31331,75,264,318,2018-02-01
NA,相模原市,NA,10115,10081,34,13963,13898,65,104,95,2018-02-01
NA,新潟市,NA,9125,9081,44,12009,11949,60,85,94,2018-02-01
NA,静岡市,NA,7138,7067,71,9171,9086,85,66,71,2018-02-01
NA,浜松市,NA,5722,5631,91,7322,7183,139,77,86,2018-02-01
