...1,...2,...3,被保護世帯数,...5,...6,被保護実人員,...8,...9,保護開始,保護廃止,year_month
全国,NA,NA,1639402,1631076,8326,2096955,2085596,11359,18018,16761,2018-11-01
NA,北海道,NA,48793,48725,68,63530,63445,85,491,448,2018-11-01
NA,青森,NA,13625,13601,24,16630,16599,31,122,99,2018-11-01
NA,岩手,NA,6705,6670,35,8476,8423,53,81,62,2018-11-01
NA,宮城,NA,8303,8256,47,10932,10865,67,116,81,2018-11-01
NA,秋田,NA,7085,7061,24,9047,9019,28,86,80,2018-11-01
NA,山形,NA,6427,6356,71,7864,7777,87,96,80,2018-11-01
NA,福島,NA,5450,5405,45,6651,6600,51,72,80,2018-11-01
NA,茨城,NA,22362,22246,116,28044,27914,130,315,249,2018-11-01
NA,栃木,NA,9869,9802,67,12173,12084,89,131,118,2018-11-01
NA,群馬,NA,6257,6219,38,7548,7490,58,59,70,2018-11-01
NA,埼玉,NA,43975,43804,171,57262,57018,244,520,455,2018-11-01
NA,千葉,NA,40313,40135,178,51740,51504,236,504,394,2018-11-01
NA,東京,NA,225310,224268,1042,279107,277580,1527,2365,2267,2018-11-01
NA,神奈川,NA,26860,26731,129,34872,34706,166,317,288,2018-11-01
NA,新潟,NA,7124,7070,54,8994,8910,84,97,89,2018-11-01
NA,富山,NA,1454,1407,47,1669,1612,57,24,18,2018-11-01
NA,石川,NA,2590,2561,29,3009,2976,33,24,17,2018-11-01
NA,福井,NA,3394,3330,64,4128,4051,77,37,42,2018-11-01
NA,山梨,NA,5723,5651,72,7045,6949,96,71,57,2018-11-01
NA,長野,NA,6338,6278,60,7721,7639,82,69,99,2018-11-01
NA,岐阜,NA,4381,4324,57,5333,5272,61,54,42,2018-11-01
NA,静岡,NA,12086,11986,100,14812,14677,135,151,132,2018-11-01
NA,愛知,NA,17719,17586,133,22780,22592,188,199,201,2018-11-01
NA,三重,NA,12604,12504,100,15963,15829,134,150,136,2018-11-01
NA,滋賀,NA,5137,5102,35,7133,7073,60,76,62,2018-11-01
NA,京都,NA,10201,10131,70,14297,14193,104,107,97,2018-11-01
NA,大阪,NA,50704,50516,188,67979,67719,260,470,502,2018-11-01
NA,兵庫,NA,13908,13809,99,18298,18153,145,168,144,2018-11-01
NA,奈良,NA,9492,9442,50,12707,12621,86,78,71,2018-11-01
NA,和歌山,NA,4920,4869,51,5980,5912,68,52,55,2018-11-01
NA,鳥取,NA,3322,3309,13,4090,4072,18,46,41,2018-11-01
NA,島根,NA,2416,2408,8,2991,2983,8,30,29,2018-11-01
NA,岡山,NA,3780,3754,26,4731,4699,32,34,55,2018-11-01
