...1,...2,...3,被保護世帯数,...5,...6,被保護実人員,...8,...9,保護開始,保護廃止,year_month
全国,NA,NA,1639768,1631823,7945,2116807,2106055,10752,18434,20310,2018-03-01
NA,北海道,NA,49253,49186,67,64983,64894,89,459,561,2018-03-01
NA,青森,NA,13711,13694,17,16849,16829,20,121,123,2018-03-01
NA,岩手,NA,6700,6674,26,8550,8506,44,86,91,2018-03-01
NA,宮城,NA,8173,8132,41,10867,10811,56,139,117,2018-03-01
NA,秋田,NA,7128,7112,16,9194,9176,18,76,98,2018-03-01
NA,山形,NA,6349,6300,49,7795,7737,58,81,73,2018-03-01
NA,福島,NA,7784,7720,64,9617,9545,72,95,115,2018-03-01
NA,茨城,NA,21904,21792,112,27744,27586,158,310,287,2018-03-01
NA,栃木,NA,9937,9874,63,12381,12295,86,99,142,2018-03-01
NA,群馬,NA,6267,6221,46,7649,7588,61,73,83,2018-03-01
NA,埼玉,NA,52299,52144,155,68856,68650,206,615,668,2018-03-01
NA,千葉,NA,39652,39470,182,51329,51084,245,543,518,2018-03-01
NA,東京,NA,225401,224430,971,281204,279802,1402,2502,2699,2018-03-01
NA,神奈川,NA,26612,26492,120,34836,34678,158,349,385,2018-03-01
NA,新潟,NA,7139,7088,51,9064,8987,77,114,83,2018-03-01
NA,富山,NA,1463,1430,33,1708,1664,44,22,26,2018-03-01
NA,石川,NA,2635,2612,23,3060,3034,26,17,50,2018-03-01
NA,福井,NA,3388,3309,79,4157,4062,95,49,53,2018-03-01
NA,山梨,NA,5695,5613,82,7076,6953,123,75,67,2018-03-01
NA,長野,NA,6408,6349,59,7882,7799,83,128,90,2018-03-01
NA,岐阜,NA,4353,4296,57,5331,5266,65,46,63,2018-03-01
NA,静岡,NA,11949,11857,92,14726,14598,128,178,166,2018-03-01
NA,愛知,NA,17777,17647,130,23091,22905,186,266,261,2018-03-01
NA,三重,NA,12612,12530,82,16076,15967,109,131,168,2018-03-01
NA,滋賀,NA,5181,5133,48,7270,7198,72,79,100,2018-03-01
NA,京都,NA,10264,10197,67,14590,14489,101,110,114,2018-03-01
NA,大阪,NA,56573,56395,178,76969,76713,256,593,649,2018-03-01
NA,兵庫,NA,17820,17706,114,23862,23700,162,221,223,2018-03-01
NA,奈良,NA,9601,9558,43,12962,12902,60,104,107,2018-03-01
NA,和歌山,NA,4965,4937,28,6091,6057,34,64,71,2018-03-01
NA,鳥取,NA,5552,5502,50,7275,7183,92,74,42,2018-03-01
NA,島根,NA,4633,4613,20,5908,5887,21,68,85,2018-03-01
NA,岡山,NA,3853,3821,32,4894,4853,41,48,52,2018-03-01
NA,広島,NA,5912,5857,55,7889,7812,77,77,105,2018-03-01
NA,山口,NA,8810,8771,39,10995,10934,61,70,102,2018-03-01
NA,徳島,NA,10626,10594,32,13650,13600,50,83,97,2018-03-01
NA,香川,NA,3469,3443,26,4425,4391,34,50,46,2018-03-01
NA,愛媛,NA,7640,7561,79,9398,9288,110,92,119,2018-03-01
NA,高知,NA,5862,5804,58,7366,7290,76,60,72,2018-03-01
NA,福岡,NA,38455,38308,147,53241,53031,210,330,424,2018-03-01
NA,佐賀,NA,6443,6403,40,7854,7801,53,72,82,2018-03-01
NA,長崎,NA,8051,8023,28,10569,10530,39,90,86,2018-03-01
NA,熊本,NA,7439,7399,40,9440,9387,53,96,117,2018-03-01
NA,大分,NA,9089,9011,78,11269,11168,101,87,108,2018-03-01
NA,宮崎,NA,7351,7323,28,9155,9126,29,82,106,2018-03-01
NA,鹿児島,NA,12044,11920,124,15612,15425,187,117,183,2018-03-01
NA,沖縄,NA,18771,18676,95,24442,24311,131,237,227,2018-03-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-03-01
NA,札幌市,NA,54975,54875,100,73268,73152,116,660,692,2018-03-01
NA,仙台市,NA,13514,13441,73,17988,17884,104,160,159,2018-03-01
NA,さいたま市,NA,15345,15254,91,20060,19922,138,188,195,2018-03-01
NA,千葉市,NA,16595,16397,198,20856,20574,282,255,267,2018-03-01
NA,横浜市,NA,54042,53913,129,70537,70354,183,699,648,2018-03-01
NA,川崎市,NA,24183,24137,46,31372,31308,64,286,326,2018-03-01
NA,相模原市,NA,10152,10126,26,14013,13966,47,132,137,2018-03-01
NA,新潟市,NA,9133,9089,44,12015,11963,52,102,112,2018-03-01
NA,静岡市,NA,7160,7093,67,9220,9138,82,93,102,2018-03-01
NA,浜松市,NA,5709,5631,78,7293,7180,113,73,91,2018-03-01
NA,名古屋市,NA,38473,38256,217,48424,48163,261,602,634,2018-03-01
NA,京都市,NA,32789,32448,341,44445,43976,469,306,412,2018-03-01
NA,大阪市,NA,114841,114148,693,141003,140157,846,1337,1533,2018-03-01
NA,堺市,NA,19297,19254,43,25835,25775,60,195,229,2018-03-01
NA,神戸市,NA,34550,34414,136,46471,46285,186,293,379,2018-03-01
NA,岡山市,NA,10010,9969,41,13402,13353,49,100,130,2018-03-01
NA,広島市,NA,18920,18858,62,25300,25225,75,193,270,2018-03-01
NA,北九州市,NA,18439,18366,73,23370,23292,78,173,213,2018-03-01
NA,福岡市,NA,33704,33576,128,43723,43564,159,372,447,2018-03-01
NA,熊本市,NA,12020,11955,65,15683,15595,88,171,216,2018-03-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-03-01
NA,旭川市,NA,10011,9991,20,12832,12808,24,85,93,2018-03-01
