...1,...2,...3,被保護世帯数,...5,...6,被保護実人員,...8,...9,保護開始,保護廃止,year_month
全国,NA,NA,1635754,1628015,7739,2049409,2039148,10261,16613,15959,2020-09-01
NA,北海道,NA,47408,47319,89,60031,59916,115,362,396,2020-09-01
NA,青森,NA,13540,13508,32,16315,16280,35,108,108,2020-09-01
NA,岩手,NA,6652,6610,42,8216,8162,54,71,84,2020-09-01
NA,宮城,NA,8583,8534,49,11064,10999,65,106,100,2020-09-01
NA,秋田,NA,6731,6703,28,8412,8378,34,69,62,2020-09-01
NA,山形,NA,4781,4732,49,5738,5670,68,56,53,2020-09-01
NA,福島,NA,5375,5347,28,6528,6493,35,57,46,2020-09-01
NA,茨城,NA,18725,18629,96,22870,22745,125,251,160,2020-09-01
NA,栃木,NA,9765,9710,55,11811,11740,71,113,99,2020-09-01
NA,群馬,NA,6209,6170,39,7296,7252,44,80,65,2020-09-01
NA,埼玉,NA,44906,44760,146,57052,56857,195,506,423,2020-09-01
NA,千葉,NA,41497,41313,184,52306,52027,279,533,423,2020-09-01
NA,東京,NA,223958,223004,954,272982,271660,1322,1968,2124,2020-09-01
NA,神奈川,NA,27727,27613,114,35253,35116,137,385,306,2020-09-01
NA,新潟,NA,7059,7000,59,8734,8656,78,95,73,2020-09-01
NA,富山,NA,1408,1373,35,1580,1535,45,18,17,2020-09-01
NA,石川,NA,2571,2530,41,2973,2921,52,35,22,2020-09-01
NA,福井,NA,1378,1357,21,1598,1576,22,19,14,2020-09-01
NA,山梨,NA,3383,3334,49,4162,4091,71,45,45,2020-09-01
NA,長野,NA,6381,6327,54,7738,7673,65,101,71,2020-09-01
NA,岐阜,NA,4486,4432,54,5450,5389,61,55,59,2020-09-01
NA,静岡,NA,12571,12484,87,15248,15122,126,147,145,2020-09-01
NA,愛知,NA,17840,17702,138,22438,22251,187,263,206,2020-09-01
NA,三重,NA,12585,12509,76,15605,15493,112,148,113,2020-09-01
NA,滋賀,NA,5189,5167,22,6999,6966,33,67,68,2020-09-01
NA,京都,NA,9990,9922,68,13655,13556,99,79,102,2020-09-01
NA,大阪,NA,40568,40429,139,52751,52573,178,385,378,2020-09-01
NA,兵庫,NA,13925,13839,86,17943,17824,119,136,149,2020-09-01
NA,奈良,NA,9003,8950,53,11698,11623,75,52,60,2020-09-01
NA,和歌山,NA,4816,4783,33,5773,5736,37,58,58,2020-09-01
NA,鳥取,NA,3181,3167,14,3871,3854,17,24,36,2020-09-01
NA,島根,NA,2367,2358,9,2900,2887,13,24,24,2020-09-01
NA,岡山,NA,3509,3493,16,4242,4222,20,48,41,2020-09-01
NA,広島,NA,5603,5570,33,7220,7172,48,60,59,2020-09-01
NA,山口,NA,8332,8296,36,10121,10083,38,87,81,2020-09-01
NA,徳島,NA,10386,10343,43,12895,12839,56,79,61,2020-09-01
NA,香川,NA,3217,3195,22,4000,3973,27,24,35,2020-09-01
NA,愛媛,NA,7494,7403,91,9025,8900,125,65,76,2020-09-01
NA,高知,NA,5667,5618,49,6930,6859,71,55,53,2020-09-01
NA,福岡,NA,37116,36986,130,49753,49543,210,269,286,2020-09-01
NA,佐賀,NA,6489,6443,46,7705,7654,51,71,61,2020-09-01
NA,長崎,NA,7749,7707,42,9828,9775,53,55,68,2020-09-01
NA,熊本,NA,7490,7447,43,9335,9277,58,82,92,2020-09-01
NA,大分,NA,8957,8879,78,10859,10750,109,59,83,2020-09-01
NA,宮崎,NA,7364,7333,31,9024,8981,43,74,70,2020-09-01
NA,鹿児島,NA,11664,11535,129,14799,14632,167,121,111,2020-09-01
NA,沖縄,NA,19825,19736,89,25013,24874,139,199,171,2020-09-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-09-01
NA,札幌市,NA,55651,55445,206,71441,71188,253,655,588,2020-09-01
NA,仙台市,NA,14188,14071,117,18337,18187,150,152,149,2020-09-01
NA,さいたま市,NA,15539,15473,66,19679,19581,98,174,179,2020-09-01
NA,千葉市,NA,17250,17081,169,21083,20854,229,268,263,2020-09-01
NA,横浜市,NA,54641,54528,113,69030,68876,154,691,648,2020-09-01
NA,川崎市,NA,23793,23760,33,29887,29844,43,296,271,2020-09-01
NA,相模原市,NA,10497,10466,31,13725,13683,42,121,113,2020-09-01
NA,新潟市,NA,9242,9206,36,11791,11752,39,94,84,2020-09-01
NA,静岡市,NA,7467,7404,63,9355,9269,86,76,68,2020-09-01
NA,浜松市,NA,5712,5656,56,7129,7061,68,77,67,2020-09-01
NA,名古屋市,NA,38552,38301,251,47379,47083,296,556,527,2020-09-01
NA,京都市,NA,32120,31730,390,42030,41502,528,311,320,2020-09-01
NA,大阪市,NA,112726,112221,505,134896,134282,614,1198,1285,2020-09-01
NA,堺市,NA,19324,19287,37,24936,24881,55,227,232,2020-09-01
NA,神戸市,NA,33931,33777,154,44162,43972,190,278,328,2020-09-01
NA,岡山市,NA,9836,9804,32,12793,12749,44,105,93,2020-09-01
NA,広島市,NA,18434,18361,73,23826,23727,99,177,163,2020-09-01
NA,北九州市,NA,18303,18220,83,22620,22529,91,129,145,2020-09-01
NA,福岡市,NA,33650,33506,144,42558,42375,183,324,400,2020-09-01
NA,熊本市,NA,11956,11921,35,15006,14965,41,126,113,2020-09-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-09-01
NA,旭川市,NA,9905,9872,33,12243,12201,42,84,89,2020-09-01
NA,函館市,NA,9315,9303,12,11491,11478,13,87,78,2020-09-01
NA,青森市,NA,6765,6760,5,8311,8306,5,49,42,2020-09-01
NA,八戸市,NA,3449,3440,9,4224,4213,11,18,22,2020-09-01
NA,盛岡市,NA,3821,3804,17,4606,4587,19,33,37,2020-09-01
NA,秋田市,NA,4283,4278,5,5266,5258,8,31,32,2020-09-01
NA,山形市,NA,1782,1758,24,2166,2140,26,26,13,2020-09-01
NA,郡山市,NA,2701,2696,5,3262,3257,5,36,24,2020-09-01
NA,いわき市,NA,3331,3324,7,4267,4260,7,42,31,2020-09-01
NA,福島市,NA,2519,2517,2,3082,3080,2,24,16,2020-09-01
NA,水戸市,NA,4077,4043,34,5200,5156,44,45,36,2020-09-01
NA,宇都宮市,NA,6686,6644,42,8270,8208,62,51,50,2020-09-01
NA,前橋市,NA,3429,3390,39,4137,4084,53,35,26,2020-09-01
NA,高崎市,NA,2904,2887,17,3452,3433,19,30,26,2020-09-01
NA,川越市,NA,3474,3471,3,4431,4428,3,44,35,2020-09-01
NA,越谷市,NA,3362,3342,20,4363,4336,27,35,26,2020-09-01
NA,川口市,NA,9059,9036,23,11550,11517,33,85,63,2020-09-01
NA,船橋市,NA,7181,7152,29,9056,9018,38,73,62,2020-09-01
NA,柏市,NA,3789,3778,11,4782,4771,11,44,42,2020-09-01
NA,八王子市,NA,7463,7453,10,9379,9369,10,63,46,2020-09-01
NA,横須賀市,NA,4100,4072,28,5228,5191,37,47,27,2020-09-01
NA,富山市,NA,1926,1923,3,2216,2213,3,27,20,2020-09-01
NA,金沢市,NA,3530,3505,25,4061,4029,32,29,25,2020-09-01
NA,福井市,NA,2072,2047,25,2564,2534,30,27,23,2020-09-01
NA,甲府市,NA,2353,2338,15,2824,2802,22,29,21,2020-09-01
NA,長野市,NA,2637,2611,26,3267,3228,39,28,30,2020-09-01
NA,岐阜市,NA,5129,5096,33,6151,6109,42,21,41,2020-09-01
NA,豊橋市,NA,1727,1719,8,2061,2053,8,19,13,2020-09-01
NA,豊田市,NA,1791,1780,11,2399,2387,12,45,31,2020-09-01
NA,岡崎市,NA,1700,1685,15,2138,2118,20,27,20,2020-09-01
NA,大津市,NA,3023,3011,12,3890,3874,16,32,20,2020-09-01
NA,高槻市,NA,4244,4238,6,5720,5713,7,39,28,2020-09-01
NA,東大阪市,NA,13946,13909,37,17841,17790,51,95,141,2020-09-01
NA,豊中市,NA,7514,7495,19,9663,9637,26,54,47,2020-09-01
NA,枚方市,NA,5722,5690,32,7527,7477,50,56,45,2020-09-01
NA,八尾市,NA,5916,5913,3,7719,7716,3,69,42,2020-09-01
