統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1635718,1627210,8508,2072929,2061183,11746,16036,15603,2019-09-01
NA,北海道,NA,48233,48148,85,61821,61709,112,383,429,2019-09-01
NA,青森,NA,13640,13615,25,16547,16519,28,107,93,2019-09-01
NA,岩手,NA,6717,6673,44,8399,8334,65,75,73,2019-09-01
NA,宮城,NA,8477,8440,37,11068,11010,58,102,88,2019-09-01
NA,秋田,NA,6985,6961,24,8805,8769,36,65,71,2019-09-01
NA,山形,NA,4771,4725,46,5771,5712,59,62,46,2019-09-01
NA,福島,NA,5530,5504,26,6714,6683,31,70,65,2019-09-01
NA,茨城,NA,22679,22550,129,28266,28101,165,294,248,2019-09-01
NA,栃木,NA,9794,9737,57,11951,11861,90,105,94,2019-09-01
NA,群馬,NA,6229,6202,27,7388,7355,33,61,60,2019-09-01
NA,埼玉,NA,44454,44291,163,57208,56988,220,476,407,2019-09-01
NA,千葉,NA,40775,40580,195,52027,51755,272,432,373,2019-09-01
NA,東京,NA,224391,223248,1143,275969,274332,1637,2046,1972,2019-09-01
NA,神奈川,NA,27134,27003,131,34965,34773,192,321,283,2019-09-01
NA,新潟,NA,7090,7047,43,8896,8833,63,85,77,2019-09-01
NA,富山,NA,1443,1403,40,1644,1597,47,13,18,2019-09-01
NA,石川,NA,2573,2540,33,2982,2934,48,25,17,2019-09-01
NA,福井,NA,1401,1374,27,1635,1604,31,18,17,2019-09-01
NA,山梨,NA,3361,3322,39,4149,4093,56,41,36,2019-09-01
NA,長野,NA,6360,6293,67,7739,7652,87,68,79,2019-09-01
NA,岐阜,NA,4382,4329,53,5315,5251,64,50,45,2019-09-01
NA,静岡,NA,12235,12149,86,14918,14812,106,166,136,2019-09-01
NA,愛知,NA,17694,17562,132,22398,22224,174,213,195,2019-09-01
NA,三重,NA,12566,12468,98,15687,15548,139,143,120,2019-09-01
NA,滋賀,NA,5150,5121,29,7051,7001,50,65,50,2019-09-01
NA,京都,NA,10103,10036,67,14001,13884,117,83,107,2019-09-01
NA,大阪,NA,45029,44851,178,59494,59236,258,439,441,2019-09-01
NA,兵庫,NA,13881,13755,126,18082,17901,181,134,142,2019-09-01
NA,奈良,NA,9300,9246,54,12340,12243,97,58,81,2019-09-01
NA,和歌山,NA,4876,4837,39,5896,5849,47,49,54,2019-09-01
NA,鳥取,NA,3269,3255,14,4017,4001,16,33,43,2019-09-01
NA,島根,NA,2428,2419,9,2987,2974,13,26,26,2019-09-01
NA,岡山,NA,3702,3681,21,4565,4542,23,43,47,2019-09-01
NA,広島,NA,5688,5640,48,7423,7352,71,80,62,2019-09-01
NA,山口,NA,8553,8490,63,10520,10436,84,66,101,2019-09-01
NA,徳島,NA,10408,10368,40,13043,12993,50,64,79,2019-09-01
NA,香川,NA,3301,3261,40,4168,4104,64,21,36,2019-09-01
NA,愛媛,NA,7574,7504,70,9224,9128,96,65,62,2019-09-01
NA,高知,NA,5799,5745,54,7147,7074,73,68,57,2019-09-01
NA,福岡,NA,37587,37452,135,51099,50864,235,250,302,2019-09-01
NA,佐賀,NA,6527,6478,49,7855,7792,63,67,57,2019-09-01
NA,長崎,NA,7994,7960,34,10282,10240,42,58,72,2019-09-01
NA,熊本,NA,7499,7462,37,9482,9421,61,85,106,2019-09-01
NA,大分,NA,9107,9036,71,11198,11108,90,85,64,2019-09-01
NA,宮崎,NA,7445,7419,26,9211,9172,39,72,89,2019-09-01
NA,鹿児島,NA,11817,11680,137,15117,14942,175,104,114,2019-09-01
NA,沖縄,NA,19447,19340,107,24871,24691,180,218,174,2019-09-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-01
NA,札幌市,NA,55190,55036,154,71651,71464,187,571,553,2019-09-01
NA,仙台市,NA,13937,13836,101,18226,18094,132,173,133,2019-09-01
NA,さいたま市,NA,15382,15323,59,19687,19599,88,161,174,2019-09-01
NA,千葉市,NA,16957,16761,196,20966,20688,278,227,220,2019-09-01
NA,横浜市,NA,53922,53798,124,69021,68844,177,602,571,2019-09-01
NA,川崎市,NA,23705,23652,53,30249,30174,75,252,265,2019-09-01
NA,相模原市,NA,10299,10271,28,13840,13798,42,116,95,2019-09-01
NA,新潟市,NA,9225,9187,38,11882,11828,54,94,87,2019-09-01
NA,静岡市,NA,7303,7232,71,9244,9151,93,74,64,2019-09-01
NA,浜松市,NA,5689,5611,78,7185,7083,102,60,83,2019-09-01
NA,名古屋市,NA,38295,38074,221,47446,47164,282,519,481,2019-09-01
NA,京都市,NA,32355,31930,425,42876,42274,602,325,331,2019-09-01
NA,大阪市,NA,113033,112380,653,136516,135718,798,1214,1235,2019-09-01
NA,堺市,NA,19302,19270,32,25289,25246,43,225,206,2019-09-01
NA,神戸市,NA,34121,33956,165,45056,44833,223,303,302,2019-09-01
NA,岡山市,NA,9923,9870,53,13057,12988,69,86,105,2019-09-01
NA,広島市,NA,18559,18502,57,24350,24276,74,152,171,2019-09-01
NA,北九州市,NA,18372,18297,75,22918,22838,80,138,150,2019-09-01
NA,福岡市,NA,33600,33457,143,42914,42735,179,368,367,2019-09-01
NA,熊本市,NA,11872,11837,35,15055,15003,52,138,140,2019-09-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-01
NA,旭川市,NA,9906,9854,52,12405,12347,58,79,73,2019-09-01
NA,函館市,NA,9395,9378,17,11723,11702,21,91,88,2019-09-01
NA,青森市,NA,6760,6757,3,8425,8422,3,51,41,2019-09-01
NA,八戸市,NA,3523,3502,21,4350,4322,28,17,23,2019-09-01
NA,盛岡市,NA,3832,3808,24,4691,4657,34,42,33,2019-09-01
