統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1636236,1628840,7396,2057703,2047864,9839,16906,14789,2020-05-01
NA,北海道,NA,47907,47830,77,60908,60826,82,295,454,2020-05-01
NA,青森,NA,13623,13583,40,16456,16413,43,84,125,2020-05-01
NA,岩手,NA,6674,6639,35,8276,8236,40,62,80,2020-05-01
NA,宮城,NA,8535,8491,44,11030,10972,58,86,80,2020-05-01
NA,秋田,NA,6849,6817,32,8575,8533,42,37,76,2020-05-01
NA,山形,NA,4810,4761,49,5807,5739,68,55,59,2020-05-01
NA,福島,NA,5430,5398,32,6582,6546,36,53,74,2020-05-01
NA,茨城,NA,18581,18492,89,22784,22669,115,197,156,2020-05-01
NA,栃木,NA,9758,9704,54,11848,11779,69,97,104,2020-05-01
NA,群馬,NA,6209,6182,27,7327,7299,28,74,66,2020-05-01
NA,埼玉,NA,44729,44576,153,57116,56907,209,492,416,2020-05-01
NA,千葉,NA,41224,41042,182,52203,51953,250,532,392,2020-05-01
NA,東京,NA,224348,223415,933,274314,272997,1317,2344,1808,2020-05-01
NA,神奈川,NA,27501,27375,126,35164,34981,183,361,261,2020-05-01
NA,新潟,NA,7088,7042,46,8821,8743,78,59,80,2020-05-01
NA,富山,NA,1416,1386,30,1607,1571,36,20,20,2020-05-01
NA,石川,NA,2567,2534,33,2969,2928,41,28,27,2020-05-01
NA,福井,NA,1373,1355,18,1595,1571,24,11,14,2020-05-01
NA,山梨,NA,3361,3324,37,4127,4080,47,33,41,2020-05-01
NA,長野,NA,6351,6307,44,7705,7648,57,95,63,2020-05-01
NA,岐阜,NA,4448,4394,54,5416,5346,70,58,50,2020-05-01
NA,静岡,NA,12441,12363,78,15056,14952,104,181,108,2020-05-01
NA,愛知,NA,17675,17551,124,22284,22118,166,212,186,2020-05-01
NA,三重,NA,12555,12476,79,15587,15482,105,155,129,2020-05-01
NA,滋賀,NA,5214,5180,34,7063,7017,46,62,62,2020-05-01
NA,京都,NA,10040,9982,58,13801,13708,93,97,90,2020-05-01
NA,大阪,NA,40660,40532,128,53214,53040,174,431,379,2020-05-01
NA,兵庫,NA,13943,13853,90,18049,17928,121,155,142,2020-05-01
NA,奈良,NA,9120,9054,66,11916,11813,103,67,84,2020-05-01
NA,和歌山,NA,4819,4797,22,5805,5776,29,45,51,2020-05-01
NA,鳥取,NA,3235,3226,9,3948,3937,11,35,41,2020-05-01
NA,島根,NA,2397,2396,1,2948,2947,1,23,34,2020-05-01
NA,岡山,NA,3566,3545,21,4350,4321,29,33,43,2020-05-01
NA,広島,NA,5633,5593,40,7317,7255,62,61,65,2020-05-01
NA,山口,NA,8369,8333,36,10211,10170,41,56,84,2020-05-01
NA,徳島,NA,10391,10347,44,12934,12875,59,66,70,2020-05-01
NA,香川,NA,3251,3233,18,4054,4028,26,38,26,2020-05-01
NA,愛媛,NA,7544,7442,102,9120,8979,141,50,68,2020-05-01
NA,高知,NA,5702,5662,40,6996,6939,57,42,51,2020-05-01
NA,福岡,NA,37222,37086,136,50036,49836,200,299,269,2020-05-01
NA,佐賀,NA,6513,6468,45,7777,7726,51,67,72,2020-05-01
NA,長崎,NA,7788,7752,36,9869,9823,46,51,61,2020-05-01
NA,熊本,NA,7523,7492,31,9409,9371,38,93,102,2020-05-01
NA,大分,NA,9047,8961,86,11030,10918,112,69,78,2020-05-01
NA,宮崎,NA,7421,7394,27,9148,9111,37,66,88,2020-05-01
NA,鹿児島,NA,11729,11589,140,14902,14730,172,87,100,2020-05-01
NA,沖縄,NA,19743,19663,80,25017,24905,112,215,186,2020-05-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-05-01
NA,札幌市,NA,55573,55402,171,71581,71383,198,610,560,2020-05-01
NA,仙台市,NA,14161,14080,81,18341,18232,109,196,128,2020-05-01
NA,さいたま市,NA,15453,15400,53,19663,19587,76,169,128,2020-05-01
NA,千葉市,NA,17100,16931,169,20961,20720,241,263,211,2020-05-01
NA,横浜市,NA,54391,54295,96,68891,68774,117,793,468,2020-05-01
NA,川崎市,NA,23774,23742,32,30026,29986,40,268,230,2020-05-01
NA,相模原市,NA,10399,10379,20,13712,13684,28,128,82,2020-05-01
NA,新潟市,NA,9271,9243,28,11879,11846,33,90,89,2020-05-01
NA,静岡市,NA,7402,7346,56,9287,9213,74,95,65,2020-05-01
NA,浜松市,NA,5692,5638,54,7152,7081,71,73,59,2020-05-01
NA,名古屋市,NA,38490,38260,230,47479,47193,286,559,450,2020-05-01
NA,京都市,NA,32197,31827,370,42249,41736,513,315,314,2020-05-01
NA,大阪市,NA,112772,112286,486,135250,134653,597,1366,1091,2020-05-01
NA,堺市,NA,19314,19274,40,25081,25025,56,196,198,2020-05-01
NA,神戸市,NA,34009,33844,165,44434,44229,205,272,289,2020-05-01
NA,岡山市,NA,9909,9875,34,12948,12901,47,94,109,2020-05-01
NA,広島市,NA,18502,18422,80,24008,23903,105,198,192,2020-05-01
NA,北九州市,NA,18398,18326,72,22844,22765,79,157,138,2020-05-01
NA,福岡市,NA,33652,33511,141,42700,42509,191,367,352,2020-05-01
NA,熊本市,NA,11914,11884,30,15030,14995,35,142,128,2020-05-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-05-01
NA,旭川市,NA,9919,9891,28,12315,12284,31,53,79,2020-05-01
NA,函館市,NA,9351,9333,18,11594,11572,22,68,68,2020-05-01
NA,青森市,NA,6763,6760,3,8344,8341,3,40,51,2020-05-01
NA,八戸市,NA,3478,3470,8,4268,4259,9,21,25,2020-05-01
NA,盛岡市,NA,3846,3833,13,4651,4635,16,45,41,2020-05-01
NA,秋田市,NA,4316,4313,3,5332,5326,6,34,44,2020-05-01
NA,山形市,NA,1785,1772,13,2175,2161,14,21,20,2020-05-01
NA,郡山市,NA,2651,2647,4,3225,3221,4,17,8,2020-05-01
NA,いわき市,NA,3333,3326,7,4288,4278,10,35,32,2020-05-01
NA,福島市,NA,2533,2528,5,3105,3100,5,27,33,2020-05-01
