統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1637611,1629478,8133,2093324,2082232,11092,14760,17631,2019-01-01
NA,北海道,NA,48738,48683,55,63403,63327,76,344,437,2019-01-01
NA,青森,NA,13677,13660,17,16668,16650,18,123,120,2019-01-01
NA,岩手,NA,6729,6698,31,8496,8446,50,75,80,2019-01-01
NA,宮城,NA,8351,8302,49,10994,10924,70,101,96,2019-01-01
NA,秋田,NA,7087,7068,19,9047,9020,27,74,72,2019-01-01
NA,山形,NA,6440,6366,74,7876,7772,104,74,68,2019-01-01
NA,福島,NA,5449,5411,38,6642,6598,44,70,64,2019-01-01
NA,茨城,NA,22415,22288,127,28124,27959,165,240,267,2019-01-01
NA,栃木,NA,9839,9768,71,12120,12026,94,96,119,2019-01-01
NA,群馬,NA,6241,6206,35,7515,7468,47,52,77,2019-01-01
NA,埼玉,NA,43971,43811,160,57170,56963,207,399,459,2019-01-01
NA,千葉,NA,40321,40141,180,51704,51455,249,373,437,2019-01-01
NA,東京,NA,225116,224112,1004,278825,277319,1506,2144,2390,2019-01-01
NA,神奈川,NA,26920,26788,132,34898,34725,173,276,311,2019-01-01
NA,新潟,NA,7105,7062,43,8950,8882,68,79,96,2019-01-01
NA,富山,NA,1450,1406,44,1660,1606,54,8,16,2019-01-01
NA,石川,NA,2599,2571,28,3016,2981,35,30,28,2019-01-01
NA,福井,NA,3389,3332,57,4128,4056,72,27,45,2019-01-01
NA,山梨,NA,5739,5669,70,7050,6961,89,54,78,2019-01-01
NA,長野,NA,6316,6269,47,7716,7652,64,68,92,2019-01-01
NA,岐阜,NA,4385,4328,57,5333,5270,63,44,61,2019-01-01
NA,静岡,NA,12096,11991,105,14829,14683,146,127,153,2019-01-01
NA,愛知,NA,17711,17587,124,22743,22566,177,183,205,2019-01-01
NA,三重,NA,12553,12459,94,15885,15756,129,101,144,2019-01-01
NA,滋賀,NA,5116,5076,40,7078,7010,68,44,65,2019-01-01
NA,京都,NA,10210,10135,75,14307,14180,127,86,134,2019-01-01
NA,大阪,NA,50613,50413,200,67776,67516,260,409,492,2019-01-01
NA,兵庫,NA,13866,13750,116,18251,18089,162,117,144,2019-01-01
NA,奈良,NA,9465,9412,53,12660,12574,86,69,101,2019-01-01
NA,和歌山,NA,4896,4847,49,5950,5885,65,39,60,2019-01-01
NA,鳥取,NA,3318,3309,9,4086,4073,13,40,50,2019-01-01
NA,島根,NA,2410,2402,8,2986,2969,17,31,37,2019-01-01
NA,岡山,NA,3747,3716,31,4692,4642,50,38,54,2019-01-01
NA,広島,NA,5736,5691,45,7553,7488,65,56,66,2019-01-01
NA,山口,NA,8647,8589,58,10694,10626,68,67,91,2019-01-01
NA,徳島,NA,10549,10512,37,13402,13350,52,54,104,2019-01-01
NA,香川,NA,3356,3327,29,4276,4236,40,15,40,2019-01-01
NA,愛媛,NA,7588,7515,73,9287,9192,95,63,93,2019-01-01
NA,高知,NA,5833,5788,45,7197,7139,58,54,65,2019-01-01
NA,福岡,NA,37893,37724,169,51930,51664,266,221,342,2019-01-01
NA,佐賀,NA,6471,6438,33,7826,7790,36,51,81,2019-01-01
NA,長崎,NA,8039,7995,44,10417,10356,61,50,83,2019-01-01
NA,熊本,NA,7455,7417,38,9433,9390,43,78,97,2019-01-01
NA,大分,NA,9020,8930,90,11120,11012,108,61,95,2019-01-01
NA,宮崎,NA,7387,7354,33,9159,9112,47,78,102,2019-01-01
NA,鹿児島,NA,11918,11758,160,15337,15138,199,93,149,2019-01-01
NA,沖縄,NA,19119,19043,76,24675,24563,112,155,167,2019-01-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-01
NA,札幌市,NA,55115,55012,103,72426,72295,131,486,567,2019-01-01
NA,仙台市,NA,13737,13662,75,18128,18022,106,143,137,2019-01-01
NA,さいたま市,NA,15339,15261,78,19801,19701,100,143,170,2019-01-01
NA,千葉市,NA,16794,16609,185,20862,20591,271,188,223,2019-01-01
NA,横浜市,NA,54023,53915,108,69851,69695,156,625,737,2019-01-01
NA,川崎市,NA,23935,23878,57,30775,30684,91,263,299,2019-01-01
NA,相模原市,NA,10265,10243,22,14010,13980,30,108,90,2019-01-01
NA,新潟市,NA,9227,9186,41,11981,11930,51,92,74,2019-01-01
NA,静岡市,NA,7238,7175,63,9215,9132,83,57,85,2019-01-01
NA,浜松市,NA,5675,5591,84,7198,7095,103,69,96,2019-01-01
