統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1636646,1628145,8501,2075049,2063353,11696,16009,16958,2019-08-01
NA,北海道,NA,48285,48188,97,61998,61870,128,379,435,2019-08-01
NA,青森,NA,13671,13643,28,16577,16547,30,104,138,2019-08-01
NA,岩手,NA,6711,6674,37,8396,8347,49,63,69,2019-08-01
NA,宮城,NA,8473,8431,42,11086,11019,67,102,98,2019-08-01
NA,秋田,NA,6992,6963,29,8834,8791,43,46,72,2019-08-01
NA,山形,NA,4755,4706,49,5762,5696,66,66,46,2019-08-01
NA,福島,NA,5530,5499,31,6724,6687,37,68,70,2019-08-01
NA,茨城,NA,22634,22517,117,28215,28067,148,281,249,2019-08-01
NA,栃木,NA,9777,9726,51,11938,11857,81,92,88,2019-08-01
NA,群馬,NA,6229,6203,26,7410,7381,29,70,61,2019-08-01
NA,埼玉,NA,44455,44278,177,57259,57024,235,502,476,2019-08-01
NA,千葉,NA,40753,40564,189,51963,51709,254,470,410,2019-08-01
NA,東京,NA,224540,223427,1113,276310,274722,1588,1980,2195,2019-08-01
NA,神奈川,NA,27151,27016,135,35012,34814,198,316,339,2019-08-01
NA,新潟,NA,7106,7059,47,8918,8847,71,77,101,2019-08-01
NA,富山,NA,1451,1414,37,1653,1607,46,12,21,2019-08-01
NA,石川,NA,2573,2542,31,2987,2938,49,23,25,2019-08-01
NA,福井,NA,1399,1374,25,1635,1607,28,18,16,2019-08-01
NA,山梨,NA,3358,3318,40,4143,4085,58,30,38,2019-08-01
NA,長野,NA,6372,6322,50,7757,7693,64,88,80,2019-08-01
NA,岐阜,NA,4394,4339,55,5336,5269,67,62,62,2019-08-01
NA,静岡,NA,12199,12112,87,14875,14770,105,139,129,2019-08-01
NA,愛知,NA,17680,17545,135,22380,22203,177,221,200,2019-08-01
NA,三重,NA,12547,12461,86,15678,15554,124,162,124,2019-08-01
NA,滋賀,NA,5163,5128,35,7079,7023,56,74,78,2019-08-01
NA,京都,NA,10131,10067,64,14022,13917,105,95,111,2019-08-01
NA,大阪,NA,45070,44906,164,59645,59418,227,436,480,2019-08-01
NA,兵庫,NA,13885,13770,115,18051,17882,169,133,138,2019-08-01
NA,奈良,NA,9319,9256,63,12373,12262,111,63,77,2019-08-01
NA,和歌山,NA,4870,4832,38,5888,5841,47,50,43,2019-08-01
NA,鳥取,NA,3272,3257,15,4012,3994,18,31,36,2019-08-01
NA,島根,NA,2425,2416,9,2975,2962,13,22,23,2019-08-01
NA,岡山,NA,3713,3690,23,4572,4545,27,44,54,2019-08-01
NA,広島,NA,5671,5624,47,7397,7326,71,57,63,2019-08-01
NA,山口,NA,8592,8529,63,10596,10513,83,71,105,2019-08-01
NA,徳島,NA,10417,10380,37,13077,13029,48,50,73,2019-08-01
NA,香川,NA,3316,3284,32,4186,4132,54,27,36,2019-08-01
NA,愛媛,NA,7586,7505,81,9237,9132,105,86,77,2019-08-01
NA,高知,NA,5783,5725,58,7101,7024,77,50,52,2019-08-01
NA,福岡,NA,37637,37493,144,51158,50927,231,283,300,2019-08-01
NA,佐賀,NA,6529,6479,50,7861,7804,57,65,69,2019-08-01
NA,長崎,NA,8005,7971,34,10299,10254,45,63,69,2019-08-01
NA,熊本,NA,7511,7469,42,9507,9451,56,88,97,2019-08-01
NA,大分,NA,9094,9025,69,11181,11093,88,105,72,2019-08-01
NA,宮崎,NA,7441,7421,20,9221,9188,33,72,68,2019-08-01
NA,鹿児島,NA,11820,11695,125,15109,14948,161,107,107,2019-08-01
NA,沖縄,NA,19406,19300,106,24811,24638,173,216,177,2019-08-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-01
NA,札幌市,NA,55229,55017,212,71728,71467,261,549,610,2019-08-01
NA,仙台市,NA,13934,13831,103,18222,18082,140,170,170,2019-08-01
NA,さいたま市,NA,15384,15322,62,19709,19622,87,160,163,2019-08-01
NA,千葉市,NA,16966,16782,184,20972,20713,259,287,236,2019-08-01
NA,横浜市,NA,53970,53844,126,69116,68931,185,640,650,2019-08-01
NA,川崎市,NA,23781,23732,49,30359,30292,67,276,328,2019-08-01
NA,相模原市,NA,10297,10260,37,13856,13790,66,95,113,2019-08-01
NA,新潟市,NA,9225,9183,42,11900,11843,57,71,94,2019-08-01
NA,静岡市,NA,7299,7232,67,9234,9142,92,73,70,2019-08-01
NA,浜松市,NA,5697,5620,77,7196,7099,97,74,68,2019-08-01
NA,名古屋市,NA,38340,38118,222,47529,47242,287,578,564,2019-08-01
NA,京都市,NA,32371,31945,426,42930,42325,605,265,341,2019-08-01
NA,大阪市,NA,113171,112514,657,136721,135919,802,1172,1352,2019-08-01
NA,堺市,NA,19309,19277,32,25318,25273,45,221,232,2019-08-01
NA,神戸市,NA,34139,33971,168,45108,44869,239,275,321,2019-08-01
NA,岡山市,NA,9943,9900,43,13096,13044,52,90,106,2019-08-01
NA,広島市,NA,18598,18542,56,24404,24331,73,189,191,2019-08-01
NA,北九州市,NA,18373,18302,71,22892,22813,79,173,139,2019-08-01
NA,福岡市,NA,33556,33411,145,42871,42688,183,333,324,2019-08-01
NA,熊本市,NA,11883,11841,42,15075,15011,64,138,149,2019-08-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-01
NA,旭川市,NA,9896,9853,43,12404,12355,49,62,69,2019-08-01
NA,函館市,NA,9397,9380,17,11721,11703,18,85,93,2019-08-01
NA,青森市,NA,6749,6743,6,8410,8404,6,49,40,2019-08-01
NA,八戸市,NA,3539,3521,18,4377,4353,24,16,33,2019-08-01
NA,盛岡市,NA,3833,3806,27,4700,4663,37,39,43,2019-08-01
NA,秋田市,NA,4324,4321,3,5375,5372,3,37,33,2019-08-01
NA,山形市,NA,1759,1733,26,2145,2110,35,18,20,2019-08-01
NA,郡山市,NA,2686,2681,5,3291,3286,5,21,38,2019-08-01
NA,いわき市,NA,3355,3346,9,4358,4348,10,44,48,2019-08-01
NA,福島市,NA,2499,2497,2,3073,3071,2,45,34,2019-08-01
NA,宇都宮市,NA,6674,6637,37,8366,8314,52,58,57,2019-08-01
NA,前橋市,NA,3360,3316,44,4065,4011,54,30,26,2019-08-01
NA,高崎市,NA,2937,2914,23,3524,3498,26,27,31,2019-08-01
NA,川越市,NA,3371,3366,5,4363,4357,6,29,24,2019-08-01
NA,越谷市,NA,3233,3219,14,4257,4237,20,40,30,2019-08-01
NA,川口市,NA,8959,8933,26,11550,11514,36,91,93,2019-08-01
NA,船橋市,NA,7136,7092,44,9087,9015,72,73,79,2019-08-01
NA,柏市,NA,3665,3660,5,4687,4678,9,46,46,2019-08-01
NA,八王子市,NA,7381,7370,11,9390,9375,15,53,63,2019-08-01
NA,横須賀市,NA,4064,4031,33,5201,5154,47,45,38,2019-08-01
NA,富山市,NA,1782,1779,3,2033,2030,3,21,17,2019-08-01
NA,金沢市,NA,3544,3522,22,4130,4100,30,17,37,2019-08-01
NA,福井市,NA,2025,2003,22,2520,2496,24,22,13,2019-08-01
