都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,533170,228092,305078,71352832418,34513944689,36838887729,2020-07-01
北　海　道,23587,9012,14575,2967385266,1318408438,1648976828,2020-07-01
青　　　森,6266,2582,3684,749516127,361286430,388229697,2020-07-01
岩　　　手,5231,2263,2968,626319773,306140591,320179182,2020-07-01
宮　　　城,11148,4611,6537,1427864287,671556975,756307312,2020-07-01
秋　　　田,4306,1827,2479,503845071,244339478,259505593,2020-07-01
山　　　形,4428,1863,2565,554531807,259254409,295277398,2020-07-01
福　　　島,8892,3962,4930,1134343829,569939582,564404247,2020-07-01
茨　　　城,10998,5061,5937,1502896747,787527491,715369256,2020-07-01
栃　　　木,8589,3867,4722,1164974290,587234289,577740001,2020-07-01
群　　　馬,8929,4032,4897,1184638751,595590512,589048239,2020-07-01
埼　　　玉,30421,14262,16159,4342294390,2278882555,2063411835,2020-07-01
千　　　葉,23007,10431,12576,3359409723,1704909564,1654500159,2020-07-01
東　　　京,57362,25325,32037,8553698284,4104044397,4449653887,2020-07-01
神　奈　川,34281,15843,18438,5084059007,2617513901,2466545106,2020-07-01
新　　　潟,9135,3547,5588,1146545359,502532700,644012659,2020-07-01
富　　　山,3912,1652,2260,496940713,239707224,257233489,2020-07-01
石　　　川,4863,2027,2836,621594099,300648656,320945443,2020-07-01
福　　　井,2871,1161,1710,342639891,153398092,189241799,2020-07-01
山　　　梨,3532,1594,1938,490468102,249818677,240649425,2020-07-01
長　　　野,10344,4281,6063,1335634557,616351595,719282962,2020-07-01
岐　　　阜,7956,3404,4552,992781643,479213140,513568503,2020-07-01
静　　　岡,16199,7577,8622,2144804462,1123079657,1021724805,2020-07-01
愛　　　知,30357,13499,16858,4296358201,2132851957,2163506244,2020-07-01
三　　　重,7711,3388,4323,969155904,485399987,483755917,2020-07-01
滋　　　賀,6374,2819,3555,817786162,410077057,407709105,2020-07-01
京　　　都,10776,4336,6440,1438295744,651213545,787082199,2020-07-01
大　　　阪,37714,15808,21906,5143936046,2426683810,2717252236,2020-07-01
兵　　　庫,22919,9699,13220,3073791201,1477032934,1596758267,2020-07-01
奈　　　良,4873,2120,2753,653470506,330737414,322733092,2020-07-01
和　歌　山,3678,1491,2187,437778500,205382660,232395840,2020-07-01
鳥　　　取,2325,985,1340,275438367,129827617,145610750,2020-07-01
島　　　根,2759,1126,1633,320655422,150570937,170084485,2020-07-01
岡　　　山,7116,2920,4196,863896410,401354320,462542090,2020-07-01
広　　　島,11434,4475,6959,1463137281,656019160,807118121,2020-07-01
山　　　口,5239,1995,3244,634975367,282537181,352438186,2020-07-01
徳　　　島,3029,1315,1714,383470868,188242096,195228772,2020-07-01
香　　　川,3732,1503,2229,444178157,204084886,240093271,2020-07-01
愛　　　媛,5129,2044,3085,646907108,297101565,349805543,2020-07-01
高　　　知,3299,1347,1952,389773151,182214921,207558230,2020-07-01
福　　　岡,24921,9892,15029,3212911601,1474331094,1738580507,2020-07-01
佐　　　賀,3544,1365,2179,432117389,191830301,240287088,2020-07-01
長　　　崎,6247,2451,3796,711683850,327024127,384659723,2020-07-01
熊　　　本,8491,3379,5112,1028197741,472001574,556196167,2020-07-01
大　　　分,5786,2204,3582,681029392,302375000,378654392,2020-07-01
宮　　　崎,5013,1904,3109,576847620,256475586,320372034,2020-07-01
鹿　児　島,7238,2785,4453,841495040,385576801,455918239,2020-07-01
沖　　　縄,7209,3058,4151,888359212,421619806,466739406,2020-07-01
