prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,date
愛知,32992,2477,7734,8218,10189,2022-02-01
愛媛,10135,478,2021,2205,1809,2022-02-01
茨城,13338,666,2511,3128,3680,2022-02-01
岡山,9556,911,2622,1957,3405,2022-02-01
沖縄,17612,1200,5136,3796,3391,2022-02-01
岩手,5739,355,1663,1066,1584,2022-02-01
岐阜,5974,260,1152,1256,940,2022-02-01
宮崎,8361,515,1556,1771,1808,2022-02-01
宮城,11742,1191,3589,2364,4393,2022-02-01
京都,21462,2837,5376,4126,7505,2022-02-01
熊本,11267,706,3005,1316,3075,2022-02-01
群馬,7640,320,1688,1586,1348,2022-02-01
広島,16162,1640,5824,3304,4384,2022-02-01
香川,4433,368,876,1034,1502,2022-02-01
高知,8522,436,1613,1253,2250,2022-02-01
佐賀,3831,154,771,906,621,2022-02-01
埼玉,41371,3351,10165,9271,13245,2022-02-01
三重,7252,534,1744,1562,1555,2022-02-01
山形,3581,176,806,984,1062,2022-02-01
山口,6845,339,1253,1311,1520,2022-02-01
山梨,3470,149,705,537,902,2022-02-01
滋賀,4016,510,1269,1377,1134,2022-02-01
鹿児島,12832,1023,2982,2241,3885,2022-02-01
秋田,6496,280,1207,1086,1724,2022-02-01
新潟,8211,693,2276,1706,3575,2022-02-01
神奈川,64087,5906,17538,12799,21507,2022-02-01
青森,14835,501,2898,2192,2977,2022-02-01
静岡,14417,1055,3239,2957,4572,2022-02-01
石川,3679,131,1052,555,728,2022-02-01
千葉,37711,2969,9306,8481,13164,2022-02-01
全国,904534,71262,213140,194658,250271,2022-02-01
大阪,126656,10232,32458,21806,26833,2022-02-01
大分,9709,417,1942,1396,2129,2022-02-01
長崎,11591,901,2131,2790,3348,2022-02-01
長野,4722,282,1695,1045,1293,2022-02-01
鳥取,2719,215,718,741,878,2022-02-01
島根,2364,186,681,375,774,2022-02-01
東京,124993,8461,26733,32158,38340,2022-02-01
徳島,6087,364,964,1800,1063,2022-02-01
栃木,9055,508,2277,2200,2449,2022-02-01
奈良,8030,776,1859,1809,1681,2022-02-01
富山,1992,75,456,444,541,2022-02-01
福井,2078,88,334,424,560,2022-02-01
福岡,53330,4640,9786,10757,15221,2022-02-01
福島,7862,440,1903,1734,2236,2022-02-01
兵庫,41829,4157,9529,10500,11421,2022-02-01
北海道,66147,7017,14998,16843,16716,2022-02-01
和歌山,7801,372,1099,1491,1354,2022-02-01
