統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1635201,1627676,7525,2066660,2056480,10180,18716,19977,2020-03-01
NA,北海道,NA,48173,48097,76,61696,61598,98,435,509,2020-03-01
NA,青森,NA,13675,13645,30,16565,16532,33,116,118,2020-03-01
NA,岩手,NA,6704,6672,32,8371,8329,42,76,101,2020-03-01
NA,宮城,NA,8523,8478,45,11060,11000,60,120,107,2020-03-01
NA,秋田,NA,6925,6901,24,8719,8685,34,68,83,2020-03-01
NA,山形,NA,4796,4752,44,5817,5760,57,67,49,2020-03-01
NA,福島,NA,5463,5432,31,6656,6619,37,58,85,2020-03-01
NA,茨城,NA,22641,22526,115,28082,27941,141,243,277,2020-03-01
NA,栃木,NA,9730,9683,47,11843,11778,65,125,107,2020-03-01
NA,群馬,NA,6218,6191,27,7356,7311,45,69,83,2020-03-01
NA,埼玉,NA,44598,44438,160,57217,56987,230,545,528,2020-03-01
NA,千葉,NA,40990,40792,198,52107,51835,272,522,572,2020-03-01
NA,東京,NA,223796,222790,1006,274884,273435,1449,2336,2639,2020-03-01
NA,神奈川,NA,27392,27253,139,35156,34957,199,387,365,2020-03-01
NA,新潟,NA,7129,7094,35,8912,8855,57,124,105,2020-03-01
NA,富山,NA,1416,1385,31,1614,1578,36,18,24,2020-03-01
NA,石川,NA,2569,2540,29,2964,2930,34,33,32,2020-03-01
NA,福井,NA,1385,1369,16,1614,1593,21,10,16,2020-03-01
NA,山梨,NA,3361,3332,29,4134,4100,34,47,50,2020-03-01
NA,長野,NA,6328,6288,40,7712,7655,57,92,80,2020-03-01
NA,岐阜,NA,4424,4376,48,5384,5330,54,71,59,2020-03-01
NA,静岡,NA,12337,12251,86,14998,14893,105,185,150,2020-03-01
NA,愛知,NA,17714,17594,120,22338,22188,150,269,279,2020-03-01
NA,三重,NA,12534,12444,90,15617,15496,121,172,187,2020-03-01
NA,滋賀,NA,5201,5158,43,7063,7004,59,86,79,2020-03-01
NA,京都,NA,10088,10028,60,13962,13865,97,112,138,2020-03-01
NA,大阪,NA,44939,44817,122,59151,58970,181,511,532,2020-03-01
NA,兵庫,NA,13887,13788,99,18053,17919,134,165,161,2020-03-01
NA,奈良,NA,9142,9079,63,12070,11964,106,65,88,2020-03-01
NA,和歌山,NA,4847,4825,22,5840,5812,28,59,83,2020-03-01
NA,鳥取,NA,3247,3235,12,3985,3965,20,42,55,2020-03-01
NA,島根,NA,2394,2388,6,2941,2935,6,28,36,2020-03-01
NA,岡山,NA,3614,3594,20,4431,4403,28,44,70,2020-03-01
NA,広島,NA,5655,5610,45,7368,7303,65,72,78,2020-03-01
NA,山口,NA,8424,8384,40,10320,10270,50,97,112,2020-03-01
NA,徳島,NA,10412,10371,41,13020,12970,50,85,111,2020-03-01
NA,香川,NA,3253,3232,21,4076,4042,34,40,44,2020-03-01
NA,愛媛,NA,7547,7452,95,9172,9045,127,62,80,2020-03-01
NA,高知,NA,5742,5693,49,7066,7001,65,58,91,2020-03-01
NA,福岡,NA,37310,37182,128,50526,50331,195,315,412,2020-03-01
NA,佐賀,NA,6533,6498,35,7834,7794,40,79,99,2020-03-01
NA,長崎,NA,7860,7821,39,10038,9989,49,75,94,2020-03-01
NA,熊本,NA,7498,7465,33,9434,9386,48,130,93,2020-03-01
NA,大分,NA,9088,9010,78,11110,11010,100,102,105,2020-03-01
NA,宮崎,NA,7452,7428,24,9226,9196,30,120,111,2020-03-01
NA,鹿児島,NA,11782,11639,143,15042,14874,168,137,159,2020-03-01
NA,沖縄,NA,19666,19575,91,25036,24908,128,247,239,2020-03-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-01
NA,札幌市,NA,55513,55417,96,72010,71895,115,704,613,2020-03-01
NA,仙台市,NA,14068,13969,99,18302,18171,131,164,155,2020-03-01
NA,さいたま市,NA,15448,15392,56,19723,19642,81,188,211,2020-03-01
NA,千葉市,NA,16982,16797,185,20940,20675,265,261,260,2020-03-01
NA,横浜市,NA,54111,54016,95,68921,68797,124,683,694,2020-03-01
NA,川崎市,NA,23741,23710,31,30147,30106,41,295,309,2020-03-01
NA,相模原市,NA,10331,10304,27,13736,13691,45,118,128,2020-03-01
NA,新潟市,NA,9283,9258,25,11950,11920,30,108,105,2020-03-01
NA,静岡市,NA,7361,7304,57,9279,9212,67,107,108,2020-03-01
NA,浜松市,NA,5684,5617,67,7158,7072,86,102,74,2020-03-01
NA,名古屋市,NA,38297,38079,218,47364,47107,257,627,566,2020-03-01
NA,京都市,NA,32251,31869,382,42648,42109,539,332,389,2020-03-01
NA,大阪市,NA,112636,112074,562,135787,135105,682,1316,1525,2020-03-01
NA,堺市,NA,19295,19264,31,25180,25137,43,247,233,2020-03-01
NA,神戸市,NA,34058,33910,148,44784,44581,203,316,368,2020-03-01
NA,岡山市,NA,9921,9884,37,13013,12962,51,118,133,2020-03-01
NA,広島市,NA,18523,18454,69,24162,24065,97,222,245,2020-03-01
NA,北九州市,NA,18398,18328,70,22923,22845,78,199,190,2020-03-01
NA,福岡市,NA,33523,33384,139,42818,42635,183,336,391,2020-03-01
NA,熊本市,NA,11932,11887,45,15139,15085,54,192,204,2020-03-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-01
NA,旭川市,NA,9940,9921,19,12432,12410,22,92,93,2020-03-01
NA,函館市,NA,9392,9382,10,11695,11684,11,106,105,2020-03-01
NA,青森市,NA,6775,6772,3,8410,8407,3,54,59,2020-03-01
NA,八戸市,NA,3488,3483,5,4298,4291,7,26,28,2020-03-01
NA,盛岡市,NA,3855,3840,15,4702,4683,19,52,50,2020-03-01
NA,秋田市,NA,4325,4322,3,5359,5355,4,33,44,2020-03-01
NA,山形市,NA,1790,1765,25,2183,2151,32,21,30,2020-03-01
NA,郡山市,NA,2672,2669,3,3265,3262,3,27,42,2020-03-01
NA,いわき市,NA,3351,3345,6,4328,4321,7,65,51,2020-03-01
NA,福島市,NA,2520,2516,4,3106,3102,4,27,15,2020-03-01
NA,宇都宮市,NA,6706,6670,36,8365,8317,48,57,91,2020-03-01
NA,前橋市,NA,3434,3382,52,4160,4093,67,53,51,2020-03-01
NA,高崎市,NA,2900,2888,12,3469,3455,14,31,32,2020-03-01
