統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1637264,1629086,8178,2077526,2066336,11190,18745,16624,2019-07-01
NA,北海道,NA,48386,48302,84,62161,62050,111,428,480,2019-07-01
NA,青森,NA,13691,13664,27,16589,16562,27,138,124,2019-07-01
NA,岩手,NA,6733,6699,34,8437,8400,37,85,85,2019-07-01
NA,宮城,NA,8473,8433,40,11083,11019,64,130,102,2019-07-01
NA,秋田,NA,7028,7005,23,8889,8856,33,80,82,2019-07-01
NA,山形,NA,4733,4685,48,5741,5678,63,61,44,2019-07-01
NA,福島,NA,5517,5483,34,6711,6668,43,69,54,2019-07-01
NA,茨城,NA,22598,22484,114,28197,28054,143,302,245,2019-07-01
NA,栃木,NA,9802,9754,48,11998,11916,82,122,117,2019-07-01
NA,群馬,NA,6222,6193,29,7408,7378,30,65,63,2019-07-01
NA,埼玉,NA,44381,44206,175,57206,56953,253,547,428,2019-07-01
NA,千葉,NA,40749,40558,191,51988,51729,259,499,466,2019-07-01
NA,東京,NA,224731,223666,1065,276737,275264,1473,2424,2171,2019-07-01
NA,神奈川,NA,27102,26994,108,34985,34830,155,351,267,2019-07-01
NA,新潟,NA,7111,7069,42,8933,8870,63,95,82,2019-07-01
NA,富山,NA,1464,1430,34,1669,1627,42,17,25,2019-07-01
NA,石川,NA,2579,2550,29,2992,2953,39,30,29,2019-07-01
NA,福井,NA,1393,1372,21,1628,1603,25,19,12,2019-07-01
NA,山梨,NA,3370,3330,40,4164,4115,49,42,42,2019-07-01
NA,長野,NA,6369,6323,46,7754,7695,59,103,85,2019-07-01
NA,岐阜,NA,4390,4343,47,5332,5282,50,67,58,2019-07-01
NA,静岡,NA,12210,12116,94,14918,14794,124,187,150,2019-07-01
NA,愛知,NA,17668,17531,137,22404,22228,176,266,209,2019-07-01
NA,三重,NA,12560,12467,93,15720,15591,129,167,175,2019-07-01
NA,滋賀,NA,5159,5128,31,7087,7034,53,88,70,2019-07-01
NA,京都,NA,10148,10083,65,14052,13948,104,101,112,2019-07-01
NA,大阪,NA,45096,44931,165,59771,59540,231,524,462,2019-07-01
NA,兵庫,NA,13894,13770,124,18094,17916,178,173,142,2019-07-01
NA,奈良,NA,9322,9270,52,12384,12305,79,70,66,2019-07-01
NA,和歌山,NA,4881,4844,37,5901,5856,45,53,61,2019-07-01
NA,鳥取,NA,3278,3267,11,4021,4009,12,36,37,2019-07-01
NA,島根,NA,2429,2425,4,2981,2977,4,32,26,2019-07-01
NA,岡山,NA,3705,3685,20,4568,4545,23,52,36,2019-07-01
NA,広島,NA,5677,5635,42,7393,7330,63,60,63,2019-07-01
NA,山口,NA,8604,8543,61,10617,10538,79,96,83,2019-07-01
NA,徳島,NA,10467,10426,41,13145,13093,52,74,100,2019-07-01
NA,香川,NA,3327,3300,27,4198,4153,45,44,38,2019-07-01
NA,愛媛,NA,7576,7504,72,9227,9131,96,74,76,2019-07-01
NA,高知,NA,5806,5756,50,7137,7068,69,64,73,2019-07-01
NA,福岡,NA,37658,37525,133,51199,50980,219,321,304,2019-07-01
NA,佐賀,NA,6516,6465,51,7862,7803,59,76,52,2019-07-01
NA,長崎,NA,8019,7984,35,10319,10270,49,83,77,2019-07-01
NA,熊本,NA,7493,7451,42,9475,9420,55,110,70,2019-07-01
NA,大分,NA,9065,8996,69,11143,11058,85,111,76,2019-07-01
NA,宮崎,NA,7430,7411,19,9192,9168,24,94,61,2019-07-01
NA,鹿児島,NA,11833,11703,130,15145,14968,177,130,120,2019-07-01
NA,沖縄,NA,19364,19266,98,24774,24603,171,248,174,2019-07-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-01
NA,札幌市,NA,55254,55047,207,71812,71558,254,644,573,2019-07-01
NA,仙台市,NA,13929,13841,88,18243,18122,121,211,165,2019-07-01
NA,さいたま市,NA,15379,15318,61,19744,19666,78,197,155,2019-07-01
NA,千葉市,NA,16922,16736,186,20926,20661,265,316,243,2019-07-01
NA,横浜市,NA,53995,53873,122,69204,69028,176,768,665,2019-07-01
NA,川崎市,NA,23784,23729,55,30373,30294,79,306,279,2019-07-01
NA,相模原市,NA,10306,10271,35,13893,13833,60,128,104,2019-07-01
NA,新潟市,NA,9235,9196,39,11939,11892,47,82,81,2019-07-01
NA,静岡市,NA,7318,7259,59,9258,9169,89,110,92,2019-07-01
NA,浜松市,NA,5686,5607,79,7182,7070,112,82,63,2019-07-01
NA,名古屋市,NA,38329,38126,203,47563,47295,268,581,567,2019-07-01
NA,京都市,NA,32381,31979,402,43002,42428,574,324,275,2019-07-01
NA,大阪市,NA,113299,112655,644,136988,136182,806,1296,1300,2019-07-01
NA,堺市,NA,19271,19244,27,25304,25264,40,217,183,2019-07-01
NA,神戸市,NA,34209,34039,170,45240,44998,242,347,345,2019-07-01
NA,岡山市,NA,9943,9907,36,13094,13052,42,119,90,2019-07-01
NA,広島市,NA,18615,18557,58,24452,24371,81,223,206,2019-07-01
NA,北九州市,NA,18363,18287,76,22895,22811,84,184,163,2019-07-01
NA,福岡市,NA,33560,33413,147,42891,42708,183,389,337,2019-07-01
NA,熊本市,NA,11897,11855,42,15122,15060,62,165,152,2019-07-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-01
NA,旭川市,NA,9912,9884,28,12436,12403,33,79,78,2019-07-01
NA,函館市,NA,9373,9356,17,11730,11712,18,84,61,2019-07-01
NA,青森市,NA,6746,6741,5,8399,8394,5,61,46,2019-07-01
NA,八戸市,NA,3554,3539,15,4391,4371,20,29,31,2019-07-01
NA,盛岡市,NA,3832,3811,21,4713,4684,29,43,38,2019-07-01
NA,秋田市,NA,4326,4322,4,5378,5374,4,35,39,2019-07-01
NA,山形市,NA,1749,1723,26,2138,2103,35,27,8,2019-07-01
NA,郡山市,NA,2683,2680,3,3299,3296,3,45,18,2019-07-01
NA,いわき市,NA,3359,3349,10,4337,4326,11,45,48,2019-07-01
NA,福島市,NA,2467,2464,3,3040,3037,3,31,13,2019-07-01
NA,宇都宮市,NA,6663,6624,39,8360,8306,54,76,47,2019-07-01
NA,前橋市,NA,3356,3319,37,4052,4011,41,39,26,2019-07-01
NA,高崎市,NA,2944,2923,21,3526,3502,24,38,34,2019-07-01
NA,川越市,NA,3372,3364,8,4371,4361,10,27,30,2019-07-01
NA,越谷市,NA,3228,3213,15,4268,4248,20,49,35,2019-07-01
NA,川口市,NA,8964,8936,28,11548,11512,36,96,96,2019-07-01
NA,船橋市,NA,7135,7086,49,9094,9023,71,88,72,2019-07-01
NA,柏市,NA,3649,3646,3,4661,4658,3,49,30,2019-07-01
NA,八王子市,NA,7406,7396,10,9422,9408,14,79,78,2019-07-01
