統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1636596,1628999,7597,2055531,2045299,10232,15142,15801,2020-06-01
NA,北海道,NA,47716,47634,82,60557,60464,93,264,469,2020-06-01
NA,青森,NA,13581,13544,37,16393,16350,43,83,115,2020-06-01
NA,岩手,NA,6630,6596,34,8219,8179,40,36,62,2020-06-01
NA,宮城,NA,8530,8493,37,11009,10949,60,75,89,2020-06-01
NA,秋田,NA,6810,6779,31,8514,8474,40,37,82,2020-06-01
NA,山形,NA,4793,4739,54,5772,5696,76,42,58,2020-06-01
NA,福島,NA,5397,5366,31,6533,6500,33,41,66,2020-06-01
NA,茨城,NA,18577,18486,91,22745,22618,127,152,166,2020-06-01
NA,栃木,NA,9741,9680,61,11816,11735,81,87,114,2020-06-01
NA,群馬,NA,6202,6174,28,7307,7278,29,59,64,2020-06-01
NA,埼玉,NA,44753,44582,171,57055,56811,244,440,428,2020-06-01
NA,千葉,NA,41307,41135,172,52250,52018,232,475,404,2020-06-01
NA,東京,NA,224575,223628,947,274303,272958,1345,2036,2149,2020-06-01
NA,神奈川,NA,27592,27464,128,35191,35004,187,353,256,2020-06-01
NA,新潟,NA,7080,7032,48,8786,8706,80,74,115,2020-06-01
NA,富山,NA,1420,1389,31,1605,1566,39,24,24,2020-06-01
NA,石川,NA,2560,2530,30,2958,2923,35,20,26,2020-06-01
NA,福井,NA,1372,1350,22,1592,1564,28,13,11,2020-06-01
NA,山梨,NA,3367,3325,42,4135,4080,55,47,35,2020-06-01
NA,長野,NA,6360,6315,45,7712,7653,59,72,85,2020-06-01
NA,岐阜,NA,4464,4410,54,5431,5363,68,66,51,2020-06-01
NA,静岡,NA,12487,12406,81,15109,14994,115,154,113,2020-06-01
NA,愛知,NA,17735,17613,122,22360,22191,169,245,189,2020-06-01
NA,三重,NA,12566,12474,92,15569,15437,132,140,125,2020-06-01
NA,滋賀,NA,5216,5179,37,7061,7008,53,64,71,2020-06-01
NA,京都,NA,10052,9995,57,13773,13694,79,102,107,2020-06-01
NA,大阪,NA,40637,40507,130,53073,52890,183,356,385,2020-06-01
NA,兵庫,NA,13913,13826,87,17976,17854,122,112,138,2020-06-01
NA,奈良,NA,9079,9010,69,11829,11736,93,43,84,2020-06-01
NA,和歌山,NA,4801,4774,27,5773,5739,34,33,47,2020-06-01
NA,鳥取,NA,3213,3206,7,3912,3904,8,19,45,2020-06-01
NA,島根,NA,2376,2374,2,2919,2917,2,13,21,2020-06-01
NA,岡山,NA,3544,3529,15,4308,4291,17,21,43,2020-06-01
NA,広島,NA,5618,5579,39,7285,7222,63,50,61,2020-06-01
NA,山口,NA,8338,8300,38,10158,10113,45,53,89,2020-06-01
NA,徳島,NA,10390,10340,50,12924,12860,64,69,76,2020-06-01
NA,香川,NA,3260,3237,23,4054,4025,29,35,41,2020-06-01
NA,愛媛,NA,7541,7439,102,9102,8966,136,65,65,2020-06-01
NA,高知,NA,5689,5639,50,6965,6894,71,38,61,2020-06-01
NA,福岡,NA,37178,37036,142,49909,49684,225,225,302,2020-06-01
NA,佐賀,NA,6487,6436,51,7727,7670,57,46,65,2020-06-01
NA,長崎,NA,7788,7753,35,9888,9846,42,61,73,2020-06-01
NA,熊本,NA,7488,7454,34,9329,9290,39,67,76,2020-06-01
NA,大分,NA,9036,8949,87,10995,10882,113,67,85,2020-06-01
NA,宮崎,NA,7378,7352,26,9070,9031,39,45,80,2020-06-01
NA,鹿児島,NA,11711,11568,143,14873,14699,174,82,101,2020-06-01
NA,沖縄,NA,19729,19641,88,24946,24817,129,166,166,2020-06-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-06-01
NA,札幌市,NA,55554,55368,186,71496,71272,224,541,606,2020-06-01
NA,仙台市,NA,14191,14108,83,18371,18256,115,158,135,2020-06-01
NA,さいたま市,NA,15491,15433,58,19695,19616,79,166,154,2020-06-01
NA,千葉市,NA,17156,16986,170,21012,20772,240,267,235,2020-06-01
NA,横浜市,NA,54579,54481,98,69084,68953,131,656,631,2020-06-01
NA,川崎市,NA,23794,23758,36,30004,29958,46,250,256,2020-06-01
NA,相模原市,NA,10441,10417,24,13740,13708,32,124,97,2020-06-01
NA,新潟市,NA,9267,9232,35,11861,11816,45,85,96,2020-06-01
NA,静岡市,NA,7423,7359,64,9302,9206,96,86,65,2020-06-01
NA,浜松市,NA,5710,5654,56,7147,7081,66,77,95,2020-06-01
NA,名古屋市,NA,38593,38366,227,47548,47274,274,553,501,2020-06-01
NA,京都市,NA,32208,31824,384,42224,41669,555,325,319,2020-06-01
NA,大阪市,NA,112880,112402,478,135309,134720,589,1198,1103,2020-06-01
NA,堺市,NA,19316,19276,40,25045,24990,55,200,177,2020-06-01
NA,神戸市,NA,34032,33868,164,44416,44217,199,312,302,2020-06-01
NA,岡山市,NA,9888,9852,36,12892,12838,54,88,113,2020-06-01
NA,広島市,NA,18497,18438,59,23975,23898,77,187,177,2020-06-01
NA,北九州市,NA,18394,18317,77,22800,22712,88,134,156,2020-06-01
NA,福岡市,NA,33679,33536,143,42751,42549,202,379,355,2020-06-01
NA,熊本市,NA,11917,11884,33,15032,14994,38,131,137,2020-06-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-06-01
NA,旭川市,NA,9910,9869,41,12288,12239,49,70,62,2020-06-01
NA,函館市,NA,9342,9321,21,11569,11544,25,59,81,2020-06-01
NA,青森市,NA,6753,6750,3,8317,8314,3,41,45,2020-06-01
NA,八戸市,NA,3474,3463,11,4257,4244,13,21,25,2020-06-01
NA,盛岡市,NA,3827,3813,14,4613,4597,16,22,29,2020-06-01
NA,秋田市,NA,4296,4293,3,5304,5300,4,24,32,2020-06-01
NA,山形市,NA,1783,1767,16,2168,2150,18,18,21,2020-06-01
NA,郡山市,NA,2670,2665,5,3242,3237,5,27,19,2020-06-01
NA,いわき市,NA,3335,3325,10,4288,4274,14,34,40,2020-06-01
NA,福島市,NA,2521,2518,3,3081,3078,3,21,20,2020-06-01
NA,水戸市,NA,4053,4025,28,5179,5144,35,34,32,2020-06-01
NA,宇都宮市,NA,6692,6664,28,8287,8249,38,45,52,2020-06-01
NA,前橋市,NA,3425,3384,41,4144,4084,60,34,26,2020-06-01
NA,高崎市,NA,2909,2886,23,3454,3426,28,20,32,2020-06-01
NA,川越市,NA,3432,3430,2,4384,4382,2,33,33,2020-06-01
NA,越谷市,NA,3345,3325,20,4368,4337,31,42,26,2020-06-01
NA,川口市,NA,9001,8983,18,11521,11495,26,80,69,2020-06-01
NA,船橋市,NA,7197,7166,31,9109,9071,38,59,63,2020-06-01
NA,柏市,NA,3756,3747,9,4768,4757,11,34,40,2020-06-01
NA,八王子市,NA,7456,7445,11,9402,9390,12,67,52,2020-06-01
NA,横須賀市,NA,4080,4049,31,5212,5163,49,41,38,2020-06-01
NA,富山市,NA,1900,1893,7,2181,2174,7,32,15,2020-06-01
NA,金沢市,NA,3535,3515,20,4069,4043,26,22,29,2020-06-01
NA,福井市,NA,2073,2047,26,2565,2535,30,19,16,2020-06-01
NA,甲府市,NA,2354,2340,14,2837,2818,19,25,22,2020-06-01
NA,長野市,NA,2635,2604,31,3277,3223,54,26,33,2020-06-01
NA,岐阜市,NA,5160,5121,39,6198,6146,52,27,32,2020-06-01
NA,豊橋市,NA,1721,1712,9,2044,2035,9,11,13,2020-06-01
NA,豊田市,NA,1765,1752,13,2353,2336,17,31,27,2020-06-01
NA,岡崎市,NA,1644,1636,8,2073,2062,11,23,11,2020-06-01
NA,大津市,NA,3017,3002,15,3889,3869,20,28,29,2020-06-01
NA,高槻市,NA,4242,4232,10,5735,5722,13,35,32,2020-06-01
NA,東大阪市,NA,13996,13948,48,17956,17882,74,84,122,2020-06-01
NA,豊中市,NA,7521,7501,20,9727,9697,30,43,45,2020-06-01
NA,枚方市,NA,5723,5692,31,7545,7493,52,43,38,2020-06-01
NA,八尾市,NA,5915,5914,1,7757,7756,1,53,47,2020-06-01
NA,寝屋川市,NA,5444,5416,28,7163,7120,43,45,32,2020-06-01
NA,吹田市,NA,4297,4296,1,5620,5616,4,40,32,2020-06-01
NA,姫路市,NA,6646,6633,13,8261,8244,17,37,51,2020-06-01
NA,西宮市,NA,5940,5881,59,7842,7742,100,44,35,2020-06-01
NA,尼崎市,NA,13746,13726,20,17568,17541,27,99,118,2020-06-01
NA,明石市,NA,3917,3901,16,5138,5116,22,35,34,2020-06-01
NA,奈良市,NA,5413,5351,62,7206,7106,100,24,30,2020-06-01
NA,和歌山市,NA,7431,7399,32,8975,8932,43,51,53,2020-06-01
NA,鳥取市,NA,2181,2161,20,2873,2850,23,11,19,2020-06-01
NA,松江市,NA,2060,2048,12,2638,2626,12,18,17,2020-06-01
NA,倉敷市,NA,5334,5324,10,7143,7129,14,54,52,2020-06-01
NA,福山市,NA,4774,4760,14,6116,6101,15,30,44,2020-06-01
NA,呉市,NA,2757,2729,28,3469,3425,44,15,23,2020-06-01
NA,下関市,NA,3178,3162,16,3882,3861,21,16,21,2020-06-01
NA,高松市,NA,4931,4890,41,6189,6139,50,38,24,2020-06-01
NA,松山市,NA,9621,9604,17,11583,11562,21,36,79,2020-06-01
NA,高知市,NA,8875,8840,35,11252,11209,43,54,50,2020-06-01
NA,久留米市,NA,5203,5191,12,6559,6544,15,55,38,2020-06-01
NA,長崎市,NA,9436,9389,47,12247,12189,58,42,74,2020-06-01
NA,佐世保市,NA,4006,3994,12,5077,5063,14,19,50,2020-06-01
NA,大分市,NA,7004,6938,66,8471,8392,79,38,56,2020-06-01
NA,宮崎市,NA,6894,6870,24,8574,8549,25,72,67,2020-06-01
NA,鹿児島市,NA,11701,11616,85,14927,14817,110,76,68,2020-06-01
NA,那覇市,NA,10262,10257,5,13123,13118,5,81,98,2020-06-01
