統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1636952,1628811,8141,2071747,2060510,11237,16480,16543,2019-11-01
NA,北海道,NA,48214,48141,73,61736,61646,90,429,434,2019-11-01
NA,青森,NA,13703,13670,33,16599,16561,38,132,121,2019-11-01
NA,岩手,NA,6725,6694,31,8397,8357,40,72,78,2019-11-01
NA,宮城,NA,8515,8478,37,11100,11038,62,102,90,2019-11-01
NA,秋田,NA,6971,6950,21,8782,8755,27,61,86,2019-11-01
NA,山形,NA,4769,4728,41,5767,5706,61,50,54,2019-11-01
NA,福島,NA,5517,5490,27,6715,6678,37,56,86,2019-11-01
NA,茨城,NA,22715,22583,132,28240,28060,180,218,229,2019-11-01
NA,栃木,NA,9800,9739,61,11922,11835,87,92,109,2019-11-01
NA,群馬,NA,6235,6202,33,7386,7346,40,68,72,2019-11-01
NA,埼玉,NA,44566,44395,171,57253,57023,230,459,449,2019-11-01
NA,千葉,NA,40880,40690,190,52072,51799,273,410,406,2019-11-01
NA,東京,NA,224332,223238,1094,275636,274057,1579,2057,2211,2019-11-01
NA,神奈川,NA,27185,27051,134,34959,34762,197,331,292,2019-11-01
NA,新潟,NA,7096,7053,43,8905,8849,56,68,78,2019-11-01
NA,富山,NA,1431,1391,40,1630,1585,45,14,27,2019-11-01
NA,石川,NA,2579,2549,30,2980,2940,40,26,30,2019-11-01
NA,福井,NA,1399,1381,18,1634,1614,20,14,19,2019-11-01
NA,山梨,NA,3365,3335,30,4146,4108,38,29,44,2019-11-01
NA,長野,NA,6377,6317,60,7752,7658,94,86,90,2019-11-01
NA,岐阜,NA,4390,4340,50,5335,5277,58,52,42,2019-11-01
NA,静岡,NA,12283,12185,98,14956,14833,123,158,172,2019-11-01
NA,愛知,NA,17731,17612,119,22394,22231,163,227,201,2019-11-01
NA,三重,NA,12573,12477,96,15692,15555,137,137,154,2019-11-01
NA,滋賀,NA,5171,5144,27,7056,7014,42,62,49,2019-11-01
NA,京都,NA,10088,10022,66,13938,13827,111,100,100,2019-11-01
NA,大阪,NA,44992,44844,148,59351,59125,226,451,448,2019-11-01
NA,兵庫,NA,13901,13792,109,18097,17945,152,139,138,2019-11-01
NA,奈良,NA,9258,9195,63,12268,12156,112,65,92,2019-11-01
NA,和歌山,NA,4845,4814,31,5851,5814,37,44,52,2019-11-01
NA,鳥取,NA,3259,3246,13,3990,3969,21,30,43,2019-11-01
NA,島根,NA,2421,2414,7,2966,2958,8,27,27,2019-11-01
NA,岡山,NA,3689,3663,26,4528,4497,31,49,45,2019-11-01
NA,広島,NA,5693,5652,41,7408,7344,64,59,62,2019-11-01
NA,山口,NA,8513,8464,49,10455,10389,66,78,101,2019-11-01
NA,徳島,NA,10424,10388,36,13036,12988,48,97,85,2019-11-01
NA,香川,NA,3296,3265,31,4163,4113,50,35,50,2019-11-01
NA,愛媛,NA,7584,7512,72,9224,9127,97,71,77,2019-11-01
NA,高知,NA,5812,5762,50,7154,7096,58,56,64,2019-11-01
NA,福岡,NA,37528,37380,148,50927,50678,249,268,301,2019-11-01
NA,佐賀,NA,6556,6513,43,7875,7824,51,65,69,2019-11-01
NA,長崎,NA,7973,7931,42,10240,10189,51,62,91,2019-11-01
NA,熊本,NA,7502,7465,37,9475,9419,56,99,105,2019-11-01
NA,大分,NA,9144,9071,73,11183,11089,94,76,75,2019-11-01
NA,宮崎,NA,7429,7413,16,9181,9148,33,71,73,2019-11-01
NA,鹿児島,NA,11813,11666,147,15129,14939,190,110,119,2019-11-01
NA,沖縄,NA,19521,19427,94,24911,24766,145,223,183,2019-11-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-01
NA,札幌市,NA,55289,55167,122,71747,71601,146,636,575,2019-11-01
NA,仙台市,NA,14026,13930,96,18317,18186,131,192,156,2019-11-01
NA,さいたま市,NA,15416,15361,55,19699,19624,75,155,162,2019-11-01
NA,千葉市,NA,16977,16781,196,20957,20669,288,239,240,2019-11-01
NA,横浜市,NA,54012,53900,112,68990,68836,154,670,582,2019-11-01
NA,川崎市,NA,23741,23692,49,30227,30160,67,290,298,2019-11-01
NA,相模原市,NA,10317,10282,35,13798,13743,55,96,113,2019-11-01
NA,新潟市,NA,9232,9195,37,11895,11845,50,76,84,2019-11-01
NA,静岡市,NA,7338,7270,68,9228,9138,90,71,72,2019-11-01
NA,浜松市,NA,5664,5602,62,7142,7063,79,58,85,2019-11-01
NA,名古屋市,NA,38351,38107,244,47445,47143,302,557,559,2019-11-01
NA,京都市,NA,32290,31890,400,42741,42172,569,300,255,2019-11-01
NA,大阪市,NA,112875,112257,618,136254,135507,747,1231,1243,2019-11-01
NA,堺市,NA,19308,19275,33,25248,25202,46,198,210,2019-11-01
NA,神戸市,NA,34130,33986,144,44983,44805,178,303,304,2019-11-01
NA,岡山市,NA,9910,9866,44,13048,12993,55,103,83,2019-11-01
NA,広島市,NA,18588,18538,50,24339,24261,78,171,203,2019-11-01
NA,北九州市,NA,18387,18319,68,22941,22863,78,146,161,2019-11-01
NA,福岡市,NA,33612,33477,135,42913,42737,176,345,371,2019-11-01
NA,熊本市,NA,11922,11875,47,15122,15051,71,166,157,2019-11-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-01
NA,旭川市,NA,9931,9896,35,12429,12389,40,101,72,2019-11-01
NA,函館市,NA,9374,9359,15,11671,11654,17,87,71,2019-11-01
NA,青森市,NA,6768,6764,4,8417,8413,4,43,46,2019-11-01
NA,八戸市,NA,3515,3495,20,4340,4314,26,22,29,2019-11-01
NA,盛岡市,NA,3826,3798,28,4689,4650,39,36,38,2019-11-01
NA,秋田市,NA,4341,4338,3,5394,5391,3,39,43,2019-11-01
NA,山形市,NA,1779,1756,23,2166,2135,31,30,16,2019-11-01
NA,郡山市,NA,2708,2702,6,3317,3311,6,39,41,2019-11-01
NA,いわき市,NA,3351,3343,8,4356,4343,13,39,32,2019-11-01
NA,福島市,NA,2519,2517,2,3094,3092,2,29,31,2019-11-01
NA,宇都宮市,NA,6715,6675,40,8392,8331,61,64,59,2019-11-01
NA,前橋市,NA,3387,3337,50,4101,4040,61,44,25,2019-11-01
NA,高崎市,NA,2919,2900,19,3501,3480,21,17,30,2019-11-01
NA,川越市,NA,3399,3393,6,4383,4373,10,35,25,2019-11-01
NA,越谷市,NA,3278,3260,18,4312,4284,28,40,25,2019-11-01
NA,川口市,NA,8990,8965,25,11567,11535,32,98,79,2019-11-01
NA,船橋市,NA,7171,7138,33,9126,9077,49,69,64,2019-11-01
NA,柏市,NA,3694,3685,9,4730,4716,14,43,36,2019-11-01
NA,八王子市,NA,7413,7407,6,9401,9392,9,78,61,2019-11-01
NA,横須賀市,NA,4075,4052,23,5183,5148,35,34,30,2019-11-01
NA,富山市,NA,1818,1816,2,2084,2082,2,29,12,2019-11-01
NA,金沢市,NA,3539,3518,21,4123,4102,21,25,20,2019-11-01
NA,福井市,NA,2048,2027,21,2551,2525,26,21,18,2019-11-01
NA,甲府市,NA,2348,2331,17,2855,2833,22,19,22,2019-11-01
NA,長野市,NA,2651,2617,34,3342,3289,53,27,15,2019-11-01
NA,岐阜市,NA,5248,5190,58,6351,6273,78,47,59,2019-11-01
NA,豊橋市,NA,1703,1689,14,2033,2017,16,21,13,2019-11-01
NA,豊田市,NA,1737,1732,5,2330,2325,5,18,21,2019-11-01
NA,岡崎市,NA,1594,1589,5,2005,1996,9,16,13,2019-11-01
NA,大津市,NA,3017,2996,21,3944,3914,30,26,27,2019-11-01
NA,高槻市,NA,4271,4263,8,5899,5885,14,32,39,2019-11-01
NA,東大阪市,NA,14108,14053,55,18364,18285,79,129,143,2019-11-01
NA,豊中市,NA,7593,7565,28,9891,9847,44,69,66,2019-11-01
NA,枚方市,NA,5765,5731,34,7684,7624,60,47,51,2019-11-01
NA,八尾市,NA,5901,5900,1,7810,7808,2,74,47,2019-11-01
NA,寝屋川市,NA,5470,5431,39,7274,7213,61,51,48,2019-11-01
NA,姫路市,NA,6702,6687,15,8404,8387,17,58,43,2019-11-01
NA,西宮市,NA,5924,5851,73,7861,7727,134,45,49,2019-11-01
NA,尼崎市,NA,13820,13791,29,17779,17737,42,124,119,2019-11-01
NA,明石市,NA,3923,3905,18,5177,5154,23,20,34,2019-11-01
NA,奈良市,NA,5419,5342,77,7318,7190,128,45,29,2019-11-01
NA,和歌山市,NA,7506,7486,20,9120,9081,39,66,65,2019-11-01
NA,鳥取市,NA,2214,2185,29,2966,2918,48,23,20,2019-11-01
NA,松江市,NA,2080,2079,1,2691,2689,2,27,24,2019-11-01
NA,倉敷市,NA,5274,5263,11,7128,7110,18,58,55,2019-11-01
NA,福山市,NA,4818,4808,10,6219,6208,11,38,56,2019-11-01
NA,呉市,NA,2787,2761,26,3544,3498,46,19,28,2019-11-01
NA,下関市,NA,3266,3256,10,4010,3998,12,23,27,2019-11-01
NA,高松市,NA,4910,4857,53,6202,6142,60,45,47,2019-11-01
NA,松山市,NA,9714,9700,14,11767,11751,16,55,60,2019-11-01
NA,高知市,NA,9002,8936,66,11475,11393,82,64,77,2019-11-01
NA,久留米市,NA,5101,5085,16,6531,6513,18,40,24,2019-11-01
NA,長崎市,NA,9479,9399,80,12438,12332,106,61,74,2019-11-01
NA,佐世保市,NA,4085,4074,11,5203,5189,14,48,38,2019-11-01
NA,大分市,NA,7034,6976,58,8561,8485,76,52,55,2019-11-01
NA,宮崎市,NA,6889,6865,24,8666,8642,24,77,68,2019-11-01
NA,鹿児島市,NA,11742,11637,105,15133,14991,142,87,80,2019-11-01
NA,那覇市,NA,10151,10138,13,13017,13003,14,79,68,2019-11-01
