prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,year
愛知,393135,31486,88234,99535,121957,2020
愛媛,121605,6434,23729,29235,22672,2020
茨城,157283,8574,29119,35807,41619,2020
岡山,116580,12172,30854,23340,40583,2020
沖縄,200824,14851,62677,44139,38419,2020
岩手,69284,4383,19300,13388,18773,2020
岐阜,71230,3238,13201,15591,11242,2020
宮崎,99865,6454,18902,22031,23154,2020
宮城,138076,14719,40670,28438,50000,2020
京都,261242,35985,62163,53133,87878,2020
熊本,132743,8915,37673,18004,35180,2020
群馬,90635,4006,19327,18366,17189,2020
広島,193170,21113,68120,41476,53461,2020
香川,51890,4524,10090,13498,17448,2020
高知,103342,6075,18939,15930,28750,2020
佐賀,46692,2235,9524,11747,7207,2020
埼玉,490854,41890,113446,111823,155193,2020
三重,86623,6290,20987,18843,17583,2020
山形,42784,2111,9027,12085,12217,2020
山口,83624,4271,14775,16135,18516,2020
山梨,41147,1806,8083,6594,10698,2020
滋賀,47822,6399,14322,16211,13625,2020
鹿児島,154048,12563,36277,28548,46317,2020
秋田,80215,3528,13988,13942,20392,2020
新潟,98680,8164,27020,19727,41539,2020
神奈川,762861,75111,198074,153427,256030,2020
青森,179981,6493,34638,27388,36397,2020
静岡,170761,12760,36331,35184,51570,2020
石川,44312,1623,12093,6884,7708,2020
千葉,444333,35891,105374,102743,144893,2020
全国,10847889,907755,2470616,2386579,2941444,2020
大阪,1523822,135575,374757,278881,313524,2020
大分,118248,5449,22920,17813,25621,2020
長崎,139390,11497,26310,35709,39552,2020
長野,57319,3440,19291,13011,14367,2020
鳥取,33317,2598,8380,8691,10849,2020
島根,28638,2379,8121,4928,9058,2020
東京,1512700,107803,307802,388743,451422,2020
徳島,73552,4357,11206,22709,12256,2020
栃木,108212,6554,25977,26650,29015,2020
奈良,97118,10123,21309,23192,20354,2020
富山,23548,740,5315,5134,5104,2020
福井,24544,974,4045,5006,6339,2020
福岡,640323,58347,114925,128962,185097,2020
福島,92956,5506,22578,20950,25616,2020
兵庫,504327,53195,111012,130235,134045,2020
北海道,799445,90322,177156,204693,194861,2020
和歌山,94789,4832,12555,18080,16154,2020
