都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,386617,167652,218965,47654708746,23205091635,24449617111,2022-05-01
北　海　道,19349,7581,11768,2234527722,1006825793,1227701929,2022-05-01
青　　　森,5063,2133,2930,555441371,266728283,288713088,2022-05-01
岩　　　手,3830,1615,2215,413783566,200981775,212801791,2022-05-01
宮　　　城,7513,3096,4417,879742588,408452148,471290440,2022-05-01
秋　　　田,3141,1301,1840,341232968,159135645,182097323,2022-05-01
山　　　形,3174,1351,1823,350912192,168018552,182893640,2022-05-01
福　　　島,5942,2675,3267,703009320,356608508,346400812,2022-05-01
茨　　　城,7465,3448,4017,942156759,493422610,448734149,2022-05-01
栃　　　木,5404,2582,2822,644258746,343684045,300574701,2022-05-01
群　　　馬,5245,2439,2806,633926454,331570677,302355777,2022-05-01
埼　　　玉,20512,9888,10624,2675708231,1418872313,1256835918,2022-05-01
千　　　葉,16263,7666,8597,2168766209,1131967721,1036798488,2022-05-01
東　　　京,38235,16852,21383,5306106665,2520719921,2785386744,2022-05-01
神　奈　川,23675,11247,12428,3202140468,1668684341,1533456127,2022-05-01
新　　　潟,6499,2714,3785,747418421,350376650,397041771,2022-05-01
富　　　山,2803,1187,1616,323083070,156341913,166741157,2022-05-01
石　　　川,3388,1396,1992,391152444,180967875,210184569,2022-05-01
福　　　井,2112,833,1279,238996718,106987449,132009269,2022-05-01
山　　　梨,2076,933,1143,248796548,125194699,123601849,2022-05-01
長　　　野,6423,2781,3642,750607216,366813477,383793739,2022-05-01
岐　　　阜,5551,2474,3077,657166759,330906594,326260165,2022-05-01
静　　　岡,10380,4543,5837,1248715098,612664766,636050332,2022-05-01
愛　　　知,21619,9579,12040,2787168866,1376531301,1410637565,2022-05-01
三　　　重,5517,2506,3011,668423101,342866341,325556760,2022-05-01
滋　　　賀,4776,2024,2752,575213885,278853996,296359889,2022-05-01
京　　　都,8150,3416,4734,1032506973,487006851,545500122,2022-05-01
大　　　阪,29048,12614,16434,3719684840,1812985738,1906699102,2022-05-01
兵　　　庫,17387,7202,10185,2136721674,1001577013,1135144661,2022-05-01
奈　　　良,3816,1736,2080,470024286,240566890,229457396,2022-05-01
和　歌　山,2918,1294,1624,344178153,176928410,167249743,2022-05-01
鳥　　　取,1848,799,1049,196706059,92627608,104078451,2022-05-01
島　　　根,2051,833,1218,216013500,101328686,114684814,2022-05-01
岡　　　山,6146,2615,3531,711461653,347707588,363754065,2022-05-01
広　　　島,9498,3960,5538,1136597328,543819285,592778043,2022-05-01
山　　　口,3864,1554,2310,454873824,209799019,245074805,2022-05-01
徳　　　島,2345,1076,1269,274633912,141949557,132684355,2022-05-01
香　　　川,3017,1272,1745,347115785,165880215,181235570,2022-05-01
愛　　　媛,4164,1703,2461,477450329,224199596,253250733,2022-05-01
高　　　知,2558,1046,1512,284759630,130288346,154471284,2022-05-01
福　　　岡,20000,7995,12005,2399264425,1090886516,1308377909,2022-05-01
佐　　　賀,3077,1209,1868,352737957,158304250,194433707,2022-05-01
長　　　崎,4925,1911,3014,522461226,231688880,290772346,2022-05-01
熊　　　本,6163,2551,3612,703886397,331923540,371962857,2022-05-01
大　　　分,4606,1874,2732,516227937,238534655,277693282,2022-05-01
宮　　　崎,3897,1567,2330,417949811,193778316,224171495,2022-05-01
鹿　児　島,5940,2335,3605,658229623,298676889,359552734,2022-05-01
沖　　　縄,5244,2246,2998,592768039,280456394,312311645,2022-05-01
