"unemp_benefit_number_total","unemp_benefit_number_male","unemp_benefit_number_female","unemp_benefit_yen_total","unemp_benefit_yen_male","unemp_benefit_yen_female","id","date","year","prefec_kanji","prefec"
2189,879,1310,250181869,115204724,134977145,19,"2017-05-01",2017,"山梨","Yamanashi"
6699,2686,4013,744654151,341066440,403587711,20,"2017-05-01",2017,"長野","Nagano"
5356,2132,3224,607413033,282880938,324532095,21,"2017-05-01",2017,"岐阜","Gifu"
10898,4517,6381,1282850861,617623626,665227235,22,"2017-05-01",2017,"静岡","Shizuoka"
19991,7955,12036,2372802856,1082653597,1290149259,23,"2017-05-01",2017,"愛知","Aichi"
6320,2500,3820,724223015,331214417,393008598,24,"2017-05-01",2017,"三重","Mie"
5032,1937,3095,579385203,264377114,315008089,25,"2017-05-01",2017,"滋賀","Shiga"
8025,3055,4970,931861004,406495770,525365234,26,"2017-05-01",2017,"京都","Kyoto"
27080,10753,16327,3211595453,1461415690,1750179763,27,"2017-05-01",2017,"大阪","Osaka"
18265,7197,11068,2176564771,1006913991,1169650780,28,"2017-05-01",2017,"兵庫","Hyogo"
4064,1734,2330,479875902,237814053,242061849,29,"2017-05-01",2017,"奈良","Nara"
3005,1193,1812,326970416,155762144,171208272,30,"2017-05-01",2017,"和歌山","Wakayama"
2185,873,1312,229040348,106334499,122705849,31,"2017-05-01",2017,"鳥取","Tottori"
2377,915,1462,254432253,111504299,142927954,32,"2017-05-01",2017,"島根","Shimane"
6417,2520,3897,723601262,333883831,389717431,33,"2017-05-01",2017,"岡山","Okayama"
9501,3540,5961,1085655310,473089736,612565574,34,"2017-05-01",2017,"広島","Hiroshima"
4091,1476,2615,442523529,184867497,257656032,35,"2017-05-01",2017,"山口","Yamaguchi"
2474,992,1482,274830400,123564724,151265676,36,"2017-05-01",2017,"徳島","Tokushima"
3268,1229,2039,351065028,151810725,199254303,37,"2017-05-01",2017,"香川","Kagawa"
4257,1686,2571,471098761,215569586,255529175,38,"2017-05-01",2017,"愛媛","Ehime"
3019,1100,1919,318509022,132957022,185552000,39,"2017-05-01",2017,"高知","Kochi"
19401,7163,12238,2188574807,945971512,1242603295,40,"2017-05-01",2017,"福岡","Fukuoka"
3145,1113,2032,335745861,144076711,191669150,41,"2017-05-01",2017,"佐賀","Saga"
5207,1911,3296,526673957,227367643,299306314,42,"2017-05-01",2017,"長崎","Nagasaki"
8237,3008,5229,843600299,368030234,475570065,43,"2017-05-01",2017,"熊本","Kumamoto"
4803,1779,3024,499566871,217396445,282170426,44,"2017-05-01",2017,"大分","Oita"
4395,1693,2702,468949853,216211900,252737953,45,"2017-05-01",2017,"宮崎","Miyazaki"
6393,2430,3963,651271448,296609905,354661543,46,"2017-05-01",2017,"鹿児島","Kagoshima"
4887,2033,2854,519260038,246480908,272779130,47,"2017-05-01",2017,"沖縄","Okinawa"
399379,157368,242011,47350795142,21415981584,25934813558,99,"2017-06-01",2017,"全国","zenkoku"
20734,7028,13706,2296008331,909076945,1386931386,1,"2017-06-01",2017,"北海道","Hokkaido"
5573,2185,3388,603950558,272089035,331861523,2,"2017-06-01",2017,"青森","Aomori"
4456,1764,2692,489526656,225524151,264002505,3,"2017-06-01",2017,"岩手","Iwate"
7812,2942,4870,884803029,392678490,492124539,4,"2017-06-01",2017,"宮城","Miyagi"
3672,1564,2108,415760807,202443587,213317220,5,"2017-06-01",2017,"秋田","Akita"
3608,1455,2153,406757579,185353489,221404090,6,"2017-06-01",2017,"山形","Yamagata"
6942,3138,3804,813158426,419767015,393391411,7,"2017-06-01",2017,"福島","Fukushima"
7677,3252,4425,931409066,452120793,479288273,8,"2017-06-01",2017,"茨城","Ibaraki"
5931,2559,3372,729806771,356320878,373485893,9,"2017-06-01",2017,"栃木","Tochigi"
5110,2145,2965,596105666,290428136,305677530,10,"2017-06-01",2017,"群馬","Gunma"
19339,8472,10867,2412005959,1210661594,1201344365,11,"2017-06-01",2017,"埼玉","Saitama"
15933,6732,9201,2020036910,972153508,1047883402,12,"2017-06-01",2017,"千葉","Chiba"
36284,14876,21408,4631729714,2095257171,2536472543,13,"2017-06-01",2017,"東京","Tokyo"
24898,10783,14115,3300038371,1638719007,1661319364,14,"2017-06-01",2017,"神奈川","Kanagawa"
7178,2786,4392,826089941,363793018,462296923,15,"2017-06-01",2017,"新潟","Niigata"
2918,1087,1831,348015264,144636701,203378563,16,"2017-06-01",2017,"富山","Toyama"
3763,1328,2435,445513022,177510720,268002302,17,"2017-06-01",2017,"石川","Ishikawa"
2123,771,1352,236442347,99159451,137282896,18,"2017-06-01",2017,"福井","Fukui"
2247,911,1336,276620614,129275703,147344911,19,"2017-06-01",2017,"山梨","Yamanashi"
6826,2671,4155,792190068,349732108,442457960,20,"2017-06-01",2017,"長野","Nagano"
5348,2115,3233,599060845,274367409,324693436,21,"2017-06-01",2017,"岐阜","Gifu"
11026,4516,6510,1286399848,597353159,689046689,22,"2017-06-01",2017,"静岡","Shizuoka"
20549,8043,12506,2524311404,1126224736,1398086668,23,"2017-06-01",2017,"愛知","Aichi"
6256,2455,3801,720722425,330365577,390356848,24,"2017-06-01",2017,"三重","Mie"
4918,1907,3011,565585077,253374634,312210443,25,"2017-06-01",2017,"滋賀","Shiga"
8222,3111,5111,984709390,426004546,558704844,26,"2017-06-01",2017,"京都","Kyoto"
28651,11140,17511,3528967173,1565388891,1963578282,27,"2017-06-01",2017,"大阪","Osaka"
18543,7194,11349,2193270173,993202217,1200067956,28,"2017-06-01",2017,"兵庫","Hyogo"
4340,1811,2529,522962533,252323658,270638875,29,"2017-06-01",2017,"奈良","Nara"
3125,1235,1890,340783805,154851957,185931848,30,"2017-06-01",2017,"和歌山","Wakayama"
2079,804,1275,226710620,100533897,126176723,31,"2017-06-01",2017,"鳥取","Tottori"
2212,872,1340,240619932,106985081,133634851,32,"2017-06-01",2017,"島根","Shimane"
6362,2452,3910,727276703,314491517,412785186,33,"2017-06-01",2017,"岡山","Okayama"
9611,3471,6140,1099027057,454750368,644276689,34,"2017-06-01",2017,"広島","Hiroshima"
4126,1502,2624,462960169,199132417,263827752,35,"2017-06-01",2017,"山口","Yamaguchi"
2578,1064,1514,290753403,138414383,152339020,36,"2017-06-01",2017,"徳島","Tokushima"
3286,1238,2048,373150050,159780988,213369062,37,"2017-06-01",2017,"香川","Kagawa"
4392,1701,2691,500134089,225754133,274379956,38,"2017-06-01",2017,"愛媛","Ehime"
3052,1149,1903,332386461,143146476,189239985,39,"2017-06-01",2017,"高知","Kochi"
19905,7191,12714,2293881249,961247313,1332633936,40,"2017-06-01",2017,"福岡","Fukuoka"
3169,1115,2054,340839605,137649713,203189892,41,"2017-06-01",2017,"佐賀","Saga"
5360,1910,3450,579684539,242245264,337439275,42,"2017-06-01",2017,"長崎","Nagasaki"
8597,3031,5566,937345380,382822307,554523073,43,"2017-06-01",2017,"熊本","Kumamoto"
4881,1785,3096,519677461,220478231,299199230,44,"2017-06-01",2017,"大分","Oita"
4290,1642,2648,451604919,202072235,249532684,45,"2017-06-01",2017,"宮崎","Miyazaki"
6471,2419,4052,686315403,303732202,382583201,46,"2017-06-01",2017,"鹿児島","Kagoshima"
5006,2046,2960,565686330,262586775,303099555,47,"2017-06-01",2017,"沖縄","Okinawa"
400210,155964,244246,45589779159,20349923520,25239855639,99,"2017-07-01",2017,"全国","zenkoku"
20658,6953,13705,2210646729,871568970,1339077759,1,"2017-07-01",2017,"北海道","Hokkaido"
5435,2051,3384,543445899,242060808,301385091,2,"2017-07-01",2017,"青森","Aomori"
4492,1772,2720,457404722,207292488,250112234,3,"2017-07-01",2017,"岩手","Iwate"
