"unemp_benefit_number_total","unemp_benefit_number_male","unemp_benefit_number_female","unemp_benefit_yen_total","unemp_benefit_yen_male","unemp_benefit_yen_female","id","date","year","prefec_kanji","prefec"
20868,8813,12055,2818348980,1358148096,1460200884,11,"2018-08-01",2018,"埼玉","Saitama"
16789,6934,9855,2328343730,1094434843,1233908887,12,"2018-08-01",2018,"千葉","Chiba"
39400,16023,23377,5608955943,2510728244,3098227699,13,"2018-08-01",2018,"東京","Tokyo"
25918,11174,14744,3723795532,1826038828,1897756704,14,"2018-08-01",2018,"神奈川","Kanagawa"
7238,2808,4430,855644726,378390557,477254169,15,"2018-08-01",2018,"新潟","Niigata"
2922,1126,1796,367525425,165073616,202451809,16,"2018-08-01",2018,"富山","Toyama"
3770,1339,2431,465516703,188888423,276628280,17,"2018-08-01",2018,"石川","Ishikawa"
2346,784,1562,283042400,108407710,174634690,18,"2018-08-01",2018,"福井","Fukui"
2371,963,1408,308356587,143174338,165182249,19,"2018-08-01",2018,"山梨","Yamanashi"
6764,2560,4204,821195173,353617491,467577682,20,"2018-08-01",2018,"長野","Nagano"
6166,2382,3784,787275611,345036611,442239000,21,"2018-08-01",2018,"岐阜","Gifu"
11411,4482,6929,1440250676,644866605,795384071,22,"2018-08-01",2018,"静岡","Shizuoka"
22149,8532,13617,3027099092,1346507387,1680591705,23,"2018-08-01",2018,"愛知","Aichi"
6455,2521,3934,808976546,367401672,441574874,24,"2018-08-01",2018,"三重","Mie"
4798,1795,3003,606562982,265792056,340770926,25,"2018-08-01",2018,"滋賀","Shiga"
9185,3328,5857,1174895475,486432673,688462802,26,"2018-08-01",2018,"京都","Kyoto"
29838,11396,18442,3875788635,1678919052,2196869583,27,"2018-08-01",2018,"大阪","Osaka"
20678,7674,13004,2660187689,1146937609,1513250080,28,"2018-08-01",2018,"兵庫","Hyogo"
4318,1772,2546,539549948,258176914,281373034,29,"2018-08-01",2018,"奈良","Nara"
3128,1209,1919,364666028,164422815,200243213,30,"2018-08-01",2018,"和歌山","Wakayama"
2303,922,1381,271660297,120276702,151383595,31,"2018-08-01",2018,"鳥取","Tottori"
2429,936,1493,276937283,118957109,157980174,32,"2018-08-01",2018,"島根","Shimane"
7710,3015,4695,986281400,423569172,562712228,33,"2018-08-01",2018,"岡山","Okayama"
11583,4157,7426,1512060426,618821655,893238771,34,"2018-08-01",2018,"広島","Hiroshima"
4545,1564,2981,553502754,225272918,328229836,35,"2018-08-01",2018,"山口","Yamaguchi"
2627,1072,1555,315138247,145014532,170123715,36,"2018-08-01",2018,"徳島","Tokushima"
3428,1309,2119,406829599,175549043,231280556,37,"2018-08-01",2018,"香川","Kagawa"
5296,1986,3310,644501944,282090916,362411028,38,"2018-08-01",2018,"愛媛","Ehime"
3222,1280,1942,385561328,171342497,214218831,39,"2018-08-01",2018,"高知","Kochi"
21800,7619,14181,2677630388,1093564989,1584065399,40,"2018-08-01",2018,"福岡","Fukuoka"
3471,1204,2267,390602848,159873899,230728949,41,"2018-08-01",2018,"佐賀","Saga"
5572,1922,3650,634367434,250851615,383515819,42,"2018-08-01",2018,"長崎","Nagasaki"
6892,2515,4377,799609407,343707730,455901677,43,"2018-08-01",2018,"熊本","Kumamoto"
4883,1735,3148,545877604,229650213,316227391,44,"2018-08-01",2018,"大分","Oita"
4607,1692,2915,513695576,224503888,289191688,45,"2018-08-01",2018,"宮崎","Miyazaki"
6861,2461,4400,774719963,325619602,449100361,46,"2018-08-01",2018,"鹿児島","Kagoshima"
5148,2008,3140,588759626,259847913,328911713,47,"2018-08-01",2018,"沖縄","Okinawa"
396505,155017,241488,46492133717,20659171020,25832962697,99,"2018-09-01",2018,"全国","zenkoku"
19489,6658,12831,2131436572,847320454,1284116118,1,"2018-09-01",2018,"北海道","Hokkaido"
5100,1959,3141,530899360,240274720,290624640,2,"2018-09-01",2018,"青森","Aomori"
4157,1734,2423,449210259,215439648,233770611,3,"2018-09-01",2018,"岩手","Iwate"
7690,3013,4677,865923980,387331975,478592005,4,"2018-09-01",2018,"宮城","Miyagi"
3452,1399,2053,370337239,169031994,201305245,5,"2018-09-01",2018,"秋田","Akita"
3391,1308,2083,371892977,160239201,211653776,6,"2018-09-01",2018,"山形","Yamagata"
5995,2586,3409,696399217,339862633,356536584,7,"2018-09-01",2018,"福島","Fukushima"
7300,2989,4311,881849188,408647004,473202184,8,"2018-09-01",2018,"茨城","Ibaraki"
5415,2306,3109,632570745,304218639,328352106,9,"2018-09-01",2018,"栃木","Tochigi"
4910,2137,2773,575809310,282821465,292987845,10,"2018-09-01",2018,"群馬","Gunma"
19665,8352,11313,2457186842,1177159347,1280027495,11,"2018-09-01",2018,"埼玉","Saitama"
15922,6615,9307,2007869443,940226138,1067643305,12,"2018-09-01",2018,"千葉","Chiba"
37327,15219,22108,4947400332,2213255192,2734145140,13,"2018-09-01",2018,"東京","Tokyo"
24523,10649,13874,3182647552,1562297199,1620350353,14,"2018-09-01",2018,"神奈川","Kanagawa"
6708,2637,4071,763576533,341459574,422116959,15,"2018-09-01",2018,"新潟","Niigata"
2785,1093,1692,318359089,139401129,178957960,16,"2018-09-01",2018,"富山","Toyama"
3423,1220,2203,385628851,158843421,226785430,17,"2018-09-01",2018,"石川","Ishikawa"
2197,766,1431,241052036,95643382,145408654,18,"2018-09-01",2018,"福井","Fukui"
2171,884,1287,257841591,119568837,138272754,19,"2018-09-01",2018,"山梨","Yamanashi"
6323,2479,3844,715268883,320397509,394871374,20,"2018-09-01",2018,"長野","Nagano"
5892,2254,3638,669144255,292805789,376338466,21,"2018-09-01",2018,"岐阜","Gifu"
10607,4239,6368,1233432795,555000240,678432555,22,"2018-09-01",2018,"静岡","Shizuoka"
21124,8256,12868,2553326610,1125416569,1427910041,23,"2018-09-01",2018,"愛知","Aichi"
6223,2391,3832,704348933,306591815,397757118,24,"2018-09-01",2018,"三重","Mie"
4565,1748,2817,529867263,231405631,298461632,25,"2018-09-01",2018,"滋賀","Shiga"
8732,3179,5553,1030035486,430287482,599748004,26,"2018-09-01",2018,"京都","Kyoto"
28196,10823,17373,3343945964,1445077973,1898867991,27,"2018-09-01",2018,"大阪","Osaka"
19625,7393,12232,2295091575,993049608,1302041967,28,"2018-09-01",2018,"兵庫","Hyogo"
3937,1630,2307,457659237,217000740,240658497,29,"2018-09-01",2018,"奈良","Nara"
3025,1178,1847,324994476,145990719,179003757,30,"2018-09-01",2018,"和歌山","Wakayama"
2179,888,1291,231663976,104260052,127403924,31,"2018-09-01",2018,"鳥取","Tottori"
2294,926,1368,246828066,109119299,137708767,32,"2018-09-01",2018,"島根","Shimane"
7711,3038,4673,865479421,383619084,481860337,33,"2018-09-01",2018,"岡山","Okayama"
11201,4083,7118,1268987248,524983386,744003862,34,"2018-09-01",2018,"広島","Hiroshima"
4225,1466,2759,465954504,189476657,276477847,35,"2018-09-01",2018,"山口","Yamaguchi"
2380,999,1381,270220395,125530713,144689682,36,"2018-09-01",2018,"徳島","Tokushima"
3224,1222,2002,351250161,152842900,198407261,37,"2018-09-01",2018,"香川","Kagawa"
4905,1874,3031,538301654,236874613,301427041,38,"2018-09-01",2018,"愛媛","Ehime"
2953,1202,1751,328117296,147506048,180611248,39,"2018-09-01",2018,"高知","Kochi"
20508,7320,13188,2304882003,945013407,1359868596,40,"2018-09-01",2018,"福岡","Fukuoka"
3163,1087,2076,340642815,133523529,207119286,41,"2018-09-01",2018,"佐賀","Saga"
5238,1828,3410,549605534,226358349,323247185,42,"2018-09-01",2018,"長崎","Nagasaki"
6595,2470,4125,699414953,305021523,394393430,43,"2018-09-01",2018,"熊本","Kumamoto"
4524,1648,2876,473931283,199116259,274815024,44,"2018-09-01",2018,"大分","Oita"
4331,1574,2757,454237129,191740237,262496892,45,"2018-09-01",2018,"宮崎","Miyazaki"
6520,2384,4136,669522155,285239669,384282486,46,"2018-09-01",2018,"鹿児島","Kagoshima"
4685,1914,2771,508088531,232879268,275209263,47,"2018-09-01",2018,"沖縄","Okinawa"
404533,158611,245922,51689263168,23016943388,28672319780,99,"2018-10-01",2018,"全国","zenkoku"
19668,6831,12837,2316190096,932382627,1383807469,1,"2018-10-01",2018,"北海道","Hokkaido"
5086,1959,3127,573220921,259315402,313905519,2,"2018-10-01",2018,"青森","Aomori"
4311,1778,2533,487146115,230876881,256269234,3,"2018-10-01",2018,"岩手","Iwate"
7947,3112,4835,988468389,443516461,544951928,4,"2018-10-01",2018,"宮城","Miyagi"
3421,1366,2055,377939554,169776395,208163159,5,"2018-10-01",2018,"秋田","Akita"
3443,1361,2082,418115653,186945692,231169961,6,"2018-10-01",2018,"山形","Yamagata"
5978,2528,3450,744305897,362769949,381535948,7,"2018-10-01",2018,"福島","Fukushima"
7511,3093,4418,979094318,460960245,518134073,8,"2018-10-01",2018,"茨城","Ibaraki"
5447,2322,3125,688924735,333207896,355716839,9,"2018-10-01",2018,"栃木","Tochigi"
4949,2144,2805,631305823,301113123,330192700,10,"2018-10-01",2018,"群馬","Gunma"
20160,8547,11613,2690025062,1288163129,1401861933,11,"2018-10-01",2018,"埼玉","Saitama"
16392,6831,9561,2296451748,1072571717,1223880031,12,"2018-10-01",2018,"千葉","Chiba"
38513,15886,22627,5702762713,2562707418,3140055295,13,"2018-10-01",2018,"東京","Tokyo"
25103,10862,14241,3658418953,1778363600,1880055353,14,"2018-10-01",2018,"神奈川","Kanagawa"
6754,2592,4162,802652026,352303451,450348575,15,"2018-10-01",2018,"新潟","Niigata"
2803,1097,1706,343679297,149403145,194276152,16,"2018-10-01",2018,"富山","Toyama"
3388,1227,2161,404627848,166088269,238539579,17,"2018-10-01",2018,"石川","Ishikawa"
2234,799,1435,262062140,106750965,155311175,18,"2018-10-01",2018,"福井","Fukui"
2307,903,1404,277082933,127192871,149890062,19,"2018-10-01",2018,"山梨","Yamanashi"
6420,2540,3880,761911795,339815159,422096636,20,"2018-10-01",2018,"長野","Nagano"
6111,2364,3747,749400991,327865969,421535022,21,"2018-10-01",2018,"岐阜","Gifu"
10886,4361,6525,1358906215,610426979,748479236,22,"2018-10-01",2018,"静岡","Shizuoka"
21339,8364,12975,2802724338,1235623473,1567100865,23,"2018-10-01",2018,"愛知","Aichi"
6375,2425,3950,795638100,345234243,450403857,24,"2018-10-01",2018,"三重","Mie"
4631,1747,2884,575754505,251954649,323799856,25,"2018-10-01",2018,"滋賀","Shiga"
8916,3295,5621,1157884918,484879095,673005823,26,"2018-10-01",2018,"京都","Kyoto"
28730,11055,17675,3763294345,1645880956,2117413389,27,"2018-10-01",2018,"大阪","Osaka"
19933,7588,12345,2542986375,1113618311,1429368064,28,"2018-10-01",2018,"兵庫","Hyogo"
3973,1641,2332,494480058,230278147,264201911,29,"2018-10-01",2018,"奈良","Nara"
3090,1194,1896,351418160,158947127,192471033,30,"2018-10-01",2018,"和歌山","Wakayama"
2234,919,1315,243671520,113831798,129839722,31,"2018-10-01",2018,"鳥取","Tottori"
2302,945,1357,261254347,118986359,142267988,32,"2018-10-01",2018,"島根","Shimane"
8187,3190,4997,956871134,424231799,532639335,33,"2018-10-01",2018,"岡山","Okayama"
11834,4372,7462,1462403068,617132937,845270131,34,"2018-10-01",2018,"広島","Hiroshima"
4307,1480,2827,523579670,210980017,312599653,35,"2018-10-01",2018,"山口","Yamaguchi"
2471,1037,1434,297213471,139533246,157680225,36,"2018-10-01",2018,"徳島","Tokushima"
3214,1243,1971,371794393,160341482,211452911,37,"2018-10-01",2018,"香川","Kagawa"
4919,1871,3048,586883341,262300292,324583049,38,"2018-10-01",2018,"愛媛","Ehime"
2926,1156,1770,338406073,151302417,187103656,39,"2018-10-01",2018,"高知","Kochi"
20842,7502,13340,2610650733,1073006485,1537644248,40,"2018-10-01",2018,"福岡","Fukuoka"
3168,1118,2050,366354696,146452333,219902363,41,"2018-10-01",2018,"佐賀","Saga"
5236,1833,3403,582681751,236829687,345852064,42,"2018-10-01",2018,"長崎","Nagasaki"
6809,2556,4253,764512838,328388887,436123951,43,"2018-10-01",2018,"熊本","Kumamoto"
4576,1644,2932,514250539,216661549,297588990,44,"2018-10-01",2018,"大分","Oita"
4371,1613,2758,494046003,210120757,283925246,45,"2018-10-01",2018,"宮崎","Miyazaki"
6603,2390,4213,744903577,313711315,431192262,46,"2018-10-01",2018,"鹿児島","Kagoshima"
4715,1930,2785,572911993,264198684,308713309,47,"2018-10-01",2018,"沖縄","Okinawa"
379843,150501,229342,46767855033,21069788016,25698067017,99,"2018-11-01",2018,"全国","zenkoku"
18582,6543,12039,2116527755,863540974,1252986781,1,"2018-11-01",2018,"北海道","Hokkaido"
4770,1853,2917,524248765,238641072,285607693,2,"2018-11-01",2018,"青森","Aomori"
3908,1614,2294,446959681,210215758,236743923,3,"2018-11-01",2018,"岩手","Iwate"
7302,2856,4446,856296752,381310343,474986409,4,"2018-11-01",2018,"宮城","Miyagi"
3162,1302,1860,348493813,163686733,184807080,5,"2018-11-01",2018,"秋田","Akita"
3119,1251,1868,375729556,167079875,208649681,6,"2018-11-01",2018,"山形","Yamagata"
5486,2257,3229,644276245,299161742,345114503,7,"2018-11-01",2018,"福島","Fukushima"
7086,2941,4145,886402201,423908902,462493299,8,"2018-11-01",2018,"茨城","Ibaraki"
5117,2218,2899,629790604,304663416,325127188,9,"2018-11-01",2018,"栃木","Tochigi"
4728,1978,2750,564246594,271495528,292751066,10,"2018-11-01",2018,"群馬","Gunma"
19033,8046,10987,2467014761,1178524339,1288490422,11,"2018-11-01",2018,"埼玉","Saitama"
15586,6647,8939,2080672787,992596826,1088075961,12,"2018-11-01",2018,"千葉","Chiba"
36801,15294,21507,5134815060,2338841018,2795974042,13,"2018-11-01",2018,"東京","Tokyo"
23931,10330,13601,3321815437,1620075931,1701739506,14,"2018-11-01",2018,"神奈川","Kanagawa"
6387,2451,3936,732398818,321026262,411372556,15,"2018-11-01",2018,"新潟","Niigata"
2654,1025,1629,323296021,139811839,183484182,16,"2018-11-01",2018,"富山","Toyama"
3237,1188,2049,390000609,165772954,224227655,17,"2018-11-01",2018,"石川","Ishikawa"
2103,762,1341,236939186,97569147,139370039,18,"2018-11-01",2018,"福井","Fukui"
2207,878,1329,276050566,127221737,148828829,19,"2018-11-01",2018,"山梨","Yamanashi"
6102,2434,3668,717077479,322359953,394717526,20,"2018-11-01",2018,"長野","Nagano"
5692,2254,3438,649796851,294227026,355569825,21,"2018-11-01",2018,"岐阜","Gifu"
10198,4119,6079,1231513076,562720810,668792266,22,"2018-11-01",2018,"静岡","Shizuoka"
20111,8072,12039,2584470743,1166256103,1418214640,23,"2018-11-01",2018,"愛知","Aichi"
5951,2325,3626,700219392,308220410,391998982,24,"2018-11-01",2018,"三重","Mie"
4325,1698,2627,530649788,239375850,291273938,25,"2018-11-01",2018,"滋賀","Shiga"
8179,3136,5043,1006105458,442077683,564027775,26,"2018-11-01",2018,"京都","Kyoto"
27494,10597,16897,3487499232,1510976455,1976522777,27,"2018-11-01",2018,"大阪","Osaka"
18662,7232,11430,2301830205,1027900376,1273929829,28,"2018-11-01",2018,"兵庫","Hyogo"
3737,1516,2221,459370049,213381571,245988478,29,"2018-11-01",2018,"奈良","Nara"
2879,1129,1750,317991548,145878076,172113472,30,"2018-11-01",2018,"和歌山","Wakayama"
1963,825,1138,213572706,101528682,112044024,31,"2018-11-01",2018,"鳥取","Tottori"
2063,845,1218,233570856,105637913,127932943,32,"2018-11-01",2018,"島根","Shimane"
7308,2861,4447,840050703,366555415,473495288,33,"2018-11-01",2018,"岡山","Okayama"
10894,4094,6800,1271345289,544745840,726599449,34,"2018-11-01",2018,"広島","Hiroshima"
3949,1412,2537,462676084,194240771,268435313,35,"2018-11-01",2018,"山口","Yamaguchi"
2361,992,1369,273835585,133754905,140080680,36,"2018-11-01",2018,"徳島","Tokushima"
3071,1198,1873,344633222,151220713,193412509,37,"2018-11-01",2018,"香川","Kagawa"
4615,1758,2857,531282785,236301313,294981472,38,"2018-11-01",2018,"愛媛","Ehime"
2699,1097,1602,300133867,139117505,161016362,39,"2018-11-01",2018,"高知","Kochi"
19195,7008,12187,2266390818,955064265,1311326553,40,"2018-11-01",2018,"福岡","Fukuoka"
3016,1086,1930,339673028,141953657,197719371,41,"2018-11-01",2018,"佐賀","Saga"
4914,1810,3104,542260819,234593088,307667731,42,"2018-11-01",2018,"長崎","Nagasaki"
6217,2405,3812,705443977,312433352,393010625,43,"2018-11-01",2018,"熊本","Kumamoto"
4264,1546,2718,465345564,196323550,269022014,44,"2018-11-01",2018,"大分","Oita"
4024,1489,2535,437823224,191001817,246821407,45,"2018-11-01",2018,"宮崎","Miyazaki"
6206,2228,3978,675042679,283539049,391503630,46,"2018-11-01",2018,"鹿児島","Kagoshima"
4555,1901,2654,522274795,243257472,279017323,47,"2018-11-01",2018,"沖縄","Okinawa"
357329,143123,214206,39550909348,17988795055,21562114293,99,"2018-12-01",2018,"全国","zenkoku"
17418,6263,11155,1787104785,740336655,1046768130,1,"2018-12-01",2018,"北海道","Hokkaido"
4360,1700,2660,420228166,191327180,228900986,2,"2018-12-01",2018,"青森","Aomori"
3806,1587,2219,386756527,181435799,205320728,3,"2018-12-01",2018,"岩手","Iwate"
6969,2732,4237,753704624,336863961,416840663,4,"2018-12-01",2018,"宮城","Miyagi"
2945,1167,1778,291856593,133805081,158051512,5,"2018-12-01",2018,"秋田","Akita"
2890,1147,1743,299284988,134172846,165112142,6,"2018-12-01",2018,"山形","Yamagata"
5197,2145,3052,555822939,259888385,295934554,7,"2018-12-01",2018,"福島","Fukushima"
6625,2782,3843,742205602,355312329,386893273,8,"2018-12-01",2018,"茨城","Ibaraki"
4719,2071,2648,511510952,251384936,260126016,9,"2018-12-01",2018,"栃木","Tochigi"
4418,1888,2530,482761454,235051310,247710144,10,"2018-12-01",2018,"群馬","Gunma"
17911,7719,10192,2064887006,1007734131,1057152875,11,"2018-12-01",2018,"埼玉","Saitama"
14834,6325,8509,1859437252,889735820,969701432,12,"2018-12-01",2018,"千葉","Chiba"
34663,14477,20186,4204701186,1919600999,2285100187,13,"2018-12-01",2018,"東京","Tokyo"
22513,9877,12636,2807118843,1371876459,1435242384,14,"2018-12-01",2018,"神奈川","Kanagawa"
5942,2313,3629,602151503,262982718,339168785,15,"2018-12-01",2018,"新潟","Niigata"
2476,982,1494,265240856,119728067,145512789,16,"2018-12-01",2018,"富山","Toyama"
3039,1147,1892,323274757,139510846,183763911,17,"2018-12-01",2018,"石川","Ishikawa"
2132,777,1355,238161156,96598456,141562700,18,"2018-12-01",2018,"福井","Fukui"
2048,835,1213,224407870,104391467,120016403,19,"2018-12-01",2018,"山梨","Yamanashi"
5730,2287,3443,611897313,278945512,332951801,20,"2018-12-01",2018,"長野","Nagano"
5263,2124,3139,537083176,247480379,289602797,21,"2018-12-01",2018,"岐阜","Gifu"
9577,3966,5611,1034017011,477674179,556342832,22,"2018-12-01",2018,"静岡","Shizuoka"
18956,7685,11271,2148492560,981729585,1166762975,23,"2018-12-01",2018,"愛知","Aichi"
5520,2173,3347,603281818,273008454,330273364,24,"2018-12-01",2018,"三重","Mie"
4103,1601,2502,442744105,202955012,239789093,25,"2018-12-01",2018,"滋賀","Shiga"
7695,3026,4669,850937819,381112031,469825788,26,"2018-12-01",2018,"京都","Kyoto"
25304,9923,15381,2868597566,1258953069,1609644497,27,"2018-12-01",2018,"大阪","Osaka"
17381,6865,10516,1916336591,869348816,1046987775,28,"2018-12-01",2018,"兵庫","Hyogo"
3486,1442,2044,387870490,183512602,204357888,29,"2018-12-01",2018,"奈良","Nara"
2717,1054,1663,271428510,125204373,146224137,30,"2018-12-01",2018,"和歌山","Wakayama"
1825,781,1044,179318347,87145150,92173197,31,"2018-12-01",2018,"鳥取","Tottori"
1937,757,1180,195252388,84408560,110843828,32,"2018-12-01",2018,"島根","Shimane"
6820,2705,4115,702272010,314881759,387390251,33,"2018-12-01",2018,"岡山","Okayama"
10214,3895,6319,1055987224,462781711,593205513,34,"2018-12-01",2018,"広島","Hiroshima"
3700,1400,2300,381881847,165560827,216321020,35,"2018-12-01",2018,"山口","Yamaguchi"
2197,930,1267,231899412,109187293,122712119,36,"2018-12-01",2018,"徳島","Tokushima"
2898,1146,1752,301487625,134712208,166775417,37,"2018-12-01",2018,"香川","Kagawa"
4291,1625,2666,430644413,190217755,240426658,38,"2018-12-01",2018,"愛媛","Ehime"
2613,1047,1566,270727387,122292382,148435005,39,"2018-12-01",2018,"高知","Kochi"
18426,6733,11693,2068688204,876480085,1192208119,40,"2018-12-01",2018,"福岡","Fukuoka"
2756,1004,1752,278398802,118154538,160244264,41,"2018-12-01",2018,"佐賀","Saga"
4644,1719,2925,464008335,204045557,259962778,42,"2018-12-01",2018,"長崎","Nagasaki"
6017,2343,3674,598043022,267624560,330418462,43,"2018-12-01",2018,"熊本","Kumamoto"
4064,1482,2582,409897292,176025073,233872219,44,"2018-12-01",2018,"大分","Oita"
3774,1414,2360,380670594,166523726,214146868,45,"2018-12-01",2018,"宮崎","Miyazaki"
5996,2160,3836,586518051,249855711,336662340,46,"2018-12-01",2018,"鹿児島","Kagoshima"
4520,1902,2618,521910377,247236703,274673674,47,"2018-12-01",2018,"沖縄","Okinawa"
361170,146881,214289,49772470232,23060286384,26712183848,99,"2019-01-01",2019,"全国","zenkoku"
18041,6693,11348,2301851256,985273049,1316578207,1,"2019-01-01",2019,"北海道","Hokkaido"
4622,1846,2776,561516407,263973450,297542957,2,"2019-01-01",2019,"青森","Aomori"
4025,1688,2337,490092149,236040906,254051243,3,"2019-01-01",2019,"岩手","Iwate"
6816,2677,4139,885694876,405388037,480306839,4,"2019-01-01",2019,"宮城","Miyagi"
3017,1237,1780,363388210,169639698,193748512,5,"2019-01-01",2019,"秋田","Akita"
2968,1177,1791,391074525,176180015,214894510,6,"2019-01-01",2019,"山形","Yamagata"
5366,2235,3131,700355211,331118372,369236839,7,"2019-01-01",2019,"福島","Fukushima"
6747,2843,3904,980850506,474404059,506446447,8,"2019-01-01",2019,"茨城","Ibaraki"
4889,2193,2696,665423124,335989867,329433257,9,"2019-01-01",2019,"栃木","Tochigi"
4546,2000,2546,629867040,318917084,310949956,10,"2019-01-01",2019,"群馬","Gunma"
18706,8242,10464,2742520973,1361444294,1381076679,11,"2019-01-01",2019,"埼玉","Saitama"
14673,6325,8348,2142751956,1035768919,1106983037,12,"2019-01-01",2019,"千葉","Chiba"
35368,14895,20473,5783470122,2672993547,3110476575,13,"2019-01-01",2019,"東京","Tokyo"
22198,9877,12321,3457667495,1734743968,1722923527,14,"2019-01-01",2019,"神奈川","Kanagawa"
5977,2376,3601,774714259,348491595,426222664,15,"2019-01-01",2019,"新潟","Niigata"
2483,972,1511,333632624,146151761,187480863,16,"2019-01-01",2019,"富山","Toyama"
3118,1191,1927,415616263,182716492,232899771,17,"2019-01-01",2019,"石川","Ishikawa"
2070,773,1297,239991884,103671962,136319922,18,"2019-01-01",2019,"福井","Fukui"
2102,863,1239,277167689,127520548,149647141,19,"2019-01-01",2019,"山梨","Yamanashi"
5972,2411,3561,781875109,355685981,426189128,20,"2019-01-01",2019,"長野","Nagano"
5218,2147,3071,704042142,329472493,374569649,21,"2019-01-01",2019,"岐阜","Gifu"
9922,4147,5775,1355277853,639086734,716191119,22,"2019-01-01",2019,"静岡","Shizuoka"
18992,7760,11232,2758907270,1283516436,1475390834,23,"2019-01-01",2019,"愛知","Aichi"
5615,2346,3269,740849116,354750875,386098241,24,"2019-01-01",2019,"三重","Mie"
4310,1676,2634,566093785,259465397,306628388,25,"2019-01-01",2019,"滋賀","Shiga"
7814,3129,4685,1076660996,493314880,583346116,26,"2019-01-01",2019,"京都","Kyoto"
25139,10020,15119,3558785652,1604921074,1953864578,27,"2019-01-01",2019,"大阪","Osaka"
17212,6821,10391,2381325405,1083192019,1298133386,28,"2019-01-01",2019,"兵庫","Hyogo"
3406,1410,1996,453485754,213915622,239570132,29,"2019-01-01",2019,"奈良","Nara"
2896,1122,1774,353656179,163248965,190407214,30,"2019-01-01",2019,"和歌山","Wakayama"
1865,821,1044,227755601,114266762,113488839,31,"2019-01-01",2019,"鳥取","Tottori"
1967,809,1158,237970664,108342180,129628484,32,"2019-01-01",2019,"島根","Shimane"
6663,2692,3971,832777132,380051457,452725675,33,"2019-01-01",2019,"岡山","Okayama"
10006,3948,6058,1345969616,601595952,744373664,34,"2019-01-01",2019,"広島","Hiroshima"
3737,1423,2314,500616852,223086806,277530046,35,"2019-01-01",2019,"山口","Yamaguchi"
2256,972,1284,299544277,142387914,157156363,36,"2019-01-01",2019,"徳島","Tokushima"
3000,1212,1788,381152449,175499513,205652936,37,"2019-01-01",2019,"香川","Kagawa"
4444,1698,2746,566764235,249663237,317100998,38,"2019-01-01",2019,"愛媛","Ehime"
2621,1090,1531,326812698,152296884,174515814,39,"2019-01-01",2019,"高知","Kochi"
17946,6732,11214,2290801551,999526134,1291275417,40,"2019-01-01",2019,"福岡","Fukuoka"
2896,1041,1855,349343864,146744843,202599021,41,"2019-01-01",2019,"佐賀","Saga"
4889,1815,3074,582562015,250201294,332360721,42,"2019-01-01",2019,"長崎","Nagasaki"
6424,2576,3848,792957756,369528805,423428951,43,"2019-01-01",2019,"熊本","Kumamoto"
4163,1537,2626,493658941,212538962,281119979,44,"2019-01-01",2019,"大分","Oita"
3839,1449,2390,458280306,198604826,259675480,45,"2019-01-01",2019,"宮崎","Miyazaki"
5989,2194,3795,716291281,307185839,409105442,46,"2019-01-01",2019,"鹿児島","Kagoshima"
4237,1780,2457,500605164,237766877,262838287,47,"2019-01-01",2019,"沖縄","Okinawa"
345754,142618,203136,39567620100,18554870010,21012750090,99,"2019-02-01",2019,"全国","zenkoku"
17445,6583,10862,1850255802,813056097,1037199705,1,"2019-02-01",2019,"北海道","Hokkaido"
4406,1789,2617,448762953,215281484,233481469,2,"2019-02-01",2019,"青森","Aomori"
3720,1601,2119,382262135,187733108,194529027,3,"2019-02-01",2019,"岩手","Iwate"
6439,2608,3831,707281944,330078098,377203846,4,"2019-02-01",2019,"宮城","Miyagi"
2776,1204,1572,280833293,139331044,141502249,5,"2019-02-01",2019,"秋田","Akita"
2928,1211,1717,323668533,149314307,174354226,6,"2019-02-01",2019,"山形","Yamagata"
5023,2152,2871,563395883,269856080,293539803,7,"2019-02-01",2019,"福島","Fukushima"
6573,2826,3747,756913330,376792806,380120524,8,"2019-02-01",2019,"茨城","Ibaraki"
4803,2177,2626,551393679,282191052,269202627,9,"2019-02-01",2019,"栃木","Tochigi"
4288,1890,2398,486414536,243104783,243309753,10,"2019-02-01",2019,"群馬","Gunma"
17936,7944,9992,2172219144,1079688208,1092530936,11,"2019-02-01",2019,"埼玉","Saitama"
14308,6379,7929,1790010115,888073899,901936216,12,"2019-02-01",2019,"千葉","Chiba"
34016,14397,19619,4420848944,2050718285,2370130659,13,"2019-02-01",2019,"東京","Tokyo"
22349,10125,12224,2854007937,1440376308,1413631629,14,"2019-02-01",2019,"神奈川","Kanagawa"
5900,2366,3534,637034239,290717469,346316770,15,"2019-02-01",2019,"新潟","Niigata"
2401,955,1446,270951299,122301583,148649716,16,"2019-02-01",2019,"富山","Toyama"
2999,1146,1853,331529966,145176986,186352980,17,"2019-02-01",2019,"石川","Ishikawa"
1959,727,1232,205502254,88795173,116707081,18,"2019-02-01",2019,"福井","Fukui"
2023,867,1156,228788350,111863843,116924507,19,"2019-02-01",2019,"山梨","Yamanashi"
5859,2412,3447,638748262,296100437,342647825,20,"2019-02-01",2019,"長野","Nagano"
4878,2009,2869,525175054,249479084,275695970,21,"2019-02-01",2019,"岐阜","Gifu"
9522,4124,5398,1071329027,518746540,552582487,22,"2019-02-01",2019,"静岡","Shizuoka"
18112,7479,10633,2154853297,1006981619,1147871678,23,"2019-02-01",2019,"愛知","Aichi"
