...1,...2,...3,被保護世帯数,...5,...6,被保護実人員,...8,...9,保護開始,保護廃止,year_month
NA,鳥取市,NA,2251,2222,29,3119,3066,53,14,23,2018-08-01
NA,松江市,NA,2100,2092,8,2740,2721,19,17,24,2018-08-01
NA,倉敷市,NA,5288,5273,15,7235,7215,20,51,62,2018-08-01
NA,福山市,NA,4849,4840,9,6372,6362,10,38,43,2018-08-01
NA,呉市,NA,2864,2833,31,3602,3565,37,19,33,2018-08-01
NA,下関市,NA,3381,3363,18,4196,4169,27,25,25,2018-08-01
NA,高松市,NA,4880,4840,40,6185,6133,52,58,56,2018-08-01
NA,松山市,NA,9828,9818,10,12029,12016,13,51,90,2018-08-01
NA,高知市,NA,9196,9127,69,11864,11780,84,55,79,2018-08-01
NA,久留米市,NA,5173,5162,11,6687,6675,12,24,33,2018-08-01
NA,長崎市,NA,9496,9436,60,12589,12521,68,62,79,2018-08-01
NA,佐世保市,NA,4129,4116,13,5315,5301,14,33,39,2018-08-01
NA,大分市,NA,6932,6880,52,8567,8491,76,69,56,2018-08-01
NA,宮崎市,NA,6886,6865,21,8729,8708,21,58,67,2018-08-01
NA,鹿児島市,NA,11685,11551,134,15180,14989,191,88,79,2018-08-01
NA,那覇市,NA,9793,9779,14,12688,12673,15,77,76,2018-08-01
