都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,398911,155827,243084,48887846712,21788068707,27099778005,2018-07-01
北　海　道,20705,7044,13661,2380923101,946196356,1434726745,2018-07-01
青　　　森,5272,2067,3205,550806356,255609929,295196427,2018-07-01
岩　　　手,4363,1694,2669,473409914,209433569,263976345,2018-07-01
宮　　　城,7779,2965,4814,943523989,416586701,526937288,2018-07-01
秋　　　田,3599,1452,2147,390112020,179762442,210349578,2018-07-01
山　　　形,3541,1306,2235,403724079,168118525,235605554,2018-07-01
福　　　島,6630,2852,3778,803688246,389994079,413694167,2018-07-01
茨　　　城,7575,3116,4459,953997298,452764431,501232867,2018-07-01
栃　　　木,5545,2375,3170,673802031,327392311,346409720,2018-07-01
群　　　馬,4968,2148,2820,615468200,303163386,312304814,2018-07-01
埼　　　玉,19910,8505,11405,2515420378,1220111139,1295309239,2018-07-01
千　　　葉,16105,6797,9308,2202958692,1041649179,1161309513,2018-07-01
東　　　京,37029,15128,21901,5251423381,2356361138,2895062243,2018-07-01
神　奈　川,23994,10389,13605,3276084341,1589244463,1686839878,2018-07-01
新　　　潟,7007,2729,4278,814495805,359651385,454844420,2018-07-01
富　　　山,2798,1048,1750,327086546,143116660,183969886,2018-07-01
石　　　川,3715,1337,2378,439635001,182238909,257396092,2018-07-01
福　　　井,2312,800,1512,258747687,101278098,157469589,2018-07-01
山　　　梨,2244,930,1314,270857649,130017021,140840628,2018-07-01
長　　　野,6714,2555,4159,771263171,333054909,438208262,2018-07-01
岐　　　阜,5427,2107,3320,635022222,283732118,351290104,2018-07-01
静　　　岡,10978,4373,6605,1299344706,583981309,715363397,2018-07-01
愛　　　知,20960,8345,12615,2672094483,1187275387,1484819096,2018-07-01
三　　　重,6262,2462,3800,741826781,333601405,408225376,2018-07-01
滋　　　賀,4705,1759,2946,545172073,232486103,312685970,2018-07-01
京　　　都,8482,3126,5356,1058068165,442114991,615953174,2018-07-01
大　　　阪,27767,10847,16920,3518043012,1567412639,1950630373,2018-07-01
兵　　　庫,19164,7241,11923,2350224882,1019250509,1330974373,2018-07-01
奈　　　良,3989,1651,2338,497870469,236379456,261491013,2018-07-01
和　歌　山,3141,1222,1919,339210727,155542818,183667909,2018-07-01
鳥　　　取,2130,858,1272,219545151,100854525,118690626,2018-07-01
島　　　根,2370,918,1452,247939135,107069624,140869511,2018-07-01
岡　　　山,6424,2528,3896,720127482,326555987,393571495,2018-07-01
広　　　島,9889,3540,6349,1165461595,477048636,688412959,2018-07-01
山　　　口,4391,1532,2859,521678225,211008267,310669958,2018-07-01
徳　　　島,2604,1054,1550,307211164,136406261,170804903,2018-07-01
香　　　川,3361,1279,2082,379186676,169200352,209986324,2018-07-01
愛　　　媛,4751,1830,2921,550136889,242109257,308027632,2018-07-01
高　　　知,3161,1269,1892,349970628,155745881,194224747,2018-07-01
福　　　岡,20865,7376,13489,2539967871,1040643497,1499324374,2018-07-01
佐　　　賀,3352,1177,2175,366133482,148547693,217585789,2018-07-01
長　　　崎,5336,1866,3470,549996304,228178283,321818021,2018-07-01
熊　　　本,6637,2437,4200,705717744,306243491,399474253,2018-07-01
大　　　分,4805,1736,3069,520002766,217944401,302058365,2018-07-01
宮　　　崎,4553,1697,2856,492921183,218208931,274712252,2018-07-01
鹿　児　島,6743,2435,4308,713339833,303905047,409434786,2018-07-01
沖　　　縄,4859,1925,2934,564205179,250877209,313327970,2018-07-01
