都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,347674,145264,202410,41921592444,19861255818,22060336626,2019-04-01
北　海　道,17790,6789,11001,1980932845,877142494,1103790351,2019-04-01
青　　　森,4548,1891,2657,473914266,234482731,239431535,2019-04-01
岩　　　手,3816,1596,2220,380301653,187992470,192309183,2019-04-01
宮　　　城,6447,2647,3800,762404910,360091544,402313366,2019-04-01
秋　　　田,2986,1287,1699,293465293,145767339,147697954,2019-04-01
山　　　形,3164,1312,1852,334994298,156708047,178286251,2019-04-01
福　　　島,5220,2263,2957,612132389,300048336,312084053,2019-04-01
茨　　　城,6468,2905,3563,784397410,400561395,383836015,2019-04-01
栃　　　木,5121,2382,2739,632965936,327320630,305645306,2019-04-01
群　　　馬,4324,1953,2371,525778215,267745690,258032525,2019-04-01
埼　　　玉,17440,8003,9437,2185604938,1120907912,1064697026,2019-04-01
千　　　葉,14014,6321,7693,1921643881,974457358,947186523,2019-04-01
東　　　京,33594,14327,19267,4788008865,2221203904,2566804961,2019-04-01
神　奈　川,21777,9991,11786,3125052267,1592042963,1533009304,2019-04-01
新　　　潟,6410,2617,3793,711516648,329413102,382103546,2019-04-01
富　　　山,2477,1028,1449,279956048,129805121,150150927,2019-04-01
石　　　川,3241,1247,1994,366525686,160637460,205888226,2019-04-01
福　　　井,2031,783,1248,218159775,98065435,120094340,2019-04-01
山　　　梨,1996,893,1103,234530835,118015091,116515744,2019-04-01
長　　　野,5782,2376,3406,635329831,295691736,339638095,2019-04-01
岐　　　阜,5007,2136,2871,557711567,270659395,287052172,2019-04-01
静　　　岡,9725,4302,5423,1126061504,558282671,567778833,2019-04-01
愛　　　知,17480,7279,10201,2049456514,948685652,1100770862,2019-04-01
三　　　重,5351,2322,3029,628530887,307163851,321367036,2019-04-01
滋　　　賀,4113,1640,2473,455763339,205620087,250143252,2019-04-01
京　　　都,7199,2875,4324,870555322,399578164,470977158,2019-04-01
大　　　阪,24320,10047,14273,3110633939,1449347330,1661286609,2019-04-01
兵　　　庫,16172,6574,9598,1972697044,913576526,1059120518,2019-04-01
奈　　　良,3206,1392,1814,398818162,196126423,202691739,2019-04-01
和　歌　山,2683,1063,1620,291492182,135547593,155944589,2019-04-01
鳥　　　取,1881,782,1099,190356382,89043006,101313376,2019-04-01
島　　　根,1980,824,1156,193813309,94108897,99704412,2019-04-01
岡　　　山,6155,2557,3598,651818146,304106072,347712074,2019-04-01
広　　　島,9849,3861,5988,1123088861,503076080,620012781,2019-04-01
山　　　口,3600,1316,2284,407910463,171916753,235993710,2019-04-01
徳　　　島,2111,897,1214,231216621,111046963,120169658,2019-04-01
香　　　川,2824,1165,1659,293275112,138526161,154748951,2019-04-01
愛　　　媛,4150,1626,2524,465622402,213620081,252002321,2019-04-01
高　　　知,2707,1143,1564,259200138,122599595,136600543,2019-04-01
福　　　岡,17772,6838,10934,2131182797,946595919,1184586878,2019-04-01
佐　　　賀,2616,928,1688,259756223,108433732,151322491,2019-04-01
長　　　崎,4656,1758,2898,481951741,209267826,272683915,2019-04-01
熊　　　本,6191,2531,3660,664762511,315520302,349242209,2019-04-01
大　　　分,3861,1456,2405,406202410,179522841,226679569,2019-04-01
宮　　　崎,3579,1358,2221,365381586,160099559,205282027,2019-04-01
鹿　児　島,5756,2187,3569,599826892,269069379,330757513,2019-04-01
沖　　　縄,4084,1796,2288,486890401,242014202,244876199,2019-04-01
