都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,430497,165079,265418,54722736034,24238103338,30484632696,2017-08-01
北　海　道,21802,7256,14546,2556477868,1004734760,1551743108,2017-08-01
青　　　森,5805,2225,3580,682692699,310279409,372413290,2017-08-01
岩　　　手,4670,1829,2841,565929904,252985082,312944822,2017-08-01
宮　　　城,8401,3150,5251,1024687616,454670190,570017426,2017-08-01
秋　　　田,3910,1568,2342,443324203,203974583,239349620,2017-08-01
山　　　形,3735,1454,2281,466283612,211276711,255006901,2017-08-01
福　　　島,7225,3157,4068,935566615,470583895,464982720,2017-08-01
茨　　　城,8412,3401,5011,1127720264,535743724,591976540,2017-08-01
栃　　　木,6213,2630,3583,796852868,388718859,408134009,2017-08-01
群　　　馬,5630,2266,3364,720989750,339436346,381553404,2017-08-01
埼　　　玉,20791,8831,11960,2859932505,1401035169,1458897336,2017-08-01
千　　　葉,17269,7029,10240,2397704915,1127993084,1269711831,2017-08-01
東　　　京,39719,15794,23925,5652190931,2484859132,3167331799,2017-08-01
神　奈　川,26814,11257,15557,3681897393,1775736486,1906160907,2017-08-01
新　　　潟,7657,2875,4782,894150594,381498896,512651698,2017-08-01
富　　　山,3143,1151,1992,390784673,162545760,228238913,2017-08-01
石　　　川,3883,1368,2515,478716597,191513840,287202757,2017-08-01
福　　　井,2332,834,1498,286469870,119015927,167453943,2017-08-01
山　　　梨,2464,954,1510,305378892,135563438,169815454,2017-08-01
長　　　野,7007,2697,4310,857259615,377062670,480196945,2017-08-01
岐　　　阜,6023,2307,3716,743367437,332409280,410958157,2017-08-01
静　　　岡,11847,4788,7059,1477869075,684144908,793724167,2017-08-01
愛　　　知,22010,8390,13620,2921715967,1273069959,1648646008,2017-08-01
三　　　重,6541,2495,4046,805383508,349928642,455454866,2017-08-01
滋　　　賀,5148,1935,3213,662513046,288048861,374464185,2017-08-01
京　　　都,9129,3341,5788,1152621956,493193845,659428111,2017-08-01
大　　　阪,31160,11595,19565,3943177145,1682304368,2260872777,2017-08-01
兵　　　庫,20274,7509,12765,2622396200,1135100465,1487295735,2017-08-01
奈　　　良,4601,1887,2714,563393044,269788883,293604161,2017-08-01
和　歌　山,3389,1326,2063,396298893,178659733,217639160,2017-08-01
鳥　　　取,2293,896,1397,260466270,116897159,143569111,2017-08-01
島　　　根,2475,987,1488,292939674,132671613,160268061,2017-08-01
岡　　　山,6930,2676,4254,827944632,366736735,461207897,2017-08-01
広　　　島,10552,3724,6828,1312103096,539931272,772171824,2017-08-01
山　　　口,4482,1606,2876,553842947,235474274,318368673,2017-08-01
徳　　　島,2813,1177,1636,340505891,161469441,179036450,2017-08-01
香　　　川,3579,1359,2220,415898412,182483210,233415202,2017-08-01
愛　　　媛,5069,1920,3149,599134365,267716066,331418299,2017-08-01
高　　　知,3209,1193,2016,369170617,157692491,211478126,2017-08-01
福　　　岡,21993,7639,14354,2707417781,1103161120,1604256661,2017-08-01
佐　　　賀,3470,1199,2271,397672109,161790609,235881500,2017-08-01
長　　　崎,5801,2075,3726,658980838,270138255,388842583,2017-08-01
熊　　　本,8245,3038,5207,1012022367,429825206,582197161,2017-08-01
大　　　分,5071,1787,3284,566295639,231885349,334410290,2017-08-01
宮　　　崎,4914,1775,3139,563972233,240241170,323731063,2017-08-01
鹿　児　島,7195,2558,4637,811096402,342293620,468802782,2017-08-01
沖　　　縄,5402,2171,3231,619525106,281818843,337706263,2017-08-01
