都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,379843,150501,229342,46767855033,21069788016,25698067017,2018-11-01
北　海　道,18582,6543,12039,2116527755,863540974,1252986781,2018-11-01
青　　　森,4770,1853,2917,524248765,238641072,285607693,2018-11-01
岩　　　手,3908,1614,2294,446959681,210215758,236743923,2018-11-01
宮　　　城,7302,2856,4446,856296752,381310343,474986409,2018-11-01
秋　　　田,3162,1302,1860,348493813,163686733,184807080,2018-11-01
山　　　形,3119,1251,1868,375729556,167079875,208649681,2018-11-01
福　　　島,5486,2257,3229,644276245,299161742,345114503,2018-11-01
茨　　　城,7086,2941,4145,886402201,423908902,462493299,2018-11-01
栃　　　木,5117,2218,2899,629790604,304663416,325127188,2018-11-01
群　　　馬,4728,1978,2750,564246594,271495528,292751066,2018-11-01
埼　　　玉,19033,8046,10987,2467014761,1178524339,1288490422,2018-11-01
千　　　葉,15586,6647,8939,2080672787,992596826,1088075961,2018-11-01
東　　　京,36801,15294,21507,5134815060,2338841018,2795974042,2018-11-01
神　奈　川,23931,10330,13601,3321815437,1620075931,1701739506,2018-11-01
新　　　潟,6387,2451,3936,732398818,321026262,411372556,2018-11-01
富　　　山,2654,1025,1629,323296021,139811839,183484182,2018-11-01
石　　　川,3237,1188,2049,390000609,165772954,224227655,2018-11-01
福　　　井,2103,762,1341,236939186,97569147,139370039,2018-11-01
山　　　梨,2207,878,1329,276050566,127221737,148828829,2018-11-01
長　　　野,6102,2434,3668,717077479,322359953,394717526,2018-11-01
岐　　　阜,5692,2254,3438,649796851,294227026,355569825,2018-11-01
静　　　岡,10198,4119,6079,1231513076,562720810,668792266,2018-11-01
愛　　　知,20111,8072,12039,2584470743,1166256103,1418214640,2018-11-01
三　　　重,5951,2325,3626,700219392,308220410,391998982,2018-11-01
滋　　　賀,4325,1698,2627,530649788,239375850,291273938,2018-11-01
京　　　都,8179,3136,5043,1006105458,442077683,564027775,2018-11-01
大　　　阪,27494,10597,16897,3487499232,1510976455,1976522777,2018-11-01
兵　　　庫,18662,7232,11430,2301830205,1027900376,1273929829,2018-11-01
奈　　　良,3737,1516,2221,459370049,213381571,245988478,2018-11-01
和　歌　山,2879,1129,1750,317991548,145878076,172113472,2018-11-01
鳥　　　取,1963,825,1138,213572706,101528682,112044024,2018-11-01
島　　　根,2063,845,1218,233570856,105637913,127932943,2018-11-01
岡　　　山,7308,2861,4447,840050703,366555415,473495288,2018-11-01
広　　　島,10894,4094,6800,1271345289,544745840,726599449,2018-11-01
山　　　口,3949,1412,2537,462676084,194240771,268435313,2018-11-01
徳　　　島,2361,992,1369,273835585,133754905,140080680,2018-11-01
香　　　川,3071,1198,1873,344633222,151220713,193412509,2018-11-01
愛　　　媛,4615,1758,2857,531282785,236301313,294981472,2018-11-01
高　　　知,2699,1097,1602,300133867,139117505,161016362,2018-11-01
福　　　岡,19195,7008,12187,2266390818,955064265,1311326553,2018-11-01
佐　　　賀,3016,1086,1930,339673028,141953657,197719371,2018-11-01
長　　　崎,4914,1810,3104,542260819,234593088,307667731,2018-11-01
熊　　　本,6217,2405,3812,705443977,312433352,393010625,2018-11-01
大　　　分,4264,1546,2718,465345564,196323550,269022014,2018-11-01
宮　　　崎,4024,1489,2535,437823224,191001817,246821407,2018-11-01
鹿　児　島,6206,2228,3978,675042679,283539049,391503630,2018-11-01
沖　　　縄,4555,1901,2654,522274795,243257472,279017323,2018-11-01
