都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,356271,144109,212162,46920896073,21660119334,25260776739,2018-01-01
北　海　道,18187,6629,11558,2267990623,949793977,1318196646,2018-01-01
青　　　森,4656,1917,2739,546347380,267189117,279158263,2018-01-01
岩　　　手,4064,1653,2411,479398306,227435230,251963076,2018-01-01
宮　　　城,6947,2805,4142,873133029,409065363,464067666,2018-01-01
秋　　　田,3027,1288,1739,351972788,175149485,176823303,2018-01-01
山　　　形,2893,1127,1766,361130846,164076793,197054053,2018-01-01
福　　　島,5743,2502,3241,763776045,376540950,387235095,2018-01-01
茨　　　城,6849,2845,4004,921225459,438331464,482893995,2018-01-01
栃　　　木,5032,2174,2858,664713957,329680361,335033596,2018-01-01
群　　　馬,4547,1976,2571,617747163,303969804,313777359,2018-01-01
埼　　　玉,18306,7995,10311,2553972720,1270690284,1283282436,2018-01-01
千　　　葉,14475,6238,8237,2009950763,982756788,1027193975,2018-01-01
東　　　京,34307,14397,19910,5378109216,2473182723,2904926493,2018-01-01
神　奈　川,22106,9782,12324,3248669305,1618712550,1629956755,2018-01-01
新　　　潟,6104,2520,3584,771087702,359514334,411573368,2018-01-01
富　　　山,2551,977,1574,324621501,139972411,184649090,2018-01-01
石　　　川,3042,1153,1889,381989010,165357564,216631446,2018-01-01
福　　　井,1965,743,1222,220873783,97838736,123035047,2018-01-01
山　　　梨,2168,879,1289,267834019,119763940,148070079,2018-01-01
長　　　野,5661,2282,3379,701685197,325652496,376032701,2018-01-01
岐　　　阜,5415,2139,3276,695074534,307985437,387089097,2018-01-01
静　　　岡,10153,4207,5946,1303394211,608397824,694996387,2018-01-01
愛　　　知,18261,7357,10904,2520458222,1144403592,1376054630,2018-01-01
三　　　重,5387,2156,3231,677383361,307340756,370042605,2018-01-01
滋　　　賀,4218,1644,2574,539931407,242678061,297253346,2018-01-01
京　　　都,7732,3005,4727,1025298109,453879139,571418970,2018-01-01
大　　　阪,25811,10434,15377,3369306486,1545115820,1824190666,2018-01-01
兵　　　庫,16986,6645,10341,2228173290,1011037227,1217136063,2018-01-01
奈　　　良,3654,1481,2173,485484219,228159100,257325119,2018-01-01
和　歌　山,3029,1233,1796,352288768,162627643,189661125,2018-01-01
鳥　　　取,1777,750,1027,207722240,96623216,111099024,2018-01-01
島　　　根,2042,867,1175,240686269,113149284,127536985,2018-01-01
岡　　　山,5804,2354,3450,704198683,327644308,376554375,2018-01-01
広　　　島,8847,3325,5522,1111088949,487748462,623340487,2018-01-01
山　　　口,3663,1374,2289,473268802,208619161,264649641,2018-01-01
徳　　　島,2242,901,1341,269923322,123257312,146666010,2018-01-01
香　　　川,3146,1265,1881,377603467,171930451,205673016,2018-01-01
愛　　　媛,4113,1638,2475,506605744,232050763,274554981,2018-01-01
高　　　知,2616,1056,1560,299785269,137618956,162166313,2018-01-01
福　　　岡,17655,6548,11107,2221137423,953136964,1268000459,2018-01-01
佐　　　賀,2887,1052,1835,335099429,140908944,194190485,2018-01-01
長　　　崎,4645,1709,2936,528402791,230169351,298233440,2018-01-01
熊　　　本,5786,2272,3514,709047914,322328621,386719293,2018-01-01
大　　　分,4112,1540,2572,465362581,206104790,259257791,2018-01-01
宮　　　崎,3874,1493,2381,448613852,203318008,245295844,2018-01-01
鹿　児　島,5607,2078,3529,635821021,277152688,358668333,2018-01-01
沖　　　縄,4179,1704,2475,483506898,222059086,261447812,2018-01-01
