prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,date
愛知,33090,2501,7554,8266,10258,2021-09-01
愛媛,10156,478,2024,2237,1847,2021-09-01
茨城,13386,645,2461,3094,3593,2021-09-01
岡山,9737,929,2580,1902,3405,2021-09-01
沖縄,17306,1184,5158,3802,3340,2021-09-01
岩手,5754,356,1635,1054,1547,2021-09-01
岐阜,6020,248,1110,1271,952,2021-09-01
宮崎,8394,513,1552,1767,1819,2021-09-01
宮城,11768,1187,3529,2337,4376,2021-09-01
京都,21767,2805,5290,4204,7415,2021-09-01
熊本,11201,727,3009,1363,3071,2021-09-01
群馬,7666,316,1656,1560,1372,2021-09-01
広島,16203,1651,5837,3338,4421,2021-09-01
香川,4370,370,884,1056,1515,2021-09-01
高知,8595,463,1591,1267,2266,2021-09-01
佐賀,3849,152,784,966,582,2021-09-01
埼玉,41506,3326,9907,9166,13045,2021-09-01
三重,7252,533,1747,1556,1552,2021-09-01
山形,3607,172,780,993,1037,2021-09-01
山口,6903,337,1236,1307,1545,2021-09-01
山梨,3500,150,688,531,898,2021-09-01
滋賀,4073,498,1247,1357,1131,2021-09-01
鹿児島,12923,1025,2967,2269,3907,2021-09-01
秋田,6587,271,1180,1108,1695,2021-09-01
新潟,8319,676,2223,1661,3497,2021-09-01
神奈川,64139,5894,17212,12681,21837,2021-09-01
青森,14988,486,2856,2166,2975,2021-09-01
静岡,14421,1054,3141,2938,4551,2021-09-01
石川,3731,124,1022,551,686,2021-09-01
千葉,37678,2931,9095,8456,13050,2021-09-01
全国,908653,71326,209894,195030,248621,2021-09-01
大阪,126971,10516,32046,22339,26381,2021-09-01
大分,9822,417,1915,1369,2092,2021-09-01
長崎,11595,908,2104,2855,3336,2021-09-01
長野,4760,280,1655,1039,1272,2021-09-01
鳥取,2763,205,695,741,870,2021-09-01
島根,2381,181,682,378,763,2021-09-01
東京,126146,8417,26227,32212,37883,2021-09-01
徳島,6172,360,948,1790,1036,2021-09-01
栃木,9053,513,2226,2181,2471,2021-09-01
奈良,8090,782,1809,1843,1664,2021-09-01
富山,2001,72,449,431,487,2021-09-01
福井,2068,85,329,424,538,2021-09-01
福岡,53524,4636,9689,10791,15265,2021-09-01
福島,7870,437,1886,1734,2186,2021-09-01
兵庫,42086,4156,9386,10529,11339,2021-09-01
北海道,66572,6987,14817,16668,16495,2021-09-01
和歌山,7890,372,1076,1482,1358,2021-09-01
