prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,date
愛知,33074,2529,7506,8265,10150,2021-05-01
愛媛,10092,488,1997,2315,1880,2021-05-01
茨城,13361,653,2394,2857,3703,2021-05-01
岡山,9800,931,2555,1892,3361,2021-05-01
沖縄,17130,1183,5175,3710,3267,2021-05-01
岩手,5797,355,1610,1077,1577,2021-05-01
岐阜,6012,258,1107,1244,942,2021-05-01
宮崎,8477,505,1539,1808,1791,2021-05-01
宮城,11726,1180,3482,2321,4286,2021-05-01
京都,21986,2780,5181,4238,7374,2021-05-01
熊本,11170,729,3003,1383,3028,2021-05-01
群馬,7597,309,1618,1531,1415,2021-05-01
広島,16202,1638,5790,3356,4458,2021-05-01
香川,4362,364,847,1075,1497,2021-05-01
高知,8598,484,1576,1306,2271,2021-05-01
佐賀,3919,155,767,974,593,2021-05-01
埼玉,41530,3299,9671,9112,12994,2021-05-01
三重,7314,534,1724,1540,1509,2021-05-01
山形,3611,169,753,976,1038,2021-05-01
山口,6935,338,1224,1296,1533,2021-05-01
山梨,3517,150,675,535,881,2021-05-01
滋賀,4077,489,1221,1320,1130,2021-05-01
鹿児島,12944,995,2990,2251,3860,2021-05-01
秋田,6674,269,1151,1108,1677,2021-05-01
新潟,8390,666,2214,1620,3472,2021-05-01
神奈川,64021,5914,16927,12822,21582,2021-05-01
青森,15108,487,2849,2155,3002,2021-05-01
静岡,14386,1055,3081,2914,4457,2021-05-01
石川,3751,119,1006,550,652,2021-05-01
千葉,37565,2907,8941,8391,12678,2021-05-01
全国,910359,71488,207273,194687,247297,2021-05-01
大阪,127049,10738,31625,22506,26231,2021-05-01
大分,9845,418,1892,1394,2104,2021-05-01
長崎,11590,917,2142,2887,3311,2021-05-01
長野,4813,288,1629,1039,1243,2021-05-01
鳥取,2798,202,687,721,847,2021-05-01
島根,2433,179,671,375,761,2021-05-01
東京,126544,8420,25812,31904,37979,2021-05-01
徳島,6166,346,923,1812,1030,2021-05-01
栃木,9082,511,2188,2153,2450,2021-05-01
奈良,8116,792,1803,1881,1665,2021-05-01
富山,2009,62,449,429,463,2021-05-01
福井,2070,88,325,422,547,2021-05-01
福岡,53572,4602,9574,10811,15214,2021-05-01
福島,7920,433,1868,1734,2195,2021-05-01
兵庫,42325,4182,9319,10477,11227,2021-05-01
北海道,66970,7010,14743,16740,16621,2021-05-01
和歌山,7931,368,1049,1460,1351,2021-05-01
