都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全国計,448514,195262,253252,60455834520,29576935487,30878899033,2021-01-01
北海道,20283,7981,12302,2591696617,1159390162,1432306455,2021-01-01
青森県,5399,2289,3110,637514968,309830628,327684340,2021-01-01
岩手県,4390,1972,2418,486032742,245628395,240404347,2021-01-01
宮城県,8222,3580,4642,1068676981,531568888,537108093,2021-01-01
秋田県,3804,1785,2019,452265904,242043214,210222690,2021-01-01
山形県,3852,1682,2170,460234080,224793944,235440136,2021-01-01
福島県,6396,2831,3565,833374976,414979306,418395670,2021-01-01
茨城県,8199,3941,4258,1138099741,614615725,523484016,2021-01-01
栃木県,6495,3121,3374,865789853,460621416,405168437,2021-01-01
群馬県,6615,3279,3336,869823070,483640573,386182497,2021-01-01
埼玉県,24434,11878,12556,3537821751,1895088333,1642733418,2021-01-01
千葉県,18905,8808,10097,2660471240,1370385650,1290085590,2021-01-01
東京都,48338,21181,27157,7765983572,3673826366,4092157206,2021-01-01
神奈川県,29720,13860,15860,4578967425,2352493939,2226473486,2021-01-01
新潟県,6975,2977,3998,863101021,414545253,448555768,2021-01-01
富山県,3110,1352,1758,385066547,188669325,196397222,2021-01-01
石川県,4104,1624,2480,510415886,229538007,280877879,2021-01-01
福井県,2354,941,1413,269051136,122348988,146702148,2021-01-01
山梨県,2790,1284,1506,368367977,194377882,173990095,2021-01-01
長野県,7501,3321,4180,941717663,465989786,475727877,2021-01-01
岐阜県,6899,3044,3855,832439914,419056286,413383628,2021-01-01
静岡県,13347,6237,7110,1837929023,982233005,855696018,2021-01-01
愛知県,26144,11488,14656,3819538123,1885543389,1933994734,2021-01-01
三重県,6411,2793,3618,784459211,385554382,398904829,2021-01-01
滋賀県,5571,2436,3135,678351092,339260122,339090970,2021-01-01
京都府,9539,3880,5659,1259763543,578219863,681543680,2021-01-01
大阪府,33808,14171,19637,4754940190,2230725272,2524214918,2021-01-01
兵庫県,20309,8600,11709,2761647096,1329281327,1432365769,2021-01-01
奈良県,4218,1819,2399,554214297,271719550,282494747,2021-01-01
和歌山県,3381,1413,1968,389994329,188284650,201709679,2021-01-01
鳥取県,2105,1001,1104,232775809,121651747,111124062,2021-01-01
島根県,2458,1050,1408,268116933,129747964,138368969,2021-01-01
岡山県,6722,2877,3845,742618847,359187411,383431436,2021-01-01
広島県,10215,4213,6002,1270522220,597398645,673123575,2021-01-01
山口県,4291,1677,2614,502488382,227204157,275284225,2021-01-01
徳島県,2661,1061,1600,324880797,146074840,178805957,2021-01-01
香川県,3312,1461,1851,404897657,199373391,205524266,2021-01-01
愛媛県,4553,1861,2692,551076606,256222358,294854248,2021-01-01
高知県,2651,1087,1564,313904281,144440335,169463946,2021-01-01
福岡県,20992,8495,12497,2658703257,1230329695,1428373562,2021-01-01
佐賀県,2910,1153,1757,339896042,155565170,184330872,2021-01-01
長崎県,5309,2136,3173,610840454,282099870,328740584,2021-01-01
熊本県,7313,2997,4316,868718314,407984842,460733472,2021-01-01
大分県,5159,2033,3126,558505987,255838914,302667073,2021-01-01
宮崎県,4235,1668,2567,469343623,216902947,252440676,2021-01-01
鹿児島県,6525,2551,3974,730543290,334312046,396231244,2021-01-01
沖縄県,5590,2373,3217,650252053,308347529,341904524,2021-01-01
