...1,...2,被保護世帯数...3,被保護世帯数...4,被保護世帯数...5,被保護実人員...6,被保護実人員...7,被保護実人員...8,保護開始世帯数,保護廃止世帯数,year_month
全国,全国,1636723,1629239,7484,2049746,2039864,9882,16928,17226,2020-10-01
都道府県,北海道,47379,47295,84,59998,59893,105,367,445,2020-10-01
都道府県,青森県,13555,13528,27,16338,16307,31,123,110,2020-10-01
都道府県,岩手県,6635,6602,33,8197,8155,42,67,98,2020-10-01
都道府県,宮城県,8584,8547,37,11072,11024,48,101,85,2020-10-01
都道府県,秋田県,6722,6694,28,8392,8360,32,53,75,2020-10-01
都道府県,山形県,4779,4738,41,5723,5674,49,51,50,2020-10-01
都道府県,福島県,5402,5379,23,6557,6526,31,73,75,2020-10-01
都道府県,茨城県,18785,18689,96,22944,22822,122,220,184,2020-10-01
都道府県,栃木県,9767,9714,53,11805,11736,69,101,91,2020-10-01
都道府県,群馬県,6210,6172,38,7314,7269,45,66,57,2020-10-01
都道府県,埼玉県,45038,44910,128,57166,57005,161,556,485,2020-10-01
都道府県,千葉県,41567,41382,185,52396,52121,275,493,435,2020-10-01
都道府県,東京都,223925,223017,908,272848,271569,1279,2091,2243,2020-10-01
都道府県,神奈川県,27779,27657,122,35293,35141,152,358,313,2020-10-01
都道府県,新潟県,7070,7013,57,8752,8675,77,84,93,2020-10-01
都道府県,富山県,1414,1377,37,1594,1547,47,24,27,2020-10-01
都道府県,石川県,2581,2546,35,2986,2940,46,32,25,2020-10-01
都道府県,福井県,1387,1363,24,1606,1581,25,23,25,2020-10-01
都道府県,山梨県,3395,3350,45,4165,4106,59,57,37,2020-10-01
都道府県,長野県,6398,6351,47,7752,7696,56,85,92,2020-10-01
都道府県,岐阜県,4488,4435,53,5463,5405,58,61,64,2020-10-01
都道府県,静岡県,12615,12514,101,15304,15173,131,189,156,2020-10-01
都道府県,愛知県,17882,17757,125,22494,22332,162,247,204,2020-10-01
都道府県,三重県,12621,12544,77,15652,15544,108,149,166,2020-10-01
都道府県,滋賀県,5185,5169,16,6991,6971,20,64,57,2020-10-01
都道府県,京都府,9989,9929,60,13642,13551,91,101,114,2020-10-01
都道府県,大阪府,40611,40489,122,52786,52620,166,421,455,2020-10-01
都道府県,兵庫県,13912,13833,79,17926,17818,108,136,136,2020-10-01
都道府県,奈良県,9010,8956,54,11694,11619,75,67,72,2020-10-01
都道府県,和歌山県,4799,4771,28,5757,5721,36,41,51,2020-10-01
都道府県,鳥取県,3181,3166,15,3869,3852,17,37,42,2020-10-01
都道府県,島根県,2369,2363,6,2904,2898,6,26,35,2020-10-01
都道府県,岡山県,3506,3491,15,4237,4218,19,38,51,2020-10-01
都道府県,広島県,5609,5579,30,7214,7172,42,65,63,2020-10-01
都道府県,山口県,8323,8288,35,10110,10070,40,72,76,2020-10-01
都道府県,徳島県,10406,10369,37,12910,12859,51,81,86,2020-10-01
都道府県,香川県,3220,3193,27,4010,3973,37,38,35,2020-10-01
都道府県,愛媛県,7493,7406,87,9009,8891,118,75,70,2020-10-01
都道府県,高知県,5671,5621,50,6934,6863,71,57,59,2020-10-01
都道府県,福岡県,37134,36996,138,49779,49557,222,304,304,2020-10-01
都道府県,佐賀県,6502,6457,45,7726,7674,52,74,80,2020-10-01
都道府県,長崎県,7752,7718,34,9819,9777,42,71,88,2020-10-01
都道府県,熊本県,7499,7457,42,9333,9278,55,101,113,2020-10-01
都道府県,大分県,8955,8870,85,10847,10740,107,81,86,2020-10-01
都道府県,宮崎県,7374,7346,28,9022,8982,40,80,90,2020-10-01
都道府県,鹿児島県,11662,11532,130,14801,14636,165,109,120,2020-10-01
都道府県,沖縄県,19889,19802,87,25085,24944,141,235,194,2020-10-01
指定都市（別掲）,札幌市,55688,55514,174,71418,71211,207,626,598,2020-10-01
指定都市（別掲）,仙台市,14226,14113,113,18372,18226,146,187,156,2020-10-01
指定都市（別掲）,さいたま市,15523,15466,57,19647,19565,82,163,168,2020-10-01
指定都市（別掲）,千葉市,17286,17131,155,21110,20907,203,299,256,2020-10-01
指定都市（別掲）,横浜市,54727,54635,92,69132,69009,123,734,734,2020-10-01
指定都市（別掲）,川崎市,23825,23790,35,29891,29849,42,303,299,2020-10-01
指定都市（別掲）,相模原市,10528,10499,29,13749,13705,44,144,78,2020-10-01
指定都市（別掲）,新潟市,9259,9216,43,11811,11759,52,101,89,2020-10-01
指定都市（別掲）,静岡市,7505,7446,59,9374,9308,66,106,81,2020-10-01
指定都市（別掲）,浜松市,5704,5649,55,7114,7047,67,59,72,2020-10-01
指定都市（別掲）,名古屋市,38568,38306,262,47355,47053,302,543,586,2020-10-01
指定都市（別掲）,京都市,32097,31723,374,41970,41461,509,297,345,2020-10-01
