...1,...2,...3,被保護世帯数,...5,...6,被保護実人員,...8,...9,保護開始,保護廃止,year_month
全国,NA,NA,1635356,1627642,7714,2050043,2039771,10272,14766,16213,2020-08-01
NA,北海道,NA,47494,47406,88,60130,60026,104,293,448,2020-08-01
NA,青森,NA,13546,13510,36,16322,16279,43,85,114,2020-08-01
NA,岩手,NA,6645,6605,40,8227,8169,58,50,64,2020-08-01
NA,宮城,NA,8570,8523,47,11048,10985,63,99,93,2020-08-01
NA,秋田,NA,6749,6718,31,8422,8382,40,43,87,2020-08-01
NA,山形,NA,4779,4731,48,5737,5668,69,52,54,2020-08-01
NA,福島,NA,5382,5352,30,6531,6499,32,45,64,2020-08-01
NA,茨城,NA,18644,18549,95,22796,22671,125,199,170,2020-08-01
NA,栃木,NA,9729,9673,56,11779,11703,76,81,77,2020-08-01
NA,群馬,NA,6186,6156,30,7284,7248,36,58,57,2020-08-01
NA,埼玉,NA,44868,44697,171,57063,56828,235,466,468,2020-08-01
NA,千葉,NA,41360,41182,178,52133,51883,250,449,396,2020-08-01
NA,東京,NA,224176,223231,945,273379,272072,1307,1871,2186,2020-08-01
NA,神奈川,NA,27626,27501,125,35174,35003,171,277,284,2020-08-01
NA,新潟,NA,7042,6982,60,8706,8620,86,66,78,2020-08-01
NA,富山,NA,1410,1380,30,1585,1545,40,16,20,2020-08-01
NA,石川,NA,2558,2519,39,2955,2906,49,20,23,2020-08-01
NA,福井,NA,1371,1351,20,1587,1566,21,11,12,2020-08-01
NA,山梨,NA,3371,3328,43,4146,4083,63,40,33,2020-08-01
NA,長野,NA,6360,6306,54,7710,7638,72,77,79,2020-08-01
NA,岐阜,NA,4470,4417,53,5433,5375,58,56,39,2020-08-01
NA,静岡,NA,12557,12474,83,15224,15104,120,167,133,2020-08-01
NA,愛知,NA,17790,17662,128,22392,22216,176,201,213,2020-08-01
NA,三重,NA,12570,12484,86,15585,15457,128,104,133,2020-08-01
NA,滋賀,NA,5190,5161,29,6992,6947,45,55,68,2020-08-01
NA,京都,NA,10023,9959,64,13722,13623,99,91,112,2020-08-01
NA,大阪,NA,40574,40441,133,52836,52667,169,346,391,2020-08-01
NA,兵庫,NA,13927,13847,80,17961,17852,109,154,138,2020-08-01
NA,奈良,NA,9023,8965,58,11716,11637,79,57,72,2020-08-01
