...1,...2,...3,被保護世帯数,...5,...6,被保護実人員,...8,...9,保護開始,保護廃止,year_month
全国,NA,NA,1636327,1627944,8383,2098790,2087219,11571,16429,16190,2018-06-01
NA,北海道,NA,48850,48760,90,63738,63621,117,341,464,2018-06-01
NA,青森,NA,13674,13653,21,16725,16701,24,101,123,2018-06-01
NA,岩手,NA,6707,6669,38,8511,8461,50,84,71,2018-06-01
NA,宮城,NA,8169,8124,45,10771,10697,74,97,78,2018-06-01
NA,秋田,NA,7083,7065,18,9097,9070,27,68,58,2018-06-01
NA,山形,NA,6376,6326,50,7794,7728,66,79,76,2018-06-01
NA,福島,NA,5428,5372,56,6663,6601,62,74,48,2018-06-01
NA,茨城,NA,22050,21930,120,27782,27618,164,255,217,2018-06-01
NA,栃木,NA,9899,9842,57,12253,12167,86,91,116,2018-06-01
NA,群馬,NA,6274,6229,45,7615,7548,67,62,75,2018-06-01
NA,埼玉,NA,43546,43391,155,56979,56762,217,476,410,2018-06-01
NA,千葉,NA,39841,39658,183,51310,51045,265,518,402,2018-06-01
NA,東京,NA,225025,224001,1024,279386,277907,1479,2167,2195,2018-06-01
NA,神奈川,NA,26619,26483,136,34711,34529,182,313,244,2018-06-01
NA,新潟,NA,7131,7074,57,8987,8909,78,88,93,2018-06-01
NA,富山,NA,1453,1424,29,1680,1641,39,19,27,2018-06-01
NA,石川,NA,2593,2570,23,3013,2989,24,23,31,2018-06-01
NA,福井,NA,3381,3320,61,4116,4047,69,30,38,2018-06-01
NA,山梨,NA,5688,5600,88,7036,6919,117,52,61,2018-06-01
NA,長野,NA,6373,6299,74,7791,7686,105,72,106,2018-06-01
NA,岐阜,NA,4335,4275,60,5285,5213,72,48,45,2018-06-01
NA,静岡,NA,11964,11876,88,14693,14568,125,134,130,2018-06-01
NA,愛知,NA,17737,17598,139,22889,22684,205,205,191,2018-06-01
NA,三重,NA,12629,12537,92,16019,15903,116,128,134,2018-06-01
NA,滋賀,NA,5139,5103,36,7176,7105,71,61,75,2018-06-01
NA,京都,NA,10241,10164,77,14432,14306,126,89,117,2018-06-01
NA,大阪,NA,50684,50485,199,68320,68045,275,453,445,2018-06-01
NA,兵庫,NA,13806,13704,102,18246,18096,150,152,112,2018-06-01
NA,奈良,NA,9551,9497,54,12806,12723,83,73,82,2018-06-01
NA,和歌山,NA,4907,4866,41,5967,5918,49,37,51,2018-06-01
NA,鳥取,NA,3292,3282,10,4089,4073,16,43,42,2018-06-01
NA,島根,NA,2453,2444,9,3057,3047,10,27,29,2018-06-01
NA,岡山,NA,3828,3796,32,4798,4752,46,42,61,2018-06-01
NA,広島,NA,5825,5783,42,7706,7644,62,60,64,2018-06-01
NA,山口,NA,8751,8708,43,10853,10785,68,54,106,2018-06-01
NA,徳島,NA,10583,10552,31,13492,13449,43,77,89,2018-06-01
NA,香川,NA,3431,3402,29,4364,4326,38,34,40,2018-06-01
NA,愛媛,NA,7631,7563,68,9376,9264,112,85,86,2018-06-01
NA,高知,NA,5818,5757,61,7239,7153,86,52,52,2018-06-01
NA,福岡,NA,38157,38020,137,52377,52148,229,250,325,2018-06-01
NA,佐賀,NA,6446,6404,42,7835,7784,51,63,58,2018-06-01
NA,長崎,NA,8060,8021,39,10501,10444,57,72,71,2018-06-01
NA,熊本,NA,7424,7380,44,9360,9304,56,103,94,2018-06-01
NA,大分,NA,9049,8974,75,11200,11088,112,88,79,2018-06-01
NA,宮崎,NA,7322,7284,38,9095,9047,48,86,79,2018-06-01
NA,鹿児島,NA,11994,11854,140,15469,15266,203,121,124,2018-06-01
NA,沖縄,NA,18841,18759,82,24338,24224,114,219,180,2018-06-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-01
NA,札幌市,NA,54795,54642,153,72309,72119,190,573,561,2018-06-01
NA,仙台市,NA,13562,13488,74,17949,17848,101,171,149,2018-06-01
NA,さいたま市,NA,15338,15256,82,19901,19796,105,167,159,2018-06-01
NA,千葉市,NA,16651,16444,207,20750,20441,309,302,217,2018-06-01
NA,横浜市,NA,53880,53770,110,69977,69821,156,680,640,2018-06-01
NA,川崎市,NA,24114,24068,46,31153,31095,58,309,327,2018-06-01
NA,相模原市,NA,10149,10122,27,13915,13872,43,102,91,2018-06-01
NA,新潟市,NA,9146,9104,42,11937,11886,51,103,82,2018-06-01
NA,静岡市,NA,7166,7088,78,9164,9057,107,85,53,2018-06-01
NA,浜松市,NA,5676,5592,84,7210,7104,106,79,77,2018-06-01
NA,名古屋市,NA,38332,38131,201,47938,47685,253,488,523,2018-06-01
NA,京都市,NA,32648,32260,388,43847,43318,529,306,302,2018-06-01
NA,大阪市,NA,114472,113758,714,139740,138880,860,1249,1257,2018-06-01
NA,堺市,NA,19265,19221,44,25572,25515,57,178,170,2018-06-01
NA,神戸市,NA,34438,34266,172,45964,45710,254,277,286,2018-06-01
NA,岡山市,NA,9995,9955,40,13317,13268,49,109,108,2018-06-01
NA,広島市,NA,18815,18748,67,25013,24919,94,190,208,2018-06-01
NA,北九州市,NA,18419,18346,73,23238,23162,76,153,144,2018-06-01
NA,福岡市,NA,33677,33532,145,43472,43265,207,387,399,2018-06-01
NA,熊本市,NA,11909,11860,49,15389,15327,62,162,146,2018-06-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-01
NA,旭川市,NA,9960,9930,30,12673,12634,39,62,84,2018-06-01
NA,函館市,NA,9376,9358,18,11871,11851,20,88,76,2018-06-01
NA,青森市,NA,6785,6780,5,8532,8527,5,48,50,2018-06-01
NA,八戸市,NA,3614,3596,18,4491,4470,21,25,21,2018-06-01
NA,盛岡市,NA,3754,3731,23,4689,4658,31,25,51,2018-06-01
NA,秋田市,NA,4291,4289,2,5365,5363,2,27,27,2018-06-01
NA,郡山市,NA,2651,2648,3,3297,3294,3,29,30,2018-06-01
NA,いわき市,NA,3274,3252,22,4245,4222,23,34,34,2018-06-01
NA,福島市,NA,2387,2382,5,2936,2931,5,34,31,2018-06-01
NA,宇都宮市,NA,6668,6615,53,8511,8439,72,62,35,2018-06-01
NA,前橋市,NA,3244,3191,53,3922,3845,77,30,19,2018-06-01
NA,高崎市,NA,2907,2893,14,3495,3473,22,37,32,2018-06-01
NA,川越市,NA,3376,3369,7,4415,4407,8,32,34,2018-06-01
NA,越谷市,NA,3132,3121,11,4216,4203,13,36,20,2018-06-01
NA,川口市,NA,8873,8850,23,11543,11511,32,80,66,2018-06-01
NA,船橋市,NA,6982,6936,46,8963,8894,69,67,62,2018-06-01
NA,柏市,NA,3522,3519,3,4580,4576,4,46,42,2018-06-01
NA,八王子市,NA,7455,7445,10,9580,9568,12,51,59,2018-06-01
NA,横須賀市,NA,4014,3979,35,5195,5125,70,16,29,2018-06-01
NA,富山市,NA,1670,1667,3,1902,1899,3,21,18,2018-06-01
NA,金沢市,NA,3605,3578,27,4239,4206,33,28,27,2018-06-01
NA,長野市,NA,2587,2569,18,3288,3267,21,37,26,2018-06-01
NA,岐阜市,NA,5314,5256,58,6512,6431,81,40,45,2018-06-01
NA,豊橋市,NA,1754,1745,9,2110,2101,9,14,19,2018-06-01
NA,豊田市,NA,1726,1713,13,2338,2323,15,12,14,2018-06-01
NA,岡崎市,NA,1558,1545,13,1996,1978,18,22,21,2018-06-01
