...1,...2,...3,被保護世帯数,...5,...6,被保護実人員,...8,...9,保護開始,保護廃止,year_month
全国,NA,NA,1636239,1627387,8852,2094450,2082179,12271,15472,14705,2018-09-01
NA,北海道,NA,48664,48576,88,63378,63261,117,398,343,2018-09-01
NA,青森,NA,13582,13561,21,16583,16554,29,98,89,2018-09-01
NA,岩手,NA,6684,6648,36,8459,8407,52,67,67,2018-09-01
NA,宮城,NA,8231,8180,51,10833,10755,78,102,69,2018-09-01
NA,秋田,NA,7072,7046,26,9022,8992,30,51,54,2018-09-01
NA,山形,NA,6371,6303,68,7781,7690,91,78,65,2018-09-01
NA,福島,NA,5439,5390,49,6655,6594,61,64,60,2018-09-01
NA,茨城,NA,22173,22059,114,27834,27694,140,239,173,2018-09-01
NA,栃木,NA,9838,9766,72,12145,12042,103,86,99,2018-09-01
NA,群馬,NA,6231,6194,37,7524,7468,56,44,60,2018-09-01
NA,埼玉,NA,43775,43605,170,57115,56870,245,478,385,2018-09-01
NA,千葉,NA,40092,39910,182,51483,51233,250,440,363,2018-09-01
NA,東京,NA,224973,223874,1099,278820,277229,1591,2041,1946,2018-09-01
NA,神奈川,NA,26780,26652,128,34804,34630,174,305,269,2018-09-01
NA,新潟,NA,7104,7035,69,8947,8849,98,86,77,2018-09-01
NA,富山,NA,1440,1395,45,1653,1598,55,8,13,2018-09-01
NA,石川,NA,2587,2563,24,3008,2978,30,21,20,2018-09-01
NA,福井,NA,3371,3316,55,4095,4030,65,37,26,2018-09-01
NA,山梨,NA,5689,5595,94,7006,6886,120,59,46,2018-09-01
NA,長野,NA,6347,6284,63,7746,7656,90,74,70,2018-09-01
NA,岐阜,NA,4371,4313,58,5310,5247,63,51,41,2018-09-01
NA,静岡,NA,12027,11929,98,14724,14592,132,144,117,2018-09-01
NA,愛知,NA,17736,17583,153,22829,22599,230,208,201,2018-09-01
NA,三重,NA,12581,12486,95,15938,15812,126,120,128,2018-09-01
NA,滋賀,NA,5140,5092,48,7136,7054,82,39,69,2018-09-01
NA,京都,NA,10179,10094,85,14302,14172,130,82,82,2018-09-01
NA,大阪,NA,50701,50485,216,68133,67820,313,431,497,2018-09-01
NA,兵庫,NA,13851,13739,112,18251,18075,176,149,126,2018-09-01
NA,奈良,NA,9519,9461,58,12733,12640,93,74,99,2018-09-01
NA,和歌山,NA,4919,4875,44,5981,5922,59,46,42,2018-09-01
NA,鳥取,NA,3313,3299,14,4088,4067,21,31,37,2018-09-01
NA,島根,NA,2428,2417,11,3019,3006,13,23,32,2018-09-01
NA,岡山,NA,3803,3766,37,4752,4697,55,41,44,2018-09-01
NA,広島,NA,5806,5764,42,7637,7571,66,63,66,2018-09-01
NA,山口,NA,8667,8619,48,10730,10670,60,65,80,2018-09-01
NA,徳島,NA,10556,10513,43,13438,13382,56,63,71,2018-09-01
NA,香川,NA,3413,3383,30,4339,4296,43,34,48,2018-09-01
NA,愛媛,NA,7614,7546,68,9322,9234,88,58,76,2018-09-01
NA,高知,NA,5817,5775,42,7217,7164,53,54,64,2018-09-01
NA,福岡,NA,38101,37937,164,52273,52012,261,274,315,2018-09-01
NA,佐賀,NA,6440,6396,44,7811,7757,54,68,56,2018-09-01
NA,長崎,NA,8067,8022,45,10509,10448,61,70,68,2018-09-01
NA,熊本,NA,7428,7392,36,9366,9322,44,94,63,2018-09-01
NA,大分,NA,9055,8973,82,11175,11060,115,67,94,2018-09-01
NA,宮崎,NA,7352,7317,35,9122,9078,44,71,63,2018-09-01
NA,鹿児島,NA,11949,11811,138,15403,15210,193,98,128,2018-09-01
NA,沖縄,NA,18964,18882,82,24503,24373,130,176,170,2018-09-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-09-01
NA,札幌市,NA,54852,54675,177,72251,72023,228,553,489,2018-09-01
NA,仙台市,NA,13649,13554,95,18001,17867,134,166,145,2018-09-01
NA,さいたま市,NA,15327,15247,80,19833,19710,123,168,150,2018-09-01
NA,千葉市,NA,16759,16550,209,20906,20591,315,247,196,2018-09-01
NA,横浜市,NA,53867,53740,127,69826,69634,192,574,597,2018-09-01
NA,川崎市,NA,23986,23928,58,30923,30823,100,255,269,2018-09-01
NA,相模原市,NA,10162,10135,27,13897,13858,39,117,105,2018-09-01
NA,新潟市,NA,9159,9113,46,11947,11894,53,98,74,2018-09-01
NA,静岡市,NA,7192,7122,70,9173,9077,96,72,54,2018-09-01
NA,浜松市,NA,5661,5594,67,7183,7099,84,54,65,2018-09-01
NA,名古屋市,NA,38341,38139,202,47832,47565,267,466,467,2018-09-01
NA,京都市,NA,32609,32216,393,43756,43211,545,256,272,2018-09-01
NA,大阪市,NA,114200,113501,699,139262,138397,865,1120,1101,2018-09-01
NA,堺市,NA,19260,19219,41,25468,25412,56,177,156,2018-09-01
NA,神戸市,NA,34393,34206,187,45802,45537,265,283,281,2018-09-01
NA,岡山市,NA,10003,9956,47,13273,13214,59,97,95,2018-09-01
NA,広島市,NA,18702,18631,71,24861,24771,90,175,185,2018-09-01
NA,北九州市,NA,18382,18297,85,23137,23049,88,149,151,2018-09-01
NA,福岡市,NA,33706,33537,169,43465,43233,232,368,333,2018-09-01
NA,熊本市,NA,11926,11877,49,15353,15285,68,162,144,2018-09-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-09-01
NA,旭川市,NA,9907,9866,41,12560,12509,51,78,57,2018-09-01
NA,函館市,NA,9339,9324,15,11802,11786,16,80,73,2018-09-01
NA,青森市,NA,6747,6741,6,8483,8477,6,28,34,2018-09-01
NA,八戸市,NA,3613,3596,17,4483,4458,25,24,27,2018-09-01
NA,盛岡市,NA,3761,3724,37,4679,4628,51,37,35,2018-09-01
NA,秋田市,NA,4306,4297,9,5374,5363,11,32,17,2018-09-01
