...1,...2,...3,被保護世帯数,...5,...6,被保護実人員,...8,...9,保護開始,保護廃止,year_month
全国,NA,NA,1636827,1629260,7567,2053606,2043458,10148,16036,16241,2020-07-01
NA,北海道,NA,47636,47550,86,60393,60291,102,389,435,2020-07-01
NA,青森,NA,13571,13533,38,16370,16324,46,105,110,2020-07-01
NA,岩手,NA,6654,6625,29,8246,8208,38,87,59,2020-07-01
NA,宮城,NA,8555,8508,47,11028,10957,71,114,84,2020-07-01
NA,秋田,NA,6786,6751,35,8477,8432,45,58,80,2020-07-01
NA,山形,NA,4791,4739,52,5761,5686,75,56,64,2020-07-01
NA,福島,NA,5405,5369,36,6557,6519,38,74,68,2020-07-01
NA,茨城,NA,18628,18541,87,22797,22680,117,217,183,2020-07-01
NA,栃木,NA,9732,9679,53,11784,11706,78,105,84,2020-07-01
NA,群馬,NA,6200,6172,28,7302,7272,30,62,72,2020-07-01
NA,埼玉,NA,44817,44644,173,57038,56795,243,492,415,2020-07-01
NA,千葉,NA,41318,41146,172,52148,51921,227,418,407,2020-07-01
NA,東京,NA,224520,223592,928,273963,272683,1280,2094,2215,2020-07-01
NA,神奈川,NA,27656,27521,135,35259,35064,195,320,307,2020-07-01
NA,新潟,NA,7040,6984,56,8718,8632,86,75,64,2020-07-01
NA,富山,NA,1414,1387,27,1592,1558,34,18,20,2020-07-01
NA,石川,NA,2563,2527,36,2961,2917,44,29,25,2020-07-01
NA,福井,NA,1380,1361,19,1601,1577,24,19,20,2020-07-01
NA,山梨,NA,3371,3334,37,4145,4097,48,39,40,2020-07-01
NA,長野,NA,6363,6315,48,7721,7657,64,88,81,2020-07-01
NA,岐阜,NA,4473,4418,55,5436,5372,64,60,59,2020-07-01
NA,静岡,NA,12555,12469,86,15204,15076,128,181,164,2020-07-01
NA,愛知,NA,17804,17675,129,22412,22236,176,258,216,2020-07-01
NA,三重,NA,12597,12515,82,15605,15487,118,156,131,2020-07-01
NA,滋賀,NA,5195,5167,28,7017,6974,43,50,60,2020-07-01
NA,京都,NA,10034,9979,55,13751,13664,87,89,102,2020-07-01
NA,大阪,NA,40632,40496,136,52976,52795,181,380,404,2020-07-01
NA,兵庫,NA,13918,13832,86,17961,17849,112,143,145,2020-07-01
NA,奈良,NA,9043,8979,64,11756,11672,84,48,77,2020-07-01
NA,和歌山,NA,4808,4780,28,5780,5744,36,54,50,2020-07-01
NA,鳥取,NA,3212,3195,17,3905,3884,21,43,45,2020-07-01
NA,島根,NA,2378,2374,4,2917,2913,4,23,29,2020-07-01
NA,岡山,NA,3533,3514,19,4287,4262,25,32,51,2020-07-01
NA,広島,NA,5601,5566,35,7251,7196,55,44,55,2020-07-01
NA,山口,NA,8332,8299,33,10131,10092,39,83,83,2020-07-01
NA,徳島,NA,10397,10354,43,12931,12876,55,83,79,2020-07-01
NA,香川,NA,3242,3218,24,4022,3993,29,23,55,2020-07-01
NA,愛媛,NA,7543,7439,104,9090,8948,142,67,90,2020-07-01
NA,高知,NA,5676,5630,46,6926,6866,60,48,68,2020-07-01
NA,福岡,NA,37142,37012,130,49815,49607,208,266,272,2020-07-01
NA,佐賀,NA,6496,6445,51,7722,7664,58,74,73,2020-07-01
NA,長崎,NA,7781,7745,36,9856,9812,44,66,67,2020-07-01
NA,熊本,NA,7501,7464,37,9343,9298,45,89,95,2020-07-01
NA,大分,NA,9016,8929,87,10958,10840,118,65,94,2020-07-01
NA,宮崎,NA,7379,7355,24,9070,9032,38,81,78,2020-07-01
NA,鹿児島,NA,11702,11562,140,14863,14677,186,92,117,2020-07-01
NA,沖縄,NA,19804,19720,84,25008,24876,132,242,225,2020-07-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01
NA,札幌市,NA,55582,55369,213,71493,71218,275,634,624,2020-07-01
NA,仙台市,NA,14199,14106,93,18360,18234,126,143,142,2020-07-01
NA,さいたま市,NA,15508,15459,49,19681,19613,68,171,157,2020-07-01
NA,千葉市,NA,17168,16987,181,21015,20766,249,247,210,2020-07-01
NA,横浜市,NA,54574,54482,92,69015,68892,123,626,653,2020-07-01
NA,川崎市,NA,23811,23780,31,29984,29941,43,273,275,2020-07-01
NA,相模原市,NA,10459,10428,31,13742,13702,40,115,89,2020-07-01
NA,新潟市,NA,9262,9222,40,11842,11787,55,91,100,2020-07-01
NA,静岡市,NA,7450,7384,66,9334,9243,91,92,74,2020-07-01
NA,浜松市,NA,5686,5638,48,7117,7061,56,71,50,2020-07-01
NA,名古屋市,NA,38633,38410,223,47523,47258,265,541,562,2020-07-01
NA,京都市,NA,32167,31779,388,42124,41583,541,278,318,2020-07-01
NA,大阪市,NA,112923,112441,482,135281,134680,601,1146,1164,2020-07-01
