...1,...2,...3,被保護世帯数,...5,...6,被保護実人員,...8,...9,保護開始,保護廃止,year_month
全国,NA,NA,1640002,1631664,8338,2118848,2107329,11519,14571,17327,2018-01-01
NA,北海道,NA,49167,49110,57,64882,64808,74,367,496,2018-01-01
NA,青森,NA,13723,13707,16,16856,16839,17,119,121,2018-01-01
NA,岩手,NA,6688,6656,32,8533,8485,48,62,80,2018-01-01
NA,宮城,NA,8077,8030,47,10775,10706,69,101,68,2018-01-01
NA,秋田,NA,7160,7142,18,9230,9207,23,79,83,2018-01-01
NA,山形,NA,6318,6265,53,7775,7710,65,72,76,2018-01-01
NA,福島,NA,7765,7705,60,9600,9537,63,68,85,2018-01-01
NA,茨城,NA,21820,21711,109,27685,27536,149,221,265,2018-01-01
NA,栃木,NA,9965,9900,65,12438,12341,97,85,108,2018-01-01
NA,群馬,NA,6255,6213,42,7653,7595,58,65,61,2018-01-01
NA,埼玉,NA,52209,52021,188,68838,68580,258,463,567,2018-01-01
NA,千葉,NA,39498,39306,192,51176,50908,268,362,415,2018-01-01
NA,東京,NA,225490,224477,1013,281516,280045,1471,2053,2296,2018-01-01
NA,神奈川,NA,26589,26465,124,34840,34666,174,272,334,2018-01-01
NA,新潟,NA,7105,7053,52,9006,8929,77,87,81,2018-01-01
NA,富山,NA,1459,1424,35,1697,1650,47,12,22,2018-01-01
NA,石川,NA,2663,2635,28,3106,3076,30,18,33,2018-01-01
NA,福井,NA,3379,3316,63,4155,4081,74,25,38,2018-01-01
NA,山梨,NA,5711,5634,77,7109,7002,107,43,70,2018-01-01
NA,長野,NA,6374,6299,75,7842,7739,103,76,83,2018-01-01
NA,岐阜,NA,4353,4295,58,5356,5282,74,41,57,2018-01-01
NA,静岡,NA,11923,11831,92,14735,14618,117,106,147,2018-01-01
NA,愛知,NA,17790,17653,137,23143,22928,215,183,247,2018-01-01
NA,三重,NA,12673,12588,85,16169,16045,124,117,152,2018-01-01
NA,滋賀,NA,5169,5122,47,7262,7193,69,52,62,2018-01-01
NA,京都,NA,10276,10194,82,14628,14492,136,82,111,2018-01-01
NA,大阪,NA,56602,56395,207,77135,76831,304,452,570,2018-01-01
NA,兵庫,NA,17796,17682,114,23881,23714,167,186,205,2018-01-01
NA,奈良,NA,9574,9509,65,12902,12810,92,72,92,2018-01-01
NA,和歌山,NA,4959,4926,33,6079,6037,42,44,49,2018-01-01
NA,鳥取,NA,5544,5505,39,7257,7190,67,48,68,2018-01-01
NA,島根,NA,4627,4606,21,5899,5868,31,61,54,2018-01-01
NA,岡山,NA,3863,3832,31,4907,4860,47,36,53,2018-01-01
NA,広島,NA,5947,5893,54,7941,7855,86,73,95,2018-01-01
NA,山口,NA,8853,8799,54,11070,11001,69,65,87,2018-01-01
NA,徳島,NA,10671,10635,36,13710,13653,57,50,113,2018-01-01
NA,香川,NA,3450,3429,21,4430,4402,28,33,34,2018-01-01
NA,愛媛,NA,7638,7558,80,9424,9312,112,51,86,2018-01-01
NA,高知,NA,5874,5818,56,7383,7303,80,58,56,2018-01-01
NA,福岡,NA,38537,38371,166,53376,53112,264,234,349,2018-01-01
NA,佐賀,NA,6466,6428,38,7881,7827,54,60,80,2018-01-01
NA,長崎,NA,8034,8004,30,10558,10524,34,51,70,2018-01-01
NA,熊本,NA,7482,7438,44,9485,9419,66,82,112,2018-01-01
NA,大分,NA,9110,9022,88,11291,11182,109,50,103,2018-01-01
NA,宮崎,NA,7383,7349,34,9201,9161,40,64,90,2018-01-01
NA,鹿児島,NA,12077,11940,137,15711,15502,209,82,119,2018-01-01
NA,沖縄,NA,18735,18632,103,24415,24270,145,173,194,2018-01-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-01
NA,札幌市,NA,54832,54735,97,73160,73042,118,500,531,2018-01-01
NA,仙台市,NA,13523,13446,77,18033,17916,117,161,147,2018-01-01
NA,さいたま市,NA,15340,15240,100,20049,19895,154,146,177,2018-01-01
NA,千葉市,NA,16595,16372,223,20822,20503,319,207,230,2018-01-01
NA,横浜市,NA,53962,53851,111,70473,70315,158,643,693,2018-01-01
NA,川崎市,NA,24292,24232,60,31539,31459,80,276,341,2018-01-01
NA,相模原市,NA,10109,10072,37,13968,13905,63,84,98,2018-01-01
NA,新潟市,NA,9123,9079,44,12006,11949,57,98,83,2018-01-01
NA,静岡市,NA,7157,7095,62,9176,9104,72,73,85,2018-01-01
NA,浜松市,NA,5715,5631,84,7313,7191,122,77,70,2018-01-01
NA,名古屋市,NA,38445,38237,208,48432,48180,252,447,541,2018-01-01
NA,京都市,NA,32798,32421,377,44459,43953,506,338,269,2018-01-01
NA,大阪市,NA,115000,114302,698,141331,140458,873,1063,1326,2018-01-01
NA,堺市,NA,19297,19243,54,25820,25745,75,197,202,2018-01-01
NA,神戸市,NA,34633,34466,167,46661,46428,233,254,307,2018-01-01
NA,岡山市,NA,10040,9999,41,13463,13412,51,113,109,2018-01-01
NA,広島市,NA,19018,18949,69,25412,25319,93,145,220,2018-01-01
NA,北九州市,NA,18499,18413,86,23420,23324,96,105,182,2018-01-01
NA,福岡市,NA,33682,33562,120,43763,43607,156,308,388,2018-01-01
NA,熊本市,NA,12061,12008,53,15757,15681,76,93,159,2018-01-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-01
NA,旭川市,NA,10014,9991,23,12868,12835,33,60,56,2018-01-01
