...1,...2,...3,被保護世帯数,...5,...6,被保護実人員,...8,...9,保護開始,保護廃止,year_month
全国,NA,NA,1635280,1627645,7635,2103666,2093340,10326,15842,15518,2018-04-01
NA,北海道,NA,49100,49023,77,64396,64297,99,408,498,2018-04-01
NA,青森,NA,13684,13666,18,16779,16757,22,96,91,2018-04-01
NA,岩手,NA,6691,6667,24,8511,8470,41,80,67,2018-04-01
NA,宮城,NA,8157,8118,39,10814,10760,54,100,89,2018-04-01
NA,秋田,NA,7100,7086,14,9143,9127,16,70,88,2018-04-01
NA,山形,NA,6336,6289,47,7765,7708,57,61,33,2018-04-01
NA,福島,NA,5410,5349,61,6658,6589,69,77,51,2018-04-01
NA,茨城,NA,21887,21791,96,27631,27514,117,270,196,2018-04-01
NA,栃木,NA,9890,9840,50,12291,12220,71,95,97,2018-04-01
NA,群馬,NA,6251,6206,45,7621,7559,62,67,54,2018-04-01
NA,埼玉,NA,43355,43216,139,56884,56703,181,467,355,2018-04-01
NA,千葉,NA,39612,39429,183,51162,50913,249,478,333,2018-04-01
NA,東京,NA,224717,223774,943,279455,278106,1349,2015,1935,2018-04-01
NA,神奈川,NA,26525,26415,110,34621,34473,148,298,262,2018-04-01
NA,新潟,NA,7131,7086,45,9018,8947,71,75,86,2018-04-01
NA,富山,NA,1453,1422,31,1691,1648,43,16,16,2018-04-01
NA,石川,NA,2598,2580,18,3026,3006,20,13,28,2018-04-01
NA,福井,NA,3364,3290,74,4113,4023,90,29,28,2018-04-01
NA,山梨,NA,5672,5588,84,7028,6898,130,44,57,2018-04-01
NA,長野,NA,6383,6321,62,7810,7724,86,64,79,2018-04-01
NA,岐阜,NA,4327,4275,52,5283,5225,58,37,48,2018-04-01
NA,静岡,NA,11924,11847,77,14671,14554,117,142,117,2018-04-01
NA,愛知,NA,17717,17591,126,22944,22761,183,201,210,2018-04-01
NA,三重,NA,12585,12503,82,15956,15850,106,141,119,2018-04-01
NA,滋賀,NA,5132,5099,33,7182,7124,58,51,50,2018-04-01
NA,京都,NA,10262,10184,78,14518,14400,118,112,101,2018-04-01
NA,大阪,NA,50700,50519,181,68627,68373,254,455,448,2018-04-01
NA,兵庫,NA,13767,13670,97,18237,18102,135,120,104,2018-04-01
NA,奈良,NA,9579,9532,47,12870,12801,69,85,73,2018-04-01
NA,和歌山,NA,4935,4899,36,6035,5990,45,41,60,2018-04-01
NA,鳥取,NA,3303,3289,14,4118,4096,22,35,53,2018-04-01
NA,島根,NA,2458,2452,6,3058,3052,6,20,30,2018-04-01
NA,岡山,NA,3835,3802,33,4841,4798,43,34,48,2018-04-01
NA,広島,NA,5857,5816,41,7778,7718,60,50,73,2018-04-01
NA,山口,NA,8790,8752,38,10947,10888,59,82,72,2018-04-01
NA,徳島,NA,10604,10568,36,13569,13511,58,75,93,2018-04-01
NA,香川,NA,3465,3440,25,4413,4381,32,42,45,2018-04-01
