...1,...2,...3,被保護世帯数,...5,...6,被保護実人員,...8,...9,保護開始,保護廃止,year_month
全国,NA,NA,1637825,1629970,7855,2103644,2092965,10679,18061,17934,2018-05-01
NA,北海道,NA,49055,48976,79,64164,64065,99,453,549,2018-05-01
NA,青森,NA,13708,13692,16,16789,16771,18,115,135,2018-05-01
NA,岩手,NA,6700,6671,29,8511,8471,40,77,77,2018-05-01
NA,宮城,NA,8172,8134,38,10814,10761,53,104,100,2018-05-01
NA,秋田,NA,7081,7067,14,9096,9080,16,69,66,2018-05-01
NA,山形,NA,6375,6327,48,7793,7736,57,72,78,2018-05-01
NA,福島,NA,5428,5372,56,6678,6613,65,69,74,2018-05-01
NA,茨城,NA,22015,21901,114,27767,27625,142,324,220,2018-05-01
NA,栃木,NA,9903,9838,65,12288,12192,96,110,95,2018-05-01
NA,群馬,NA,6275,6229,46,7632,7565,67,78,63,2018-05-01
NA,埼玉,NA,43522,43365,157,57021,56804,217,522,453,2018-05-01
NA,千葉,NA,39729,39548,181,51219,50960,259,450,406,2018-05-01
NA,東京,NA,225270,224305,965,280004,278617,1387,2487,2412,2018-05-01
NA,神奈川,NA,26640,26513,127,34734,34558,176,376,334,2018-05-01
NA,新潟,NA,7135,7086,49,9006,8931,75,90,92,2018-05-01
NA,富山,NA,1449,1417,32,1681,1635,46,12,15,2018-05-01
NA,石川,NA,2596,2575,21,3020,2998,22,26,26,2018-05-01
NA,福井,NA,3383,3314,69,4127,4046,81,47,32,2018-05-01
NA,山梨,NA,5688,5606,82,7041,6929,112,73,52,2018-05-01
NA,長野,NA,6386,6318,68,7816,7723,93,82,85,2018-05-01
NA,岐阜,NA,4334,4282,52,5298,5236,62,55,47,2018-05-01
NA,静岡,NA,11960,11884,76,14710,14593,117,153,130,2018-05-01
NA,愛知,NA,17741,17610,131,22956,22772,184,234,210,2018-05-01
NA,三重,NA,12637,12550,87,16042,15927,115,171,136,2018-05-01
NA,滋賀,NA,5154,5117,37,7219,7148,71,72,76,2018-05-01
NA,京都,NA,10252,10174,78,14473,14338,135,91,100,2018-05-01
NA,大阪,NA,50820,50639,181,68633,68381,252,568,589,2018-05-01
NA,兵庫,NA,13808,13714,94,18261,18125,136,145,154,2018-05-01
NA,奈良,NA,9582,9535,47,12862,12790,72,76,104,2018-05-01
NA,和歌山,NA,4918,4883,35,6003,5959,44,43,48,2018-05-01
NA,鳥取,NA,3298,3287,11,4102,4085,17,49,49,2018-05-01
NA,島根,NA,2461,2449,12,3060,3048,12,33,35,2018-05-01
NA,岡山,NA,3833,3804,29,4817,4780,37,46,47,2018-05-01
NA,広島,NA,5860,5815,45,7766,7698,68,76,95,2018-05-01
NA,山口,NA,8797,8758,39,10938,10876,62,79,100,2018-05-01
NA,徳島,NA,10601,10570,31,13531,13486,45,90,95,2018-05-01
NA,香川,NA,3454,3430,24,4393,4363,30,34,58,2018-05-01
NA,愛媛,NA,7620,7556,64,9348,9249,99,87,74,2018-05-01
NA,高知,NA,5843,5779,64,7285,7193,92,70,77,2018-05-01
NA,福岡,NA,38262,38130,132,52603,52398,205,294,355,2018-05-01
NA,佐賀,NA,6443,6400,43,7833,7780,53,71,60,2018-05-01
NA,長崎,NA,8053,8018,35,10529,10477,52,93,65,2018-05-01
NA,熊本,NA,7416,7371,45,9375,9320,55,96,95,2018-05-01
NA,大分,NA,9036,8963,73,11198,11104,94,65,75,2018-05-01
NA,宮崎,NA,7319,7288,31,9105,9068,37,75,83,2018-05-01
NA,鹿児島,NA,11996,11865,131,15480,15289,191,125,123,2018-05-01
NA,沖縄,NA,18815,18728,87,24348,24231,117,207,192,2018-05-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-01
NA,札幌市,NA,54843,54711,132,72510,72357,153,598,621,2018-05-01
NA,仙台市,NA,13534,13464,70,17910,17819,91,162,143,2018-05-01
NA,さいたま市,NA,15332,15265,67,19927,19845,82,196,161,2018-05-01
NA,千葉市,NA,16592,16400,192,20733,20457,276,255,243,2018-05-01
NA,横浜市,NA,53965,53852,113,70174,70008,166,674,765,2018-05-01
NA,川崎市,NA,24182,24141,41,31225,31170,55,360,377,2018-05-01
NA,相模原市,NA,10142,10121,21,13921,13890,31,114,95,2018-05-01
NA,新潟市,NA,9131,9088,43,11943,11891,52,102,88,2018-05-01
NA,静岡市,NA,7155,7096,59,9155,9080,75,80,74,2018-05-01
NA,浜松市,NA,5686,5606,80,7230,7130,100,76,89,2018-05-01
NA,名古屋市,NA,38421,38208,213,48181,47922,259,590,577,2018-05-01
NA,京都市,NA,32676,32334,342,43975,43504,471,342,334,2018-05-01
NA,大阪市,NA,114621,113958,663,140049,139239,810,1369,1398,2018-05-01
NA,堺市,NA,19294,19248,46,25673,25609,64,220,207,2018-05-01
NA,神戸市,NA,34478,34319,159,46105,45891,214,339,317,2018-05-01
NA,岡山市,NA,9995,9952,43,13362,13311,51,103,109,2018-05-01
NA,広島市,NA,18846,18782,64,25094,25015,79,192,221,2018-05-01
NA,北九州市,NA,18428,18350,78,23247,23165,82,184,162,2018-05-01
NA,福岡市,NA,33666,33517,149,43493,43285,208,355,376,2018-05-01
NA,熊本市,NA,11929,11872,57,15434,15358,76,145,182,2018-05-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-01
NA,旭川市,NA,9991,9971,20,12721,12699,22,86,93,2018-05-01
NA,函館市,NA,9382,9369,13,11890,11875,15,84,94,2018-05-01
NA,青森市,NA,6782,6779,3,8542,8539,3,57,45,2018-05-01
NA,八戸市,NA,3619,3603,16,4500,4479,21,28,30,2018-05-01
NA,盛岡市,NA,3768,3754,14,4714,4695,19,41,39,2018-05-01
NA,秋田市,NA,4300,4300,0,5381,5381,0,45,36,2018-05-01
NA,郡山市,NA,2640,2637,3,3279,3276,3,35,18,2018-05-01
NA,いわき市,NA,3274,3253,21,4251,4229,22,37,34,2018-05-01
NA,福島市,NA,2372,2368,4,2929,2925,4,29,19,2018-05-01
NA,宇都宮市,NA,6668,6625,43,8532,8476,56,58,62,2018-05-01
NA,前橋市,NA,3235,3188,47,3918,3854,64,37,21,2018-05-01
NA,高崎市,NA,2906,2892,14,3490,3474,16,43,36,2018-05-01
NA,川越市,NA,3373,3369,4,4411,4407,4,25,29,2018-05-01
NA,越谷市,NA,3123,3111,12,4218,4204,14,52,27,2018-05-01
NA,川口市,NA,8862,8849,13,11565,11547,18,94,69,2018-05-01
NA,船橋市,NA,6981,6950,31,8961,8917,44,65,66,2018-05-01
NA,柏市,NA,3497,3494,3,4546,4542,4,40,21,2018-05-01
NA,八王子市,NA,7471,7462,9,9614,9603,11,60,67,2018-05-01
NA,横須賀市,NA,4030,3999,31,5220,5168,52,38,32,2018-05-01
NA,富山市,NA,1666,1664,2,1900,1898,2,24,17,2018-05-01
NA,金沢市,NA,3613,3598,15,4245,4227,18,31,36,2018-05-01
NA,長野市,NA,2580,2563,17,3287,3263,24,37,30,2018-05-01
NA,岐阜市,NA,5322,5262,60,6523,6439,84,39,48,2018-05-01
NA,豊橋市,NA,1759,1752,7,2128,2120,8,17,19,2018-05-01
NA,豊田市,NA,1737,1724,13,2357,2343,14,24,23,2018-05-01
NA,岡崎市,NA,1564,1548,16,2015,1989,26,20,28,2018-05-01
NA,大津市,NA,3074,3053,21,4056,4024,32,35,30,2018-05-01
NA,高槻市,NA,4265,4255,10,6023,6012,11,41,36,2018-05-01
NA,東大阪市,NA,14439,14371,68,19201,19107,94,137,151,2018-05-01
NA,豊中市,NA,7665,7635,30,10172,10122,50,49,65,2018-05-01
NA,枚方市,NA,5730,5710,20,7828,7795,33,68,51,2018-05-01
NA,八尾市,NA,5751,5749,2,7848,7845,3,72,59,2018-05-01
NA,姫路市,NA,6780,6764,16,8678,8659,19,66,77,2018-05-01
NA,西宮市,NA,5970,5905,65,8062,7959,103,44,48,2018-05-01
NA,尼崎市,NA,13991,13955,36,18298,18244,54,146,131,2018-05-01
NA,明石市,NA,3969,3962,7,5399,5391,8,33,40,2018-05-01
NA,奈良市,NA,5455,5391,64,7449,7362,87,32,46,2018-05-01
NA,和歌山市,NA,7765,7746,19,9330,9309,21,79,68,2018-05-01
NA,鳥取市,NA,2255,2221,34,3148,3080,68,18,20,2018-05-01
NA,松江市,NA,2113,2103,10,2757,2740,17,15,23,2018-05-01
NA,倉敷市,NA,5295,5288,7,7282,7274,8,54,52,2018-05-01
NA,福山市,NA,4866,4858,8,6433,6422,11,47,58,2018-05-01
NA,呉市,NA,2885,2857,28,3636,3605,31,25,38,2018-05-01
NA,下関市,NA,3396,3387,9,4230,4218,12,30,39,2018-05-01
NA,高松市,NA,4830,4795,35,6135,6092,43,56,50,2018-05-01
NA,松山市,NA,9849,9831,18,12095,12071,24,70,63,2018-05-01
NA,高知市,NA,9221,9154,67,11938,11852,86,72,92,2018-05-01
NA,久留米市,NA,5179,5172,7,6697,6690,7,39,38,2018-05-01
NA,長崎市,NA,9518,9464,54,12669,12601,68,47,70,2018-05-01
NA,佐世保市,NA,4133,4123,10,5350,5335,15,35,44,2018-05-01
NA,大分市,NA,6874,6835,39,8527,8479,48,58,63,2018-05-01
NA,宮崎市,NA,6888,6868,20,8741,8720,21,57,73,2018-05-01
NA,鹿児島市,NA,11679,11575,104,15189,15039,150,96,96,2018-05-01
NA,那覇市,NA,9736,9722,14,12626,12609,17,104,99,2018-05-01
