都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全国計,469858,200540,269318,59321535823,28496141553,30825394270,2020-12-01
北海道,20381,7766,12615,2315809147,1009799560,1306009587,2020-12-01
青森県,5211,2133,3078,566585904,271151614,295434290,2020-12-01
岩手県,4271,1859,2412,495613704,244839442,250774262,2020-12-01
宮城県,9115,3930,5185,1122453513,552808431,569645082,2020-12-01
秋田県,3723,1722,2001,429685876,234288344,195397532,2020-12-01
山形県,4242,1789,2453,518726282,244026762,274699520,2020-12-01
福島県,6961,3059,3902,849419257,418828558,430590699,2020-12-01
茨城県,8737,4131,4606,1127865869,597992840,529873029,2020-12-01
栃木県,7136,3356,3780,920461769,487723616,432738153,2020-12-01
群馬県,7320,3612,3708,979361081,543169581,436191500,2020-12-01
埼玉県,25816,12314,13502,3525508816,1854790738,1670718078,2020-12-01
千葉県,20863,9544,11319,2960738672,1495444200,1465294472,2020-12-01
東京都,51331,22032,29299,6910338011,3199783701,3710554310,2020-12-01
神奈川県,31828,14521,17307,4446816301,2240536110,2206280191,2020-12-01
新潟県,7180,2970,4210,826395988,385975164,440420824,2020-12-01
富山県,3325,1388,1937,420013980,197103360,222910620,2020-12-01
石川県,4296,1649,2647,519158627,228350038,290808589,2020-12-01
福井県,2442,971,1471,288485647,127899561,160586086,2020-12-01
山梨県,2936,1348,1588,374124308,193714096,180410212,2020-12-01
長野県,7892,3415,4477,965303624,470806602,494497022,2020-12-01
岐阜県,7367,3196,4171,952647666,468731070,483916596,2020-12-01
静岡県,13708,6298,7410,1654743156,860037794,794705362,2020-12-01
愛知県,26970,11690,15280,3405751026,1637847425,1767903601,2020-12-01
三重県,6862,2862,4000,841874429,395464437,446409992,2020-12-01
滋賀県,5846,2504,3342,773398642,380523319,392875323,2020-12-01
京都府,10045,4020,6025,1287390920,581527666,705863254,2020-12-01
大阪府,35252,14448,20804,4394524804,2017313880,2377210924,2020-12-01
兵庫県,21176,8754,12422,2711011065,1275866801,1435144264,2020-12-01
奈良県,4426,1911,2515,551137670,269333595,281804075,2020-12-01
和歌山県,3378,1396,1982,389439615,185540945,203898670,2020-12-01
鳥取県,2060,933,1127,244406895,124558427,119848468,2020-12-01
島根県,2495,1059,1436,288409640,135852738,152556902,2020-12-01
岡山県,6699,2758,3941,794269753,371551496,422718257,2020-12-01
広島県,10331,4117,6214,1246870609,568366070,678504539,2020-12-01
山口県,4477,1711,2766,542767014,244472157,298294857,2020-12-01
徳島県,2667,1100,1567,317104153,145648351,171455802,2020-12-01
香川県,3329,1424,1905,400638841,196297342,204341499,2020-12-01
愛媛県,4766,1865,2901,567910085,259367880,308542205,2020-12-01
高知県,2657,1100,1557,294891395,136581121,158310274,2020-12-01
福岡県,21985,8712,13273,2751046692,1251703976,1499342716,2020-12-01
佐賀県,3072,1210,1862,347876132,157191127,190685005,2020-12-01
長崎県,5266,2030,3236,571495172,255164764,316330408,2020-12-01
熊本県,7621,3060,4561,849115568,395582833,453532735,2020-12-01
大分県,5087,1944,3143,594215622,265131892,329083730,2020-12-01
宮崎県,4383,1715,2668,499639513,227571912,272067601,2020-12-01
鹿児島県,6693,2626,4067,747187392,343488807,403698585,2020-12-01
沖縄県,6234,2588,3646,738905978,346391410,392514568,2020-12-01
