prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,year
愛知,378544,36867,81572,106888,129317,2017
愛媛,115793,8022,23364,37382,25291,2017
茨城,142363,9521,26510,40418,39772,2017
岡山,114194,14952,30349,28037,42136,2017
沖縄,177294,15784,61355,43602,39269,2017
岩手,65534,4971,18353,15622,20639,2017
岐阜,68866,3821,12116,17980,12287,2017
宮崎,94297,7212,18945,23204,27577,2017
宮城,122603,16002,34320,32538,50578,2017
京都,256493,46508,59293,62493,87746,2017
熊本,123927,10357,40324,25278,34212,2017
群馬,84741,4860,17191,19779,20157,2017
広島,189581,26990,66617,48289,60266,2017
香川,50515,4926,10154,15873,16843,2017
高知,102690,7658,18834,21864,29434,2017
佐賀,43799,2409,9488,13560,7766,2017
埼玉,449537,51359,97722,123528,160879,2017
三重,84923,7347,20140,22062,17306,2017
山形,39061,2475,9458,11992,11539,2017
山口,85426,5562,15253,20099,21162,2017
山梨,39055,2095,7741,7682,10645,2017
滋賀,46357,7583,12941,17096,14632,2017
鹿児島,146819,13975,37259,36543,49469,2017
秋田,78837,4841,14213,16975,23115,2017
新潟,92474,9073,27240,20376,43740,2017
神奈川,726736,93450,176845,166820,258276,2017
青森,169598,8657,35695,35445,39389,2017
静岡,158725,14194,33150,37702,50457,2017
石川,44599,1890,11693,9439,8113,2017
千葉,410915,41040,92726,112208,133388,2017
全国,10376569,1109658,2338188,2696022,3070144,2017
大阪,1481519,173437,352008,306949,355196,2017
大分,112781,6198,22090,21817,28625,2017
長崎,132612,14739,28001,41894,43338,2017
長野,56096,3785,17650,14613,14597,2017
鳥取,32129,3171,8944,9984,12143,2017
島根,27188,2959,8193,6746,10405,2017
東京,1468384,131183,282753,436799,463619,2017
徳島,71785,5467,11522,27419,11908,2017
栃木,102708,8850,24566,32046,30833,2017
奈良,95837,13155,19522,28372,22210,2017
富山,21788,753,4682,4587,5033,2017
福井,23284,1138,4036,5190,6299,2017
福岡,615003,68015,113049,162565,190605,2017
福島,86119,5771,22046,22839,25575,2017
兵庫,488345,64935,104915,146750,140707,2017
北海道,762293,116015,180596,215114,206076,2017
和歌山,94402,5686,12754,21564,17575,2017
