都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,426570,187034,239536,53809070583,26463260420,27345810163,2021-11-01
北　海　道,20561,7947,12614,2474088113,1087701439,1386386674,2021-11-01
青　　　森,5277,2172,3105,594315196,278444941,315870255,2021-11-01
岩　　　手,4087,1737,2350,450008063,217117521,232890542,2021-11-01
宮　　　城,7976,3413,4563,983374340,473693942,509680398,2021-11-01
秋　　　田,3399,1461,1938,376892630,184303187,192589443,2021-11-01
山　　　形,3169,1404,1765,352365416,173367273,178998143,2021-11-01
福　　　島,6120,2730,3390,752661018,376910348,375750670,2021-11-01
茨　　　城,8700,4139,4561,1124299477,602817942,521481535,2021-11-01
栃　　　木,6179,2975,3204,757411901,411576241,345835660,2021-11-01
群　　　馬,5837,2706,3131,708597608,367847537,340750071,2021-11-01
埼　　　玉,23284,11369,11915,3072028426,1660959567,1411068859,2021-11-01
千　　　葉,19103,9120,9983,2647575390,1399888682,1247686708,2021-11-01
東　　　京,44296,19950,24346,6473654043,3143474501,3330179542,2021-11-01
神　奈　川,26730,12618,14112,3681958089,1912178795,1769779294,2021-11-01
新　　　潟,6843,3017,3826,806670025,396719346,409950679,2021-11-01
富　　　山,3023,1303,1720,354011334,169360020,184651314,2021-11-01
石　　　川,3732,1505,2227,457431646,207179845,250251801,2021-11-01
福　　　井,2194,937,1257,258032691,124736204,133296487,2021-11-01
山　　　梨,2314,1052,1262,279211958,141981539,137230419,2021-11-01
長　　　野,6772,2899,3873,793685420,388238379,405447041,2021-11-01
岐　　　阜,6098,2721,3377,738221335,375189500,363031835,2021-11-01
静　　　岡,11481,5273,6208,1398633001,718174006,680458995,2021-11-01
愛　　　知,23761,10666,13095,3027682099,1509240225,1518441874,2021-11-01
三　　　重,6185,2811,3374,753035480,388474627,364560853,2021-11-01
滋　　　賀,5055,2218,2837,602414822,297370465,305044357,2021-11-01
京　　　都,9134,3831,5303,1142939273,542949669,599989604,2021-11-01
大　　　阪,32473,13996,18477,4191186093,2034358144,2156827949,2021-11-01
兵　　　庫,19394,8247,11147,2433799161,1170850026,1262949135,2021-11-01
奈　　　良,4261,1901,2360,531703315,266660447,265042868,2021-11-01
和　歌　山,3168,1376,1792,366437940,183733369,182704571,2021-11-01
鳥　　　取,2000,860,1140,224267219,110025362,114241857,2021-11-01
島　　　根,2257,929,1328,250597200,115390292,135206908,2021-11-01
岡　　　山,6777,3019,3758,792102082,400780838,391321244,2021-11-01
広　　　島,10011,4100,5911,1191058900,550523976,640534924,2021-11-01
山　　　口,4253,1677,2576,513742960,236696997,277045963,2021-11-01
徳　　　島,2416,1127,1289,285970579,146391317,139579262,2021-11-01
香　　　川,3265,1396,1869,387821629,186327988,201493641,2021-11-01
愛　　　媛,4703,1913,2790,544831676,255603222,289228454,2021-11-01
高　　　知,2716,1116,1600,317088270,143470069,173618201,2021-11-01
福　　　岡,21138,8495,12643,2610929855,1194740103,1416189752,2021-11-01
佐　　　賀,3146,1237,1909,357594568,162098781,195495787,2021-11-01
長　　　崎,5325,2170,3155,578984324,269124032,309860292,2021-11-01
熊　　　本,6727,2800,3927,760986464,361881666,399104798,2021-11-01
大　　　分,4947,1976,2971,551854684,253198043,298656641,2021-11-01
宮　　　崎,4446,1808,2638,490935375,231497026,259438349,2021-11-01
鹿　児　島,6378,2508,3870,720208166,325991388,394216778,2021-11-01
沖　　　縄,5459,2409,3050,645771329,314021593,331749736,2021-11-01
